Mass/Charge	Intensity
58.56	2117.49998159396
62.88	2117.49998159396
67.92	4234.99996318792
70.8	2117.49998159396
71.04	2117.49998159396
72.96	6352.49994478188
78.24	2117.49998159396
78.36	6352.49994478188
78.48	8469.99992637585
78.6	33879.9997055034
78.72	59289.9994846309
78.84	169399.998527517
78.96	107992.499061292
79.08	16939.9998527517
79.2	4234.99996318792
79.44	12704.9998895638
79.56	12704.9998895638
79.68	2117.49998159396
80.52	2117.49998159396
80.88	4234.99996318792
82.08	2117.49998159396
87	8469.99992637585
90.96	2117.49998159396
96.48	8469.99992637585
96.6	6352.49994478188
96.72	23292.4997975336
96.84	105874.999079698
96.96	190574.998343457
97.08	44467.4996134732
97.2	14822.4998711577
97.32	4234.99996318792
97.44	6352.49994478188
97.56	2117.49998159396
98.16	2117.49998159396
99.96	4234.99996318792
100.92	2117.49998159396
101.04	2117.49998159396
101.88	2117.49998159396
110.04	2117.49998159396
113.16	2117.49998159396
116.88	4234.99996318792
128.04	2117.49998159396
129.12	6352.49994478188
135.12	2117.49998159396
138.12	4234.99996318792
138.84	2117.49998159396
138.96	2117.49998159396
139.08	8469.99992637585
141	2117.49998159396
141.24	4234.99996318792
143.16	2117.49998159396
145.08	2117.49998159396
150.48	2117.49998159396
150.96	4234.99996318792
151.08	2117.49998159396
151.44	2117.49998159396
152.88	4234.99996318792
153.96	2117.49998159396
156	2117.49998159396
158.76	4234.99996318792
158.88	16939.9998527517
159	35997.4996870973
159.12	12704.9998895638
159.24	6352.49994478188
159.72	2117.49998159396
162.96	2117.49998159396
163.08	4234.99996318792
163.32	2117.49998159396
167.88	2117.49998159396
169.08	2117.49998159396
169.2	6352.49994478188
169.32	2117.49998159396
171.24	2117.49998159396
176.88	4234.99996318792
177	25409.9997791275
177.12	8469.99992637585
177.36	2117.49998159396
177.48	6352.49994478188
177.6	2117.49998159396
180.12	2117.49998159396
192.96	2117.49998159396
193.2	4234.99996318792
193.32	2117.49998159396
195.12	6352.49994478188
205.08	2117.49998159396
211.08	2117.49998159396
212.16	2117.49998159396
213	2117.49998159396
219.12	4234.99996318792
221.28	2117.49998159396
222.12	2117.49998159396
223.08	4234.99996318792
233.04	4234.99996318792
233.16	4234.99996318792
240.96	16939.9998527517
241.08	42349.9996318792
241.2	33879.9997055034
241.32	8469.99992637585
241.44	2117.49998159396
241.56	4234.99996318792
241.68	2117.49998159396
242.76	2117.49998159396
243.12	2117.49998159396
243.6	2117.49998159396
245.28	6352.49994478188
250.68	2117.49998159396
250.92	2117.49998159396
259.08	2117.49998159396
267	6352.49994478188
267.12	2117.49998159396
267.36	2117.49998159396
277.08	4234.99996318792
277.2	2117.49998159396
279.24	2117.49998159396
279.36	2117.49998159396
279.6	4234.99996318792
279.84	2117.49998159396
281.4	2117.49998159396
285.96	2117.49998159396
294.96	2117.49998159396
303	2117.49998159396
303.48	4234.99996318792
321	2117.49998159396
321.12	4234.99996318792
321.24	4234.99996318792
326.64	2117.49998159396
338.76	2117.49998159396
338.88	31762.4997239094
339	95287.4991717283
339.12	118579.998969262
339.24	44467.4996134732
339.36	16939.9998527517
339.48	21174.9998159396
339.6	2117.49998159396
340.56	2117.49998159396
340.68	4234.99996318792
636.96	4234.99996318792
