Index,Sample Index,Original Filename,Sample Name,Sample ID,Sample Comment,Sample Type,Acquisition Date & Time,Rack Number,Plate Number,Vial Number,Dilution Factor,Injection Volume,Operator Name,Acq. Method Name,IS,Component Name,Component Index,Component Comment,IS Comment,Mass Info,IS Mass Info,IS Name,Component Group Name,Conc. Units,Failed Query,IS Failed Query,Outlier Reasons,Peak Comment,IS Peak Comment,Actual Concentration,IS Actual Concentration,Concentration Ratio,Expected RT,IS Expected RT,Integration Type,IS Integration Type,Area,IS Area,Corrected Area,IS Corrected Area,Area Ratio,Height,IS Height,Corrected Height,IS Corrected Height,Height Ratio,Area / Height,IS Area / Height,Corrected Area/Height,IS Corrected Area/Height,Region Height,IS Region Height,Quality,IS Quality,Retention Time,IS Retention Time,Start Time,IS Start Time,End Time,IS End Time,Total Width,IS Total Width,Width at 50%,IS Width at 50%,Signal / Noise,IS Signal / Noise,Baseline Delta / Height,IS Baseline Delta / Height,Modified,Relative RT,Used,Calculated Concentration,Accuracy,Start Time at 5%,End Time at 5%,Width at 5%,Start Time at 10%,End Time at 10%,Width at 10%,Slope of Baseline,Tailing Factor,Asymmetry Factor,Ion Ratio,Expected Ion Ratio,Points Across Baseline,Points Across Half Height,Comment,Use_Calculated_Concentration
66,1,140509_WTEColi_113C80_U13C20_01.wiff (sample 1),140505_0_OxicWTEcoliGlcM9_Filtrate-1-100.0x,,,Unknown,5/19/2014 12:40,3,1,54,1,10,BOP5500QTRAP\Administrator,140509_McCloskey2013_13CFlux.dam,FALSE,g6p.g6p_m0-0,66,,N/A,259.0 / 79.0,N/A,(No IS),g6p.g6p_m0-0,,FALSE,FALSE,,,N/A,N/A,N/A,N/A,6,N/A,Baseline,N/A,4156.2255,N/A,4156.2255,N/A,N/A,1545.6,N/A,1545.6,N/A,N/A,2.689069293,N/A,2.689069293,N/A,1452,N/A,0.203437571,N/A,5.86190336,N/A,5.807666667,N/A,5.902416667,N/A,0.09475,N/A,0.076054202,N/A,6.153308848,N/A,0.201863354,N/A,FALSE,N/A,TRUE,<2 points,N/A,5.807666667,5.898767543,0.091100876,5.807666667,5.896748612,0.089081945,-3292.875989,0.600929261,0.175223548,1,N/A,11,10,,FALSE
67,1,140509_WTEColi_113C80_U13C20_01.wiff (sample 1),140505_0_OxicWTEcoliGlcM9_Filtrate-1-100.0x,,,Unknown,5/19/2014 12:40,3,1,54,1,10,BOP5500QTRAP\Administrator,140509_McCloskey2013_13CFlux.dam,FALSE,g6p.g6p_m1-0,67,,N/A,260.0 / 79.0,N/A,(No IS),g6p.g6p_m1-0,,FALSE,FALSE,,,N/A,N/A,N/A,N/A,6,N/A,Baseline,N/A,560.541,N/A,560.541,N/A,N/A,259,N/A,259,N/A,N/A,2.164250965,N/A,2.164250965,N/A,518,N/A,0.326555306,N/A,5.873061538,N/A,5.836083333,N/A,5.911883333,N/A,0.0758,N/A,0.051403632,N/A,3.514222725,N/A,0,N/A,FALSE,N/A,TRUE,<2 points,N/A,5.838445048,5.911097479,0.072652431,5.840806763,5.910311624,0.069504861,0,1.39332413,1.931469548,1,N/A,9,8,,FALSE
68,1,140509_WTEColi_113C80_U13C20_01.wiff (sample 1),140505_0_OxicWTEcoliGlcM9_Filtrate-1-100.0x,,,Unknown,5/19/2014 12:40,3,1,54,1,10,BOP5500QTRAP\Administrator,140509_McCloskey2013_13CFlux.dam,FALSE,g6p.g6p_m2-0,68,,N/A,261.0 / 79.0,N/A,(No IS),g6p.g6p_m2-0,,FALSE,FALSE,,,N/A,N/A,N/A,N/A,6,N/A,Baseline,N/A,2688.0315,N/A,2688.0315,N/A,N/A,809.8124006,N/A,809.8124006,N/A,N/A,3.319326177,N/A,3.319326177,N/A,1192,N/A,0.373402302,N/A,5.647632435,N/A,5.602283333,N/A,5.696633333,N/A,0.09435,N/A,0.084207061,N/A,3.268828632,N/A,0.255614757,N/A,FALSE,N/A,FALSE,<2 points,N/A,5.602393521,5.694623478,0.092229958,5.602907631,5.694246156,0.091338525,-2193.958665,3.204696305,5.582623626,1,N/A,14,14,,FALSE
69,1,140509_WTEColi_113C80_U13C20_01.wiff (sample 1),140505_0_OxicWTEcoliGlcM9_Filtrate-1-100.0x,,,Unknown,5/19/2014 12:40,3,1,54,1,10,BOP5500QTRAP\Administrator,140509_McCloskey2013_13CFlux.dam,FALSE,g6p.g6p_m3-0,69,,N/A,262.0 / 79.0,N/A,(No IS),g6p.g6p_m3-0,,FALSE,FALSE,,,N/A,N/A,N/A,N/A,6,N/A,Baseline,N/A,885.258,N/A,885.258,N/A,N/A,259,N/A,259,N/A,N/A,3.417984556,N/A,3.417984556,N/A,415,N/A,0.170566574,N/A,6.142358025,N/A,6.110983333,N/A,6.224683333,N/A,0.1137,N/A,0.063299145,N/A,5.610273114,N/A,0,N/A,FALSE,N/A,FALSE,<2 points,N/A,6.111769188,6.222325769,0.110556581,6.112555043,6.219968205,0.107413162,0,1.489413003,1.956735938,1,N/A,13,9,,FALSE
70,1,140509_WTEColi_113C80_U13C20_01.wiff (sample 1),140505_0_OxicWTEcoliGlcM9_Filtrate-1-100.0x,,,Unknown,5/19/2014 12:40,3,1,54,1,10,BOP5500QTRAP\Administrator,140509_McCloskey2013_13CFlux.dam,FALSE,g6p.g6p_m4-0,70,,N/A,263.0 / 79.0,N/A,(No IS),g6p.g6p_m4-0,,FALSE,FALSE,,,N/A,N/A,N/A,N/A,6,N/A,Baseline,N/A,451.634,N/A,451.634,N/A,N/A,370.4261326,N/A,370.4261326,N/A,N/A,1.219228235,N/A,1.219228235,N/A,466,N/A,0.192995715,N/A,5.697830681,N/A,5.689383333,N/A,5.74015,N/A,0.050766667,N/A,0.012315577,N/A,6.424193543,N/A,0.140378865,N/A,FALSE,N/A,FALSE,<2 points,N/A,5.689604931,5.737217692,0.047612761,5.689974847,5.736356926,0.046382079,-1024.294156,3.387168229,5.965859423,1,N/A,8,4,,FALSE
71,1,140509_WTEColi_113C80_U13C20_01.wiff (sample 1),140505_0_OxicWTEcoliGlcM9_Filtrate-1-100.0x,,,Unknown,5/19/2014 12:40,3,1,54,1,10,BOP5500QTRAP\Administrator,140509_McCloskey2013_13CFlux.dam,FALSE,g6p.g6p_m5-0,71,,N/A,264.0 / 79.0,N/A,(No IS),g6p.g6p_m5-0,,FALSE,FALSE,,,N/A,N/A,N/A,N/A,6,N/A,Baseline,N/A,720.406,N/A,720.406,N/A,N/A,316.1945128,N/A,316.1945128,N/A,N/A,2.278363383,N/A,2.278363383,N/A,414,N/A,0.24760419,N/A,6.145243285,N/A,6.08255,N/A,6.177316667,N/A,0.094766667,N/A,0.080876881,N/A,3.606863176,N/A,0.493367195,N/A,FALSE,N/A,FALSE,<2 points,N/A,6.08255,6.174448063,0.091898063,6.08255,6.173723769,0.091173769,-1646.148435,0.692698968,0.374478928,1,N/A,11,11,,FALSE
72,1,140509_WTEColi_113C80_U13C20_01.wiff (sample 1),140505_0_OxicWTEcoliGlcM9_Filtrate-1-100.0x,,,Unknown,5/19/2014 12:40,3,1,54,1,10,BOP5500QTRAP\Administrator,140509_McCloskey2013_13CFlux.dam,FALSE,g6p.g6p_m6-0,72,,N/A,265.0 / 79.0,N/A,(No IS),g6p.g6p_m6-0,,FALSE,FALSE,,,N/A,N/A,N/A,N/A,6,N/A,Baseline,N/A,736.776,N/A,736.776,N/A,N/A,443.8911472,N/A,443.8911472,N/A,N/A,1.659812332,N/A,1.659812332,N/A,466,N/A,0.173285137,N/A,6.494578853,N/A,6.461583333,N/A,6.546866667,N/A,0.085283333,N/A,0.06050476,N/A,4.964613659,N/A,0.117145837,N/A,FALSE,N/A,TRUE,<2 points,N/A,6.465714365,6.546866667,0.081152301,6.467738196,6.546156655,0.078418459,609.732265,1.201581012,1.470251063,1,N/A,10,9,,FALSE
358,2,140509_WTEColi_113C80_U13C20_01.wiff (sample 2),140505_0_OxicWTEcoliGlcM9_Broth-1-100.0x,,,Unknown,5/19/2014 13:14,3,1,1,1,10,BOP5500QTRAP\Administrator,140509_McCloskey2013_13CFlux.dam,FALSE,g6p.g6p_m0-0,66,,N/A,259.0 / 79.0,N/A,(No IS),g6p.g6p_m0-0,,FALSE,FALSE,,,N/A,N/A,N/A,N/A,6,N/A,Baseline,N/A,122374.132,N/A,122374.132,N/A,N/A,6635.435181,N/A,6635.435181,N/A,N/A,18.44251789,N/A,18.44251789,N/A,7779,N/A,0.479590231,N/A,6.185133877,N/A,5.87365,N/A,6.86795,N/A,0.9943,N/A,0.284316232,N/A,11.51817436,N/A,0.140608713,N/A,FALSE,N/A,TRUE,<2 points,N/A,5.878456936,6.847528229,0.969071293,5.911094717,6.84044352,0.929348803,-938.3485869,1.495974137,2.190839301,1,N/A,33,14,,FALSE
359,2,140509_WTEColi_113C80_U13C20_01.wiff (sample 2),140505_0_OxicWTEcoliGlcM9_Broth-1-100.0x,,,Unknown,5/19/2014 13:14,3,1,1,1,10,BOP5500QTRAP\Administrator,140509_McCloskey2013_13CFlux.dam,FALSE,g6p.g6p_m1-0,67,,N/A,260.0 / 79.0,N/A,(No IS),g6p.g6p_m1-0,,FALSE,FALSE,,,N/A,N/A,N/A,N/A,6,N/A,Valley,N/A,1654180.139,N/A,1654180.139,N/A,N/A,53178.23656,N/A,53178.23656,N/A,N/A,31.10633685,N/A,31.10633685,N/A,54138,N/A,1,N/A,6.156340766,N/A,5.772866667,N/A,6.916933333,N/A,1.144066667,N/A,0.428254588,N/A,157.2291596,N/A,0.017250841,N/A,FALSE,N/A,TRUE,<2 points,N/A,5.796970459,6.916933333,1.119962874,5.80184214,6.916933333,1.115091194,801.8495264,1.414524823,1.851838305,1,N/A,41,19,,FALSE
360,2,140509_WTEColi_113C80_U13C20_01.wiff (sample 2),140505_0_OxicWTEcoliGlcM9_Broth-1-100.0x,,,Unknown,5/19/2014 13:14,3,1,1,1,10,BOP5500QTRAP\Administrator,140509_McCloskey2013_13CFlux.dam,FALSE,g6p.g6p_m2-0,68,,N/A,261.0 / 79.0,N/A,(No IS),g6p.g6p_m2-0,,FALSE,FALSE,,,N/A,N/A,N/A,N/A,6,N/A,Baseline,N/A,951272.723,N/A,951272.723,N/A,N/A,29044.86566,N/A,29044.86566,N/A,N/A,32.75183759,N/A,32.75183759,N/A,30440,N/A,0.752868166,N/A,5.952025651,N/A,5.59275,N/A,6.968,N/A,1.37525,N/A,0.716828183,N/A,19.58279635,N/A,0.167843779,N/A,FALSE,N/A,FALSE,<2 points,N/A,5.594414503,6.968,1.373585497,5.595020579,6.967423126,1.372402547,3544.810035,0.962183669,0.92434401,1,N/A,57,40,,FALSE
