"id","experiment_id","sample_name","sample_name_abbreviation","sample_type","time_point","dilution","replicate_number","met_id","fragment_formula","fragment_mass","intensity","intensity_units","intensity_corrected","intensity_corrected_units","intensity_normalized","intensity_normalized_units","intensity_theoretical","abs_devFromTheoretical","scan_type","used_","comment_"
147722,"WTEColi_113C80_U13C20_01","140505_0_OxicWTEcoliGlcM9_Broth-6","OxicWtGlc","Unknown","0",1,6,"accoa","C23H37N7O17P3S-",823,,"cps",,"cps",0,"normMax",0,,"EPI",t,""
147723,"WTEColi_113C80_U13C20_01","140505_0_OxicWTEcoliGlcM9_Broth-6","OxicWtGlc","Unknown","0",1,6,"accoa","C23H37N7O17P3S-",824,,"cps",,"cps",0,"normMax",0,,"EPI",t,""
147724,"WTEColi_113C80_U13C20_01","140505_0_OxicWTEcoliGlcM9_Broth-6","OxicWtGlc","Unknown","0",1,6,"accoa","C23H37N7O17P3S-",825,,"cps",,"cps",0,"normMax",0,,"EPI",t,""
147725,"WTEColi_113C80_U13C20_01","140505_0_OxicWTEcoliGlcM9_Broth-6","OxicWtGlc","Unknown","0",1,6,"accoa","C23H37N7O17P3S-",826,,"cps",,"cps",0,"normMax",0,,"EPI",t,""
147726,"WTEColi_113C80_U13C20_01","140505_0_OxicWTEcoliGlcM9_Broth-6","OxicWtGlc","Unknown","0",1,6,"accoa","C23H37N7O17P3S-",827,,"cps",,"cps",0,"normMax",0,,"EPI",t,""
147727,"WTEColi_113C80_U13C20_01","140505_0_OxicWTEcoliGlcM9_Broth-6","OxicWtGlc","Unknown","0",1,6,"accoa","C23H37N7O17P3S-",828,,"cps",,"cps",0,"normMax",0,,"EPI",t,""
147728,"WTEColi_113C80_U13C20_01","140505_0_OxicWTEcoliGlcM9_Broth-6","OxicWtGlc","Unknown","0",1,6,"accoa","C23H37N7O17P3S-",829,,"cps",,"cps",0,"normMax",0,,"EPI",t,""
145254,"WTEColi_113C80_U13C20_01","140505_0_OxicWTEcoliGlcM9_Broth-6-10.0x","OxicWtGlc","Unknown","0",10,6,"thr-L","C4H8NO3-",122,1446,"cps",1311.25,"cps",0.083642892,"normMax",1.85253752568149e-005,0.0836243668544411,"MRM",t,""
145217,"WTEColi_113C80_U13C20_01","140505_0_OxicWTEcoliGlcM9_Broth-1-10.0x","OxicWtGlc","Unknown","0",10,1,"thr-L","C2H4NO2-",74,14823.22109,"cps",12323.0411,"cps",1,"normMax",1,0,"MRM",t,""
145225,"WTEColi_113C80_U13C20_01","140505_0_OxicWTEcoliGlcM9_Broth-2-10.0x","OxicWtGlc","Unknown","0",10,2,"thr-L","C2H4NO2-",74,18092.51657,"cps",15592.33658,"cps",1,"normMax",1,0,"MRM",t,""
145233,"WTEColi_113C80_U13C20_01","140505_0_OxicWTEcoliGlcM9_Broth-3-10.0x","OxicWtGlc","Unknown","0",10,3,"thr-L","C2H4NO2-",74,14163.25001,"cps",11663.07001,"cps",1,"normMax",1,0,"MRM",t,""
145241,"WTEColi_113C80_U13C20_01","140505_0_OxicWTEcoliGlcM9_Broth-4-10.0x","OxicWtGlc","Unknown","0",10,4,"thr-L","C2H4NO2-",74,14620.91078,"cps",12120.73079,"cps",1,"normMax",1,0,"MRM",t,""
