id,experiment_id,sample_name,sample_name_abbreviation,sample_type,time_point,dilution,replicate_number,met_id,fragment_formula,fragment_mass,intensity,intensity_units,intensity_corrected,intensity_corrected_units,intensity_normalized,intensity_normalized_units,intensity_theoretical,abs_devFromTheoretical,scan_type,used_,comment_,,
151634,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-1-1000.0x,OxicWtGlc,Unknown,0,1000,1,Hexose_Pool_fru_glc-D,C6H11O6-,179,46388.21287,cps,29079.59638,cps,0.011763782,normMax,1,0.988236218,MRM,t,,0.009688693,23.2804569
151644,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-2-1000.0x,OxicWtGlc,Unknown,0,1000,2,Hexose_Pool_fru_glc-D,C6H11O6-,179,35490.42187,cps,18181.80538,cps,0.006628942,normMax,1,0.993371058,MRM,t,,,
151654,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-3-1000.0x,OxicWtGlc,Unknown,0,1000,3,Hexose_Pool_fru_glc-D,C6H11O6-,179,32159.96013,cps,0,cps,,normMax,1,,MRM,t,,,
151664,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-4-1000.0x,OxicWtGlc,Unknown,0,1000,4,Hexose_Pool_fru_glc-D,C6H11O6-,179,45548.612,cps,28239.9955,cps,0.010925995,normMax,1,0.989074005,MRM,t,,,
151674,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-5-1000.0x,OxicWtGlc,Unknown,0,1000,5,Hexose_Pool_fru_glc-D,C6H11O6-,179,37922.6618,cps,20614.04531,cps,0.009436052,normMax,1,0.990563948,MRM,t,,,
151684,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-6-1000.0x,OxicWtGlc,Unknown,0,1000,6,Hexose_Pool_fru_glc-D,C6H11O6-,179,29746.21138,cps,0,cps,,normMax,1,,MRM,t,,,
151635,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-1-1000.0x,OxicWtGlc,Unknown,0,1000,1,Hexose_Pool_fru_glc-D,C6H11O6-,180,2474460.599,cps,2471959.882,cps,1,normMax,0.068445069,0.931554931,MRM,t,,1,0
151645,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-2-1000.0x,OxicWtGlc,Unknown,0,1000,2,Hexose_Pool_fru_glc-D,C6H11O6-,180,2745292.189,cps,2742791.472,cps,1,normMax,0.068445069,0.931554931,MRM,t,,,
151655,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-3-1000.0x,OxicWtGlc,Unknown,0,1000,3,Hexose_Pool_fru_glc-D,C6H11O6-,180,2178181.538,cps,2175680.822,cps,1,normMax,0.068445069,0.931554931,MRM,t,,,
151665,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-4-1000.0x,OxicWtGlc,Unknown,0,1000,4,Hexose_Pool_fru_glc-D,C6H11O6-,180,2587161.875,cps,2584661.158,cps,1,normMax,0.068445069,0.931554931,MRM,t,,,
151675,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-5-1000.0x,OxicWtGlc,Unknown,0,1000,5,Hexose_Pool_fru_glc-D,C6H11O6-,180,2187105.64,cps,2184604.924,cps,1,normMax,0.068445069,0.931554931,MRM,t,,,
151685,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-6-1000.0x,OxicWtGlc,Unknown,0,1000,6,Hexose_Pool_fru_glc-D,C6H11O6-,180,2076287.262,cps,2073786.546,cps,1,normMax,0.068445069,0.931554931,MRM,t,,,
151636,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-1-1000.0x,OxicWtGlc,Unknown,0,1000,1,Hexose_Pool_fru_glc-D,C6H11O6-,181,85025.74337,cps,84584.93508,cps,0.034217762,normMax,0.014320878,0.019896885,MRM,t,,0.032795277,5.977895372
