id,experiment_id,sample_name,sample_name_abbreviation,sample_type,time_point,replicate_number,met_id,precursor_formula,precursor_mass,product_formula,product_mass,intensity,intensity_units,intensity_corrected,intensity_corrected_units,intensity_normalized,intensity_normalized_units,intensity_theoretical,abs_devFromTheoretical,scan_type,used_,comment_
19615,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-1,OxicWtGlc,Unknown,0,1,6pgc,C5[13C]H12O10P-,276,C6H8O6P-,207,0,cps,0,cps,,normMax,1,,EPI,f,
22383,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-2,OxicWtGlc,Unknown,0,2,6pgc,C5[13C]H12O10P-,276,C6H8O6P-,207,0,cps,0,cps,,normMax,1,,EPI,f,
25116,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-3,OxicWtGlc,Unknown,0,3,6pgc,C5[13C]H12O10P-,276,C6H8O6P-,207,0,cps,0,cps,0,normMax,1,,EPI,f,
27849,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-4,OxicWtGlc,Unknown,0,4,6pgc,C5[13C]H12O10P-,276,C6H8O6P-,207,0,cps,0,cps,,normMax,1,,EPI,f,
30617,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-5,OxicWtGlc,Unknown,0,5,6pgc,C5[13C]H12O10P-,276,C6H8O6P-,207,0,cps,0,cps,,normMax,1,,EPI,f,
33350,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-6,OxicWtGlc,Unknown,0,6,6pgc,C5[13C]H12O10P-,276,C6H8O6P-,207,0,cps,0,cps,,normMax,1,,EPI,f,
19616,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-1,OxicWtGlc,Unknown,0,1,6pgc,C5[13C]H12O10P-,276,C6H8O6P-,208,0,cps,0,cps,,normMax,0.068100029,,EPI,f,
22384,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-2,OxicWtGlc,Unknown,0,2,6pgc,C5[13C]H12O10P-,276,C6H8O6P-,208,0,cps,0,cps,,normMax,0.068100029,,EPI,f,
25117,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-3,OxicWtGlc,Unknown,0,3,6pgc,C5[13C]H12O10P-,276,C6H8O6P-,208,6293.680501,cps,3146.84025,cps,1,normMax,0.068100029,0.931899971,EPI,f,
27850,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-4,OxicWtGlc,Unknown,0,4,6pgc,C5[13C]H12O10P-,276,C6H8O6P-,208,0,cps,0,cps,,normMax,0.068100029,,EPI,f,
30618,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-5,OxicWtGlc,Unknown,0,5,6pgc,C5[13C]H12O10P-,276,C6H8O6P-,208,0,cps,0,cps,,normMax,0.068100029,,EPI,f,
33351,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-6,OxicWtGlc,Unknown,0,6,6pgc,C5[13C]H12O10P-,276,C6H8O6P-,208,0,cps,0,cps,,normMax,0.068100029,,EPI,f,
19617,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-1,OxicWtGlc,Unknown,0,1,6pgc,C5[13C]H12O10P-,276,C6H8O6P-,209,0,cps,0,cps,,normMax,0.014297341,,EPI,f,
22385,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-2,OxicWtGlc,Unknown,0,2,6pgc,C5[13C]H12O10P-,276,C6H8O6P-,209,0,cps,0,cps,,normMax,0.014297341,,EPI,f,
25118,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-3,OxicWtGlc,Unknown,0,3,6pgc,C5[13C]H12O10P-,276,C6H8O6P-,209,0,cps,0,cps,0,normMax,0.014297341,,EPI,f,
27851,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-4,OxicWtGlc,Unknown,0,4,6pgc,C5[13C]H12O10P-,276,C6H8O6P-,209,0,cps,0,cps,,normMax,0.014297341,,EPI,f,
30619,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-5,OxicWtGlc,Unknown,0,5,6pgc,C5[13C]H12O10P-,276,C6H8O6P-,209,0,cps,0,cps,,normMax,0.014297341,,EPI,f,
33352,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-6,OxicWtGlc,Unknown,0,6,6pgc,C5[13C]H12O10P-,276,C6H8O6P-,209,0,cps,0,cps,,normMax,0.014297341,,EPI,f,
19618,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-1,OxicWtGlc,Unknown,0,1,6pgc,C5[13C]H12O10P-,276,C6H8O6P-,210,0,cps,0,cps,,normMax,0.000866209,,EPI,f,
22386,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-2,OxicWtGlc,Unknown,0,2,6pgc,C5[13C]H12O10P-,276,C6H8O6P-,210,0,cps,0,cps,,normMax,0.000866209,,EPI,f,
25119,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-3,OxicWtGlc,Unknown,0,3,6pgc,C5[13C]H12O10P-,276,C6H8O6P-,210,0,cps,0,cps,0,normMax,0.000866209,,EPI,f,
27852,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-4,OxicWtGlc,Unknown,0,4,6pgc,C5[13C]H12O10P-,276,C6H8O6P-,210,0,cps,0,cps,,normMax,0.000866209,,EPI,f,
30620,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-5,OxicWtGlc,Unknown,0,5,6pgc,C5[13C]H12O10P-,276,C6H8O6P-,210,1529.305542,cps,0,cps,,normMax,0.000866209,,EPI,f,
33353,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-6,OxicWtGlc,Unknown,0,6,6pgc,C5[13C]H12O10P-,276,C6H8O6P-,210,0,cps,0,cps,,normMax,0.000866209,,EPI,f,
19619,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-1,OxicWtGlc,Unknown,0,1,6pgc,C5[13C]H12O10P-,276,C6H8O6P-,211,0,cps,0,cps,,normMax,8.76E-05,,EPI,f,
