exp_type_id,experimentor_id,is_id,experiment_id,sample_id,sample_name_short,sample_name_abbreviation,sample_date,time_point,sample_condition,extraction_method_id,biological_material,sample_description,sample_replicate,sample concentration [g/l],is_added,is_added_units,reconsitution_volume,reconstitution_volume_units,calculated extracted biomass density,sample_replicate_biological,istechnical,growth_condition_short,growth_condition_long,media_short,media_long,isoxic,temperature,supplementation,od600,vcd,culture_density,mass before sampling [g],mass after sampling [g],mass sampled [g],culture_volume_sampled,cells,dcw,wcw,vcd_units,culture_density_units,culture_volume_sampled_units,dcw_units,wcw_units,final extracted sample concentration calculated [g/l],dilution volume calculated [ml],notes,acquisition_method_id,quantitation_method_id,sample_type,sample_label,ph,box,pos
4,2,,recoveryExperiment01,140509_FSF01,FSF01,FSF,140509,0,StandardsFastSwinnexFiltration,Aqueous acetonitrile filtration,Standards,Broth,1,,0,mL,0.1,mL,,1,FALSE,,,,,,,,,,,,,,,,,,cells*L-1,g*L-1,mL,mg,mg,,,,131015_McCloskey2013,,Unknown,FSF,7,,
4,2,,recoveryExperiment01,140509_FSF02,FSF02,FSF,140509,0,StandardsFastSwinnexFiltration,Aqueous acetonitrile filtration,Standards,Broth,2,,0,mL,0.1,mL,,2,FALSE,,,,,,,,,,,,,,,,,,cells*L-1,g*L-1,mL,mg,mg,,,,131015_McCloskey2013,,Unknown,FSF,7,,
4,2,,recoveryExperiment01,140509_FSF03,FSF03,FSF,140509,0,StandardsFastSwinnexFiltration,Aqueous acetonitrile filtration,Standards,Broth,3,,0,mL,0.1,mL,,3,FALSE,,,,,,,,,,,,,,,,,,cells*L-1,g*L-1,mL,mg,mg,,,,131015_McCloskey2013,,Unknown,FSF,7,,
4,2,,recoveryExperiment01,140509_FSF04,FSF04,FSF,140509,0,StandardsFastSwinnexFiltration,Aqueous acetonitrile filtration,Standards,Broth,4,,0,mL,0.1,mL,,4,FALSE,,,,,,,,,,,,,,,,,,cells*L-1,g*L-1,mL,mg,mg,,,,131015_McCloskey2013,,Unknown,FSF,7,,
4,2,,recoveryExperiment01,140509_DE01,DE01,DE,140509,0,StandardsDirectExtraction,Aqueous acetonitrile filtration,Standards,Broth,1,,0,mL,0.1,mL,,1,FALSE,,,,,,,,,,,,,,,,,,cells*L-1,g*L-1,mL,mg,mg,,,,131015_McCloskey2013,,Unknown,DE,7,,
4,2,,recoveryExperiment01,140509_DE02,DE02,DE,140509,0,StandardsDirectExtraction,Aqueous acetonitrile filtration,Standards,Broth,2,,0,mL,0.1,mL,,2,FALSE,,,,,,,,,,,,,,,,,,cells*L-1,g*L-1,mL,mg,mg,,,,131015_McCloskey2013,,Unknown,DE,7,,
4,2,,recoveryExperiment01,140509_DE03,DE03,DE,140509,0,StandardsDirectExtraction,Aqueous acetonitrile filtration,Standards,Broth,3,,0,mL,0.1,mL,,3,FALSE,,,,,,,,,,,,,,,,,,cells*L-1,g*L-1,mL,mg,mg,,,,131015_McCloskey2013,,Unknown,DE,7,,
4,2,,recoveryExperiment01,140509_DE04,DE04,DE,140509,0,StandardsDirectExtraction,Aqueous acetonitrile filtration,Standards,Broth,4,,0,mL,0.1,mL,,4,FALSE,,,,,,,,,,,,,,,,,,cells*L-1,g*L-1,mL,mg,mg,,,,131015_McCloskey2013,,Unknown,DE,7,,
4,2,,recoveryExperiment01,140509_CF01,CF01,CF,140509,0,StandardsCentrivap,Aqueous acetonitrile filtration,Standards,Broth,1,,0,mL,0.1,mL,,1,FALSE,,,,,,,,,,,,,,,,,,cells*L-1,g*L-1,mL,mg,mg,,,,131015_McCloskey2013,,Unknown,CEN,7,,
4,2,,recoveryExperiment01,140509_CF02,CF02,CF,140509,0,StandardsCentrivap,Aqueous acetonitrile filtration,Standards,Broth,2,,0,mL,0.1,mL,,2,FALSE,,,,,,,,,,,,,,,,,,cells*L-1,g*L-1,mL,mg,mg,,,,131015_McCloskey2013,,Unknown,CEN,7,,
4,2,,recoveryExperiment01,140509_CF03,CF03,CF,140509,0,StandardsCentrivap,Aqueous acetonitrile filtration,Standards,Broth,3,,0,mL,0.1,mL,,3,FALSE,,,,,,,,,,,,,,,,,,cells*L-1,g*L-1,mL,mg,mg,,,,131015_McCloskey2013,,Unknown,CEN,7,,
4,2,,recoveryExperiment01,140509_CF04,CF04,CF,140509,0,StandardsCentrivap,Aqueous acetonitrile filtration,Standards,Broth,4,,0,mL,0.1,mL,,4,FALSE,,,,,,,,,,,,,,,,,,cells*L-1,g*L-1,mL,mg,mg,,,,131015_McCloskey2013,,Unknown,CEN,7,,
4,2,,recoveryExperiment01,140509_SST01,SST01,SST,140509,0,StandardsSystemSuitabilityTest,Aqueous acetonitrile filtration,Standards,Broth,1,,0,mL,0.1,mL,,1,FALSE,,,,,,,,,,,,,,,,,,cells*L-1,g*L-1,mL,mg,mg,,,,131015_McCloskey2013,,Unknown,SST,7,,
4,2,,recoveryExperiment01,140509_SST02,SST02,SST,140509,0,StandardsSystemSuitabilityTest,Aqueous acetonitrile filtration,Standards,Broth,2,,0,mL,0.1,mL,,2,FALSE,,,,,,,,,,,,,,,,,,cells*L-1,g*L-1,mL,mg,mg,,,,131015_McCloskey2013,,Unknown,SST,7,,
4,2,,recoveryExperiment01,140509_SST03,SST03,SST,140509,0,StandardsSystemSuitabilityTest,Aqueous acetonitrile filtration,Standards,Broth,3,,0,mL,0.1,mL,,3,FALSE,,,,,,,,,,,,,,,,,,cells*L-1,g*L-1,mL,mg,mg,,,,131015_McCloskey2013,,Unknown,SST,7,,
4,2,,recoveryExperiment01,140509_SST04,SST04,SST,140509,0,StandardsSystemSuitabilityTest,Aqueous acetonitrile filtration,Standards,Broth,4,,0,mL,0.1,mL,,4,FALSE,,,,,,,,,,,,,,,,,,cells*L-1,g*L-1,mL,mg,mg,,,,131015_McCloskey2013,,Unknown,SST,7,,
4,2,,recoveryExperiment01,140509_FSF05,FSF05,FSF,140509,0,StandardsFastSwinnexFiltration,Aqueous acetonitrile filtration,Standards,Broth,5,,0,mL,0.1,mL,,1,TRUE,,,,,,,,,,,,,,,,,,cells*L-1,g*L-1,mL,mg,mg,,,,131015_McCloskey2013,,Unknown,FSF,7,,
4,2,,recoveryExperiment01,140509_FSF06,FSF06,FSF,140509,0,StandardsFastSwinnexFiltration,Aqueous acetonitrile filtration,Standards,Broth,6,,0,mL,0.1,mL,,2,TRUE,,,,,,,,,,,,,,,,,,cells*L-1,g*L-1,mL,mg,mg,,,,131015_McCloskey2013,,Unknown,FSF,7,,
4,2,,recoveryExperiment01,140509_FSF07,FSF07,FSF,140509,0,StandardsFastSwinnexFiltration,Aqueous acetonitrile filtration,Standards,Broth,7,,0,mL,0.1,mL,,3,TRUE,,,,,,,,,,,,,,,,,,cells*L-1,g*L-1,mL,mg,mg,,,,131015_McCloskey2013,,Unknown,FSF,7,,
4,2,,recoveryExperiment01,140509_FSF08,FSF08,FSF,140509,0,StandardsFastSwinnexFiltration,Aqueous acetonitrile filtration,Standards,Broth,8,,0,mL,0.1,mL,,4,TRUE,,,,,,,,,,,,,,,,,,cells*L-1,g*L-1,mL,mg,mg,,,,131015_McCloskey2013,,Unknown,FSF,7,,
