Sample Name,Sample Type,Component Group Name
140521_Blank-01,Blank,arg-L
140521_Blank-01,Blank,orn
140521_Blank-01,Blank,his-L
140521_Blank-01,Blank,his-L
140521_Blank-01,Blank,asn-L
140521_Blank-01,Blank,asn-L
140521_Blank-01,Blank,ser-L
140521_Blank-01,Blank,ser-L
140521_Blank-01,Blank,citr-L
140521_Blank-01,Blank,gln-L
140521_Blank-01,Blank,gln-L
140521_Blank-01,Blank,Hexose_Pool_fru_glc-D
140521_Blank-01,Blank,Hexose_Pool_fru_glc-D
140521_Blank-01,Blank,Lcystin
140521_Blank-01,Blank,thr-L
140521_Blank-01,Blank,ala-L
140521_Blank-01,Blank,ala-L
140521_Blank-01,Blank,cytd
140521_Blank-01,Blank,ura
140521_Blank-01,Blank,AICAr
140521_Blank-01,Blank,met-L
140521_Blank-01,Blank,uri
140521_Blank-01,Blank,uri
140521_Blank-01,Blank,gua
140521_Blank-01,Blank,hxan
140521_Blank-01,Blank,tyr-L
140521_Blank-01,Blank,tyr-L
140521_Blank-01,Blank,xan
140521_Blank-01,Blank,ins
140521_Blank-01,Blank,ins
140521_Blank-01,Blank,gsn
140521_Blank-01,Blank,gsn
140521_Blank-01,Blank,thym
140521_Blank-01,Blank,ade
140521_Blank-01,Blank,ade
140521_Blank-01,Blank,gam6p
140521_Blank-01,Blank,gam6p
140521_Blank-01,Blank,adn
140521_Blank-01,Blank,phe-L
140521_Blank-01,Blank,phe-L
140521_Blank-01,Blank,asp-L
140521_Blank-01,Blank,asp-L
140521_Blank-01,Blank,glu-L
140521_Blank-01,Blank,glu-L
140521_Blank-01,Blank,skm
140521_Blank-01,Blank,skm
140521_Blank-01,Blank,glx
140521_Blank-01,Blank,glyclt
140521_Blank-01,Blank,glyclt
140521_Blank-01,Blank,trp-L
140521_Blank-01,Blank,trp-L
140521_Blank-01,Blank,5oxpro
140521_Blank-01,Blank,5oxpro
140521_Blank-01,Blank,lac-L
140521_Blank-01,Blank,lac-L
140521_Blank-01,Blank,urate
140521_Blank-01,Blank,urate
140521_Blank-01,Blank,gthrd
140521_Blank-01,Blank,gthrd
140521_Blank-01,Blank,nad
140521_Blank-01,Blank,nad
140521_Blank-01,Blank,pyr
140521_Blank-01,Blank,pyr
140521_Blank-01,Blank,f6p
140521_Blank-01,Blank,f6p
140521_Blank-01,Blank,g3p
140521_Blank-01,Blank,g3p
140521_Blank-01,Blank,g6p
140521_Blank-01,Blank,g6p
140521_Blank-01,Blank,r5p
140521_Blank-01,Blank,r5p
140521_Blank-01,Blank,s7p
140521_Blank-01,Blank,s7p
140521_Blank-01,Blank,glyc3p
140521_Blank-01,Blank,glyc3p
140521_Blank-01,Blank,r5p
140521_Blank-01,Blank,r5p
140521_Blank-01,Blank,g1p
140521_Blank-01,Blank,g1p
140521_Blank-01,Blank,cmp
140521_Blank-01,Blank,cmp
140521_Blank-01,Blank,ru5p-D
140521_Blank-01,Blank,ru5p-D
140521_Blank-01,Blank,2obut
140521_Blank-01,Blank,2obut
140521_Blank-01,Blank,f1p
140521_Blank-01,Blank,f1p
140521_Blank-01,Blank,ru5p-D
140521_Blank-01,Blank,ru5p-D
140521_Blank-01,Blank,dcmp
140521_Blank-01,Blank,dcmp
140521_Blank-01,Blank,ump
140521_Blank-01,Blank,ump
140521_Blank-01,Blank,dhap
140521_Blank-01,Blank,dhap
140521_Blank-01,Blank,dump
140521_Blank-01,Blank,dump
140521_Blank-01,Blank,dimp
140521_Blank-01,Blank,dimp
140521_Blank-01,Blank,35cgmp
