"id","experiment_id","sample_name","sample_id","component_group_name","component_name","calculated_concentration","calculated_concentration_units","used_","comment_"
37836,"rpomut02","140503_0_OxicRpoBE546VGlcM9_Broth-1","140503_0_OxicRpoBE546VGlcM9_Broth-1","atp","atp.atp_1.Light",1.68640742288961,"mM",t,""
37919,"rpomut02","140503_0_OxicRpoBE546VGlcM9_Broth-2","140503_0_OxicRpoBE546VGlcM9_Broth-2","atp","atp.atp_1.Light",1.53935206206083,"mM",t,""
37910,"rpomut02","140503_0_OxicRpoBE546VGlcM9_Broth-2","140503_0_OxicRpoBE546VGlcM9_Broth-2","23dpg","23dpg.23dpg_1.Light",0.018163006,"mM",t,""
37911,"rpomut02","140503_0_OxicRpoBE546VGlcM9_Broth-2","140503_0_OxicRpoBE546VGlcM9_Broth-2","accoa","accoa.accoa_1.Light",0.794004012,"mM",t,""
37994,"rpomut02","140503_0_OxicRpoBE546VGlcM9_Broth-3","140503_0_OxicRpoBE546VGlcM9_Broth-3","23dpg","23dpg.23dpg_1.Light",0.016182429,"mM",t,""
37995,"rpomut02","140503_0_OxicRpoBE546VGlcM9_Broth-3","140503_0_OxicRpoBE546VGlcM9_Broth-3","accoa","accoa.accoa_1.Light",0.778486393,"mM",t,""
38003,"rpomut02","140503_0_OxicRpoBE546VGlcM9_Broth-3","140503_0_OxicRpoBE546VGlcM9_Broth-3","atp","atp.atp_1.Light",1.43464844465337,"mM",t,""
38092,"rpomut02","140503_0_OxicRpoBE546VGlcM9_Broth-4","140503_0_OxicRpoBE546VGlcM9_Broth-4","atp","atp.atp_1.Light",1.52691269615801,"mM",t,""
38083,"rpomut02","140503_0_OxicRpoBE546VGlcM9_Broth-4","140503_0_OxicRpoBE546VGlcM9_Broth-4","23dpg","23dpg.23dpg_1.Light",0.020268146,"mM",t,""
38084,"rpomut02","140503_0_OxicRpoBE546VGlcM9_Broth-4","140503_0_OxicRpoBE546VGlcM9_Broth-4","accoa","accoa.accoa_1.Light",0.922800935,"mM",t,""
38177,"rpomut02","140503_0_OxicRpoBE546VGlcM9_Broth-5","140503_0_OxicRpoBE546VGlcM9_Broth-5","atp","atp.atp_1.Light",1.65591604907773,"mM",t,""
38168,"rpomut02","140503_0_OxicRpoBE546VGlcM9_Broth-5","140503_0_OxicRpoBE546VGlcM9_Broth-5","23dpg","23dpg.23dpg_1.Light",0.023777004,"mM",t,""
38169,"rpomut02","140503_0_OxicRpoBE546VGlcM9_Broth-5","140503_0_OxicRpoBE546VGlcM9_Broth-5","accoa","accoa.accoa_1.Light",0.785255809,"mM",t,""
38261,"rpomut02","140503_0_OxicRpoBE546VGlcM9_Broth-6","140503_0_OxicRpoBE546VGlcM9_Broth-6","atp","atp.atp_1.Light",1.26173787265642,"mM",t,""
38252,"rpomut02","140503_0_OxicRpoBE546VGlcM9_Broth-6","140503_0_OxicRpoBE546VGlcM9_Broth-6","23dpg","23dpg.23dpg_1.Light",0.011005462,"mM",t,""
38253,"rpomut02","140503_0_OxicRpoBE546VGlcM9_Broth-6","140503_0_OxicRpoBE546VGlcM9_Broth-6","accoa","accoa.accoa_1.Light",0.696689399,"mM",t,""
38325,"rpomut02","140503_0_OxicRpoBE546VGlcM9_Broth-6-10.0x","140503_0_OxicRpoBE546VGlcM9_Broth-6","acon-C","acon-C.acon-C_1.Light",0.205382866,"mM",t,""
38341,"rpomut02","140503_0_OxicRpoBE546VGlcM9_Filtrate-1","140503_0_OxicRpoBE546VGlcM9_Filtrate-1","23dpg","23dpg.23dpg_1.Light",0.005676868,"mM",t,""
38433,"rpomut02","140503_0_OxicRpoBE546VGlcM9_Filtrate-4-10.0x","140503_0_OxicRpoBE546VGlcM9_Filtrate-4","s7p","s7p.s7p_1.Light",0.00470579157128842,"mM",t,""
38443,"rpomut02","140503_0_OxicRpoBE672K-rph-pyrE82GlcM9_Broth-1","140503_0_OxicRpoBE672K-rph-pyrE82GlcM9_Broth-1","atp","atp.atp_1.Light",1.50210035869788,"mM",t,""
38530,"rpomut02","140503_0_OxicRpoBE672K-rph-pyrE82GlcM9_Broth-2","140503_0_OxicRpoBE672K-rph-pyrE82GlcM9_Broth-2","atp","atp.atp_1.Light",6.26412751888634,"mM",t,""
38521,"rpomut02","140503_0_OxicRpoBE672K-rph-pyrE82GlcM9_Broth-2","140503_0_OxicRpoBE672K-rph-pyrE82GlcM9_Broth-2","23dpg","23dpg.23dpg_1.Light",0.023062517,"mM",t,""
38522,"rpomut02","140503_0_OxicRpoBE672K-rph-pyrE82GlcM9_Broth-2","140503_0_OxicRpoBE672K-rph-pyrE82GlcM9_Broth-2","accoa","accoa.accoa_1.Light",1.95835534,"mM",t,""
38613,"rpomut02","140503_0_OxicRpoBE672K-rph-pyrE82GlcM9_Broth-3","140503_0_OxicRpoBE672K-rph-pyrE82GlcM9_Broth-3","atp","atp.atp_1.Light",0.796138496229905,"mM",t,""
38604,"rpomut02","140503_0_OxicRpoBE672K-rph-pyrE82GlcM9_Broth-3","140503_0_OxicRpoBE672K-rph-pyrE82GlcM9_Broth-3","23dpg","23dpg.23dpg_1.Light",0.007862194,"mM",t,""
38701,"rpomut02","140503_0_OxicRpoBE672K-rph-pyrE82GlcM9_Broth-4","140503_0_OxicRpoBE672K-rph-pyrE82GlcM9_Broth-4","atp","atp.atp_1.Light",1.74104547280909,"mM",t,""
