exp_type_id,experimentor_id,is_id,experiment_id,sample_id,sample_name_short,sample_name_abbreviation,sample_date,time_point,sample_condition,extraction_method_id,biological_material,sample_description,sample_replicate,sample concentration [g/l],is_added,is_added_units,reconsitution_volume,reconstitution_volume_units,calculated extracted biomass density,sample_replicate_biological,istechnical,growth_condition_short,growth_condition_long,media_short,media_long,isoxic,temperature,supplementation,od600,vcd,culture_density,mass before sampling [g],mass after sampling [g],mass sampled [g],culture_volume_sampled,cells,dcw,wcw,vcd_units,culture_density_units,culture_volume_sampled_units,dcw_units,wcw_units,final extracted sample concentration calculated [g/l],dilution volume calculated [ml],notes,acquisition_method_id,quantitation_method_id,sample_type,sample_label,ph,box,pos
4,3,3,rpomut02,140503_0_OxicWTEcoliGlcM9_Broth-1,OxicWtGlc_Broth-1,OxicWtGlc,140503,0,OxicWTEcoliGlcM9,Aqueous acidic acetonitrile filtration,MG1655,Broth,1,1.4688,0.05,mL,0.5,mL,1.4688,1,FALSE,Batch,Aerobic E. coli; Grown and sampled from shake flasks in a water bath at 37C,Glucose M9 minimal media,,TRUE,37,,0.816,1.27E+12,0.3672,,,2,2,2.53E+09,0.73,2.41,cells*L-1,g*L-1,mL,mg,mg,1,0.7344,,140521_McCloskey2013,140521,Unknown,WTB1,7,8,51
4,3,3,rpomut02,140503_0_OxicWTEcoliGlcM9_Broth-2,OxicWtGlc_Broth-2,OxicWtGlc,140503,0,OxicWTEcoliGlcM9,Aqueous acidic acetonitrile filtration,MG1655,Broth,2,1.4256,0.05,mL,0.5,mL,1.4256,2,FALSE,Batch,Aerobic E. coli; Grown and sampled from shake flasks in a water bath at 37C,Glucose M9 minimal media,,TRUE,37,,0.792,1.23E+12,0.3564,,,2,2,2.46E+09,0.71,2.34,cells*L-1,g*L-1,mL,mg,mg,1,0.7128,,140521_McCloskey2013,140521,Unknown,WTB2,7,8,52
4,3,3,rpomut02,140503_0_OxicWTEcoliGlcM9_Broth-3,OxicWtGlc_Broth-3,OxicWtGlc,140503,0,OxicWTEcoliGlcM9,Aqueous acidic acetonitrile filtration,MG1655,Broth,3,1.4328,0.05,mL,0.5,mL,1.4328,3,FALSE,Batch,Aerobic E. coli; Grown and sampled from shake flasks in a water bath at 37C,Glucose M9 minimal media,,TRUE,37,,0.796,1.24E+12,0.3582,,,2,2,2.47E+09,0.72,2.35,cells*L-1,g*L-1,mL,mg,mg,1,0.7164,,140521_McCloskey2013,140521,Unknown,WTB3,7,8,53
4,3,3,rpomut02,140503_0_OxicWTEcoliGlcM9_Filtrate-1,OxicWtGlc_Filtrate-1,OxicWtGlc,140503,0,OxicWTEcoliGlcM9,Aqueous acidic acetonitrile filtration,MG1655,Filtrate,1,1.4424,0.05,mL,0.5,mL,1.4424,1,FALSE,Batch,Aerobic E. coli; Grown and sampled from shake flasks in a water bath at 37C,Glucose M9 minimal media,,TRUE,37,,0.801333333,1.24E+12,0.3606,,,2,2,2.49E+09,0.72,2.36,cells*L-1,g*L-1,mL,mg,mg,1,0.7212,,140521_McCloskey2013,140521,Unknown,WTF1,7,8,54
4,3,3,rpomut02,140503_0_OxicRpoBE546VGlcM9_Broth-1,OxicRpoBE546V_Broth-1,OxicRpoBE546V,140503,0,OxicRpoBE546VGlcM9,Aqueous acidic acetonitrile filtration,MG1655,Broth,1,2.016,0.05,mL,0.5,mL,2.016,1,FALSE,Batch,Aerobic E. coli; Grown and sampled from shake flasks in a water bath at 37C,Glucose M9 minimal media,,TRUE,37,,1.12,1.74E+12,0.504,,,2,2,3.48E+09,1.01,3.3,cells*L-1,g*L-1,mL,mg,mg,1,1.008,,140521_McCloskey2013,140521,Unknown,546B1,7,8,55
4,3,3,rpomut02,140503_0_OxicRpoBE546VGlcM9_Broth-2,OxicRpoBE546V_Broth-2,OxicRpoBE546V,140503,0,OxicRpoBE546VGlcM9,Aqueous acidic acetonitrile filtration,MG1655,Broth,2,1.9872,0.05,mL,0.5,mL,1.9872,2,FALSE,Batch,Aerobic E. coli; Grown and sampled from shake flasks in a water bath at 37C,Glucose M9 minimal media,,TRUE,37,,1.104,1.71E+12,0.4968,,,2,2,3.43E+09,0.99,3.25,cells*L-1,g*L-1,mL,mg,mg,1,0.9936,,140521_McCloskey2013,140521,Unknown,546B2,7,8,56
4,3,3,rpomut02,140503_0_OxicRpoBE546VGlcM9_Broth-3,OxicRpoBE546V_Broth-3,OxicRpoBE546V,140503,0,OxicRpoBE546VGlcM9,Aqueous acidic acetonitrile filtration,MG1655,Broth,3,2.0016,0.05,mL,0.5,mL,2.0016,3,FALSE,Batch,Aerobic E. coli; Grown and sampled from shake flasks in a water bath at 37C,Glucose M9 minimal media,,TRUE,37,,1.112,1.73E+12,0.5004,,,2,2,3.45E+09,1,3.28,cells*L-1,g*L-1,mL,mg,mg,1,1.0008,,140521_McCloskey2013,140521,Unknown,546B3,7,8,57
4,3,3,rpomut02,140503_0_OxicRpoBE546VGlcM9_Filtrate-1,OxicRpoBE546V_Filtrate-1,OxicRpoBE546V,140503,0,OxicRpoBE546VGlcM9,Aqueous acidic acetonitrile filtration,MG1655,Filtrate,1,2.0016,0.05,mL,0.5,mL,2.0016,1,FALSE,Batch,Aerobic E. coli; Grown and sampled from shake flasks in a water bath at 37C,Glucose M9 minimal media,,TRUE,37,,1.112,1.73E+12,0.5004,,,2,2,3.45E+09,1,3.28,cells*L-1,g*L-1,mL,mg,mg,1,1.0008,,140521_McCloskey2013,140521,Unknown,546F1,7,8,58
4,3,3,rpomut02,140503_0_OxicRpoBE672KGlcM9_Broth-1,OxicRpoBE672K_Broth-1,OxicRpoBE672K,140503,0,OxicRpoBE672KGlcM9,Aqueous acidic acetonitrile filtration,MG1655,Broth,1,2.1096,0.05,mL,0.5,mL,2.1096,1,FALSE,Batch,Aerobic E. coli; Grown and sampled from shake flasks in a water bath at 37C,Glucose M9 minimal media,,TRUE,37,,1.172,1.82E+12,0.5274,,,2,2,3.64E+09,1.05,3.46,cells*L-1,g*L-1,mL,mg,mg,1,1.0548,,140521_McCloskey2013,140521,Unknown,672B1,7,8,59
4,3,3,rpomut02,140503_0_OxicRpoBE672KGlcM9_Broth-2,OxicRpoBE672K_Broth-2,OxicRpoBE672K,140503,0,OxicRpoBE672KGlcM9,Aqueous acidic acetonitrile filtration,MG1655,Broth,2,2.0016,0.05,mL,0.5,mL,2.0016,2,FALSE,Batch,Aerobic E. coli; Grown and sampled from shake flasks in a water bath at 37C,Glucose M9 minimal media,,TRUE,37,,1.112,1.73E+12,0.5004,,,2,2,3.45E+09,1,3.28,cells*L-1,g*L-1,mL,mg,mg,1,1.0008,,140521_McCloskey2013,140521,Unknown,672B2,7,8,60
