Index,Sample Index,Original Filename,Sample Name,Sample ID,Sample Comment,Sample Type,Acquisition Date & Time,Rack Number,Plate Number,Vial Number,Dilution Factor,Injection Volume,Operator Name,Acq. Method Name,IS,Component Name,Component Index,Component Comment,IS Comment,Mass Info,IS Mass Info,IS Name,Component Group Name,Conc. Units,Failed Query,IS Failed Query,Outlier Reasons,Peak Comment,IS Peak Comment,Actual Concentration,IS Actual Concentration,Concentration Ratio,Expected RT,IS Expected RT,Integration Type,IS Integration Type,Area,IS Area,Corrected Area,IS Corrected Area,Area Ratio,Height,IS Height,Corrected Height,IS Corrected Height,Height Ratio,Area / Height,IS Area / Height,Corrected Area/Height,IS Corrected Area/Height,Region Height,IS Region Height,Quality,IS Quality,Retention Time,IS Retention Time,Start Time,IS Start Time,End Time,IS End Time,Total Width,IS Total Width,Width at 50%,IS Width at 50%,Signal / Noise,IS Signal / Noise,Baseline Delta / Height,IS Baseline Delta / Height,Modified,Relative RT,Used,Calculated Concentration,Accuracy,Start Time at 5%,End Time at 5%,Width at 5%,Start Time at 10%,End Time at 10%,Width at 10%,Slope of Baseline,Tailing Factor,Asymmetry Factor,Ion Ratio,Expected Ion Ratio,Points Across Baseline,Points Across Half Height,Comment,Use_Calculated_Concentration
80,1,C:\Users\dmccloskey-sbrg\Analyst\Data\14082602\140826_genomatica01.wiff (sample 1),140820_0_QC_Broth-1,,,Quality Control,9/5/2014 20:56,3,1,46,1,10,BOP5500QTRAP\Administrator,140718_McCloskey2013.dam,TRUE,dtdpglu.dtdpglu_1.Heavy,80,,N/A,579.0 / 331.0,N/A,N/A,dtdpglu,uM,FALSE,FALSE,,,N/A,1,N/A,N/A,13.2,N/A,Baseline,N/A,12673.292,N/A,12673.292,N/A,N/A,2000,N/A,2000,N/A,N/A,6.336646,N/A,6.336646,N/A,2000,N/A,0.79723866,N/A,12.78684377,N/A,12.67595,N/A,12.90926667,N/A,0.233316667,N/A,0.110118537,N/A,28.71147477,N/A,0,N/A,FALSE,N/A,TRUE,N/A,N/A,12.68180088,12.90678067,0.224979795,12.68822639,12.90429468,0.216068289,0,1.069982588,1.188987717,1,N/A,21,11,,TRUE
256,1,C:\Users\dmccloskey-sbrg\Analyst\Data\14082602\140826_genomatica01.wiff (sample 1),140820_0_QC_Broth-1,,,Quality Control,9/5/2014 20:56,3,1,46,1,10,BOP5500QTRAP\Administrator,140718_McCloskey2013.dam,FALSE,dtdpglu.dtdpglu_1.Light,256,,,563.0 / 321.0,579.0 / 331.0,dtdpglu.dtdpglu_1.Heavy,dtdpglu,uM,FALSE,FALSE,Accuracy,,,0,1,0,13.2,13.2,Valley,Baseline,51489.2695,12673.292,51489.2695,12673.292,4.062817262,7048,2000,7048,2000,3.524,7.305514969,6.336646,7.305514969,6.336646,6953,2000,0.594074167,0.79723866,12.79203559,12.78684377,12.64291667,12.67595,12.94491667,12.90926667,0.302,0.233316667,0.107675048,0.110118537,81.70790533,28.71147477,0,0,FALSE,1.000406028,TRUE,0.005752979,N/A,12.685955,12.94491667,0.258961667,12.69860195,12.94491667,0.246314718,0,1.146744505,1.456643998,1,N/A,27,11,,TRUE
257,1,C:\Users\dmccloskey-sbrg\Analyst\Data\14082602\140826_genomatica01.wiff (sample 1),140820_0_QC_Broth-1,,,Quality Control,9/5/2014 20:56,3,1,46,1,10,BOP5500QTRAP\Administrator,140718_McCloskey2013.dam,FALSE,dtdpglu.dtdpglu_2.Light,257,,,563.0 / 79.0,579.0 / 331.0,dtdpglu.dtdpglu_1.Heavy,dtdpglu,uM,FALSE,FALSE,Accuracy,,,0,1,0,13.2,13.2,Baseline,Baseline,2876.5875,12673.292,2876.5875,12673.292,0.226980291,2681.199461,2000,2681.199461,2000,1.34059973,1.07287337,6.336646,1.07287337,6.336646,2191,2000,N/A,0.79723866,12.79886667,12.78684377,12.78693333,12.67595,12.82403333,12.90926667,0.0371,0.233316667,0.015736215,0.110118537,2.253011288,28.71147477,0.568402322,0,FALSE,1.000940255,FALSE,<2 points,N/A,12.78693333,12.81546448,0.02853115,12.78693333,12.81448086,0.027547522,-41078.16712,1.195439237,1.30845158,0.380419901,N/A,4,3,,TRUE
410,2,C:\Users\dmccloskey-sbrg\Analyst\Data\14082602\140826_genomatica01.wiff (sample 9),140820_0_QC_Broth-2,,,Quality Control,9/6/2014 1:27,3,1,46,1,10,BOP5500QTRAP\Administrator,140718_McCloskey2013.dam,TRUE,dtdpglu.dtdpglu_1.Heavy,80,,N/A,579.0 / 331.0,N/A,N/A,dtdpglu,uM,FALSE,FALSE,,,N/A,1,N/A,N/A,13.2,N/A,Baseline,N/A,11315.3145,N/A,11315.3145,N/A,N/A,2000,N/A,2000,N/A,N/A,5.65765725,N/A,5.65765725,N/A,2000,N/A,0.85405181,N/A,12.7664218,N/A,12.6753,N/A,12.9285,N/A,0.2532,N/A,0.073851199,N/A,33.64152291,N/A,0,N/A,FALSE,N/A,TRUE,N/A,N/A,12.68634939,12.92435664,0.238007254,12.69200384,12.92021329,0.228209447,0,1.818220267,2.816456527,1,N/A,23,9,,TRUE
586,2,C:\Users\dmccloskey-sbrg\Analyst\Data\14082602\140826_genomatica01.wiff (sample 9),140820_0_QC_Broth-2,,,Quality Control,9/6/2014 1:27,3,1,46,1,10,BOP5500QTRAP\Administrator,140718_McCloskey2013.dam,FALSE,dtdpglu.dtdpglu_1.Light,256,,,563.0 / 321.0,579.0 / 331.0,dtdpglu.dtdpglu_1.Heavy,dtdpglu,uM,FALSE,FALSE,Accuracy,,,0,1,0,13.2,13.2,Valley,Baseline,40395.863,11315.3145,40395.863,11315.3145,3.570016812,7429,2000,7429,2000,3.7145,5.437590927,5.65765725,5.437590927,5.65765725,7239,2000,0.654581641,0.85405181,12.78727666,12.7664218,12.65303333,12.6753,12.88183333,12.9285,0.2288,0.2532,0.082103188,0.073851199,64.19046865,33.64152291,0,0,FALSE,1.001633571,TRUE,0.006007314,N/A,12.66172131,12.87870942,0.21698811,12.68114176,12.87231439,0.191172626,0,0.879595773,0.839526634,1,N/A,21,9,,TRUE
587,2,C:\Users\dmccloskey-sbrg\Analyst\Data\14082602\140826_genomatica01.wiff (sample 9),140820_0_QC_Broth-2,,,Quality Control,9/6/2014 1:27,3,1,46,1,10,BOP5500QTRAP\Administrator,140718_McCloskey2013.dam,FALSE,dtdpglu.dtdpglu_2.Light,257,,,563.0 / 79.0,579.0 / 331.0,dtdpglu.dtdpglu_1.Heavy,dtdpglu,uM,FALSE,FALSE,Accuracy,,,0,1,0,13.2,13.2,N/A,Baseline,N/A,11315.3145,N/A,11315.3145,N/A,N/A,2000,N/A,2000,N/A,N/A,5.65765725,N/A,5.65765725,286,2000,N/A,0.85405181,N/A,12.7664218,N/A,12.6753,N/A,12.9285,N/A,0.2532,N/A,0.073851199,N/A,33.64152291,N/A,0,FALSE,N/A,FALSE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,TRUE
740,3,C:\Users\dmccloskey-sbrg\Analyst\Data\14082602\140826_genomatica01.wiff (sample 19),140820_0_QC_Broth-3,,,Quality Control,9/6/2014 7:07,3,1,47,1,10,BOP5500QTRAP\Administrator,140718_McCloskey2013.dam,TRUE,dtdpglu.dtdpglu_1.Heavy,80,,N/A,579.0 / 331.0,N/A,N/A,dtdpglu,uM,FALSE,FALSE,,,N/A,1,N/A,N/A,13.2,N/A,Baseline,N/A,11905.2805,N/A,11905.2805,N/A,N/A,2191,N/A,2191,N/A,N/A,5.433719991,N/A,5.433719991,N/A,2191,N/A,0.83400445,N/A,12.77456705,N/A,12.67001667,N/A,12.9262,N/A,0.256183333,N/A,0.104102659,N/A,39.55659623,N/A,0,N/A,FALSE,N/A,TRUE,N/A,N/A,12.67414714,12.91377952,0.23963238,12.6782776,12.906849,0.228571392,0,1.137464544,1.258482747,1,N/A,23,11,,TRUE
916,3,C:\Users\dmccloskey-sbrg\Analyst\Data\14082602\140826_genomatica01.wiff (sample 19),140820_0_QC_Broth-3,,,Quality Control,9/6/2014 7:07,3,1,47,1,10,BOP5500QTRAP\Administrator,140718_McCloskey2013.dam,FALSE,dtdpglu.dtdpglu_1.Light,256,,,563.0 / 321.0,579.0 / 331.0,dtdpglu.dtdpglu_1.Heavy,dtdpglu,uM,FALSE,FALSE,Accuracy,,,0,1,0,13.2,13.2,Valley,Baseline,68204.9313,11905.2805,68204.9313,11905.2805,5.728964664,9790.946953,2191,9790.946953,2191,4.468711526,6.966122033,5.433719991,6.966122033,5.433719991,9715,2191,0.812223374,0.83400445,12.78131738,12.77456705,12.65925,12.67001667,13.10258333,12.9262,0.443333333,0.256183333,0.07326736,0.104102659,118.2498192,39.55659623,0.005955273,0,FALSE,1.000528419,TRUE,0.007014257,N/A,12.6815625,12.87759816,0.196035654,12.69361412,12.87433,0.180715877,131.5212626,0.79979189,0.635400141,1,N/A,39,8,,TRUE
917,3,C:\Users\dmccloskey-sbrg\Analyst\Data\14082602\140826_genomatica01.wiff (sample 19),140820_0_QC_Broth-3,,,Quality Control,9/6/2014 7:07,3,1,47,1,10,BOP5500QTRAP\Administrator,140718_McCloskey2013.dam,FALSE,dtdpglu.dtdpglu_2.Light,257,,,563.0 / 79.0,579.0 / 331.0,dtdpglu.dtdpglu_1.Heavy,dtdpglu,uM,FALSE,FALSE,Accuracy,,,0,1,0,13.2,13.2,Baseline,Baseline,10543.781,11905.2805,10543.781,11905.2805,0.885639024,5989.362275,2191,5989.362275,2191,2.73362039,1.760417974,5.433719991,1.760417974,5.433719991,2857,2191,0,0.83400445,12.80189267,12.77456705,12.75685,12.67001667,12.81693333,12.9262,0.060083333,0.256183333,0.043492245,0.104102659,2.979635132,39.55659623,0.381676695,0,FALSE,1.002139064,FALSE,<2 points,N/A,12.75685,12.81537581,0.058525811,12.75685,12.81478322,0.057933224,-38047.15673,0.619102371,0.225667651,0.611724515,N/A,6,6,,TRUE
1070,4,C:\Users\dmccloskey-sbrg\Analyst\Data\14082602\140826_genomatica01.wiff (sample 27),140820_0_QC_Broth-4,,,Quality Control,9/6/2014 11:38,3,1,47,1,10,BOP5500QTRAP\Administrator,140718_McCloskey2013.dam,TRUE,dtdpglu.dtdpglu_1.Heavy,80,,N/A,579.0 / 331.0,N/A,N/A,dtdpglu,uM,FALSE,FALSE,,,N/A,1,N/A,N/A,13.2,N/A,Baseline,N/A,11564.293,N/A,11564.293,N/A,N/A,1905,N/A,1905,N/A,N/A,6.070495013,N/A,6.070495013,N/A,1905,N/A,0.748910484,N/A,12.76873155,N/A,12.66776667,N/A,12.87391667,N/A,0.20615,N/A,0.099026352,N/A,28.49399228,N/A,0,N/A,FALSE,N/A,TRUE,N/A,N/A,12.67334798,12.87193994,0.198591955,12.67895616,12.86996321,0.191007045,0,0.780718665,0.57107658,1,N/A,19,10,,TRUE
