experiment_id,model_id,mapping_id,sample_name_abbreviation,time_point,used_,comment_
ALEsKOs01,140407_iDM2014,central02,OxicEvo04Ecoli13CGlc,0,,
ALEsKOs01,140407_iDM2014,central02,OxicEvo04gndEcoli13CGlc,0,,
ALEsKOs01,140407_iDM2014,central02,OxicEvo04pgiEcoli13CGlc,0,,
ALEsKOs01,140407_iDM2014,central02,OxicEvo04sdhCadhBEcoli13CGlc,0,,
ALEsKOs01,140407_iDM2014,central02,OxicEvo04tpiAEcoli13CGlc,0,,
WTEColi_113C80_U13C20_01,140407_iDM2014,central02,OxicWtGlc,0,,
WTEColi12C01,140407_iDM2014,central02,ERQC,0,,
WTEColi12C01,140407_iDM2014,central02,MRMQC,0,,
WTEColi12C01,140407_iDM2014,central02,OxicWtGlc,0,,
WTEColi12C02,140407_iDM2014,central02,OxicWtGlc,0,,
ALEsKOs01,140407_iDM2014,full01,OxicEvo04Ecoli13CGlc,0,,
ALEsKOs01,140407_iDM2014,full01,OxicEvo04gndEcoli13CGlc,0,,
ALEsKOs01,140407_iDM2014,full01,OxicEvo04pgiEcoli13CGlc,0,,
ALEsKOs01,140407_iDM2014,full01,OxicEvo04sdhCadhBEcoli13CGlc,0,,
ALEsKOs01,140407_iDM2014,full01,OxicEvo04tpiAEcoli13CGlc,0,,
WTEColi_113C80_U13C20_01,140407_iDM2014,full01,OxicWtGlc,0,,
WTEColi12C01,140407_iDM2014,full01,ERQC,0,,
WTEColi12C01,140407_iDM2014,full01,MRMQC,0,,
WTEColi12C01,140407_iDM2014,full01,OxicWtGlc,0,,
WTEColi12C02,140407_iDM2014,full01,OxicWtGlc,0,,
WTEColi_113C80_U13C20_01,iJS2012,central02,OxicWtGlc,0,,
10.1002/btpr.420,iJS2012,central02,Pgi mutant,7 h,,
10.1002/btpr.420,iJS2012,central02,Pgi mutant,5 h,,
10.1002/btpr.420,iJS2012,central02,Pgi mutant,6 h,,
10.1002/btpr.420,iJS2012,central02,Pyk mutant,6 h,,
10.1002/btpr.420,iJS2012,central02,Pyk mutant,7 h,,
10.1002/btpr.420,iJS2012,central02,Pyk mutant,5 h,,
10.1002/btpr.420,iJS2012,central02,Wild type,6 h,,
10.1002/btpr.420,iJS2012,central02,Wild type,7 h,,
10.1002/btpr.420,iJS2012,central02,Wild type,5 h,,
10.1002/btpr.420,140407_iDM2014,central02,Pgi mutant,7 h,,
10.1002/btpr.420,140407_iDM2014,central02,Pgi mutant,5 h,,
10.1002/btpr.420,140407_iDM2014,central02,Pgi mutant,6 h,,
10.1002/btpr.420,140407_iDM2014,central02,Pyk mutant,6 h,,
10.1002/btpr.420,140407_iDM2014,central02,Pyk mutant,7 h,,
10.1002/btpr.420,140407_iDM2014,central02,Pyk mutant,5 h,,
10.1002/btpr.420,140407_iDM2014,central02,Wild type,6 h,,
10.1002/btpr.420,140407_iDM2014,central02,Wild type,7 h,,
10.1002/btpr.420,140407_iDM2014,central02,Wild type,5 h,,
