exp_type_id,experimentor_id,is_id,experiment_id,sample_id,sample_name_short,sample_name_abbreviation,date_label,sample_date,time_point,sample_condition,extraction_method_id,biological_material,sample_description,sample_replicate,sample concentration [g/l],is_added,is_added_units,reconstitution_volume,reconstitution_volume_units,calculated extracted biomass density,sample_replicate_biological,istechnical,growth_condition_short,growth_condition_long,media_short,media_long,isoxic,temperature,supplementation,od600,vcd,culture_density,mass before sampling [g],mass after sampling [g],mass sampled [g],culture_volume_sampled,cells,dcw,wcw,vcd_units,culture_density_units,culture_volume_sampled_units,dcw_units,wcw_units,final extracted sample concentration calculated [g/l],dilution volume calculated [ml],notes,acquisition_method_id,quantitation_method_id,sample_type,sample_label,ph,box,pos,used_
7,2,,ALEsKOs01,140908_1_OxicEvo04gndEcoliGlcM9_Broth-4,OxicEvo04gndEcoliGlc_Broth-4,OxicEvo04gndEcoliGlc,140908,9/8/2014 11:33,1,OxicEvo04gndEcoliGlcM9,Filtration,ALEWtEvo04_gnd_kan,Broth,4,0,,mL,1,mL,0,4,FALSE,Batch,Aerobic E. coli; Grown and sampled from Tumble Stirrer at 37C,Glucose M9 minimal media,,TRUE,37,,,0,0,,,,1,0.00E+00,0.00,0.00,cells*L-1,g*L-1,mL,mg,mg,1,0,,,,Unknown,OxicEvo04gndEcoliGlc_4.1,,,,TRUE
7,2,,ALEsKOs01,140908_2_OxicEvo04gndEcoliGlcM9_Broth-4,OxicEvo04gndEcoliGlc_Broth-4,OxicEvo04gndEcoliGlc,140908,9/8/2014 12:33,2,OxicEvo04gndEcoliGlcM9,Filtration,ALEWtEvo04_gnd_kan,Broth,4,0,,mL,1,mL,0,4,FALSE,Batch,Aerobic E. coli; Grown and sampled from Tumble Stirrer at 37C,Glucose M9 minimal media,,TRUE,37,,,0,0,,,,1,0.00E+00,0.00,0.00,cells*L-1,g*L-1,mL,mg,mg,1,0,,,,Unknown,OxicEvo04gndEcoliGlc_4.2,,,,TRUE
7,2,,ALEsKOs01,140908_3_OxicEvo04gndEcoliGlcM9_Broth-4,OxicEvo04gndEcoliGlc_Broth-4,OxicEvo04gndEcoliGlc,140908,9/8/2014 13:21,3,OxicEvo04gndEcoliGlcM9,Filtration,ALEWtEvo04_gnd_kan,Broth,4,0,,mL,1,mL,0,4,FALSE,Batch,Aerobic E. coli; Grown and sampled from Tumble Stirrer at 37C,Glucose M9 minimal media,,TRUE,37,,,0,0,,,,1,0.00E+00,0.00,0.00,cells*L-1,g*L-1,mL,mg,mg,1,0,,,,Unknown,OxicEvo04gndEcoliGlc_4.3,,,,TRUE
7,2,,ALEsKOs01,140908_4_OxicEvo04gndEcoliGlcM9_Broth-4,OxicEvo04gndEcoliGlc_Broth-4,OxicEvo04gndEcoliGlc,140908,9/8/2014 13:50,4,OxicEvo04gndEcoliGlcM9,Filtration,ALEWtEvo04_gnd_kan,Broth,4,0,,mL,1,mL,0,4,FALSE,Batch,Aerobic E. coli; Grown and sampled from Tumble Stirrer at 37C,Glucose M9 minimal media,,TRUE,37,,,0,0,,,,1,0.00E+00,0.00,0.00,cells*L-1,g*L-1,mL,mg,mg,1,0,,,,Unknown,OxicEvo04gndEcoliGlc_4.4,,,,TRUE
7,2,,ALEsKOs01,140908_5_OxicEvo04gndEcoliGlcM9_Broth-4,OxicEvo04gndEcoliGlc_Broth-4,OxicEvo04gndEcoliGlc,140908,9/8/2014 14:18,5,OxicEvo04gndEcoliGlcM9,Filtration,ALEWtEvo04_gnd_kan,Broth,4,0,,mL,1,mL,0,4,FALSE,Batch,Aerobic E. coli; Grown and sampled from Tumble Stirrer at 37C,Glucose M9 minimal media,,TRUE,37,,,0,0,,,,1,0.00E+00,0.00,0.00,cells*L-1,g*L-1,mL,mg,mg,1,0,,,,Unknown,OxicEvo04gndEcoliGlc_4.5,,,,TRUE
7,2,,ALEsKOs01,140908_1_OxicEvo04gndEcoliGlcM9_Broth-5,OxicEvo04gndEcoliGlc_Broth-5,OxicEvo04gndEcoliGlc,140908,9/8/2014 11:33,1,OxicEvo04gndEcoliGlcM9,Filtration,ALEWtEvo04_gnd_kan,Broth,5,0,,mL,1,mL,0,5,FALSE,Batch,Aerobic E. coli; Grown and sampled from Tumble Stirrer at 37C,Glucose M9 minimal media,,TRUE,37,,,0,0,,,,1,0.00E+00,0.00,0.00,cells*L-1,g*L-1,mL,mg,mg,1,0,,,,Unknown,OxicEvo04gndEcoliGlc_5.1,,,,TRUE
7,2,,ALEsKOs01,140908_2_OxicEvo04gndEcoliGlcM9_Broth-5,OxicEvo04gndEcoliGlc_Broth-5,OxicEvo04gndEcoliGlc,140908,9/8/2014 12:33,2,OxicEvo04gndEcoliGlcM9,Filtration,ALEWtEvo04_gnd_kan,Broth,5,0,,mL,1,mL,0,5,FALSE,Batch,Aerobic E. coli; Grown and sampled from Tumble Stirrer at 37C,Glucose M9 minimal media,,TRUE,37,,,0,0,,,,1,0.00E+00,0.00,0.00,cells*L-1,g*L-1,mL,mg,mg,1,0,,,,Unknown,OxicEvo04gndEcoliGlc_5.2,,,,TRUE
7,2,,ALEsKOs01,140908_3_OxicEvo04gndEcoliGlcM9_Broth-5,OxicEvo04gndEcoliGlc_Broth-5,OxicEvo04gndEcoliGlc,140908,9/8/2014 13:21,3,OxicEvo04gndEcoliGlcM9,Filtration,ALEWtEvo04_gnd_kan,Broth,5,0,,mL,1,mL,0,5,FALSE,Batch,Aerobic E. coli; Grown and sampled from Tumble Stirrer at 37C,Glucose M9 minimal media,,TRUE,37,,,0,0,,,,1,0.00E+00,0.00,0.00,cells*L-1,g*L-1,mL,mg,mg,1,0,,,,Unknown,OxicEvo04gndEcoliGlc_5.3,,,,TRUE
7,2,,ALEsKOs01,140908_4_OxicEvo04gndEcoliGlcM9_Broth-5,OxicEvo04gndEcoliGlc_Broth-5,OxicEvo04gndEcoliGlc,140908,9/8/2014 13:50,4,OxicEvo04gndEcoliGlcM9,Filtration,ALEWtEvo04_gnd_kan,Broth,5,0,,mL,1,mL,0,5,FALSE,Batch,Aerobic E. coli; Grown and sampled from Tumble Stirrer at 37C,Glucose M9 minimal media,,TRUE,37,,,0,0,,,,1,0.00E+00,0.00,0.00,cells*L-1,g*L-1,mL,mg,mg,1,0,,,,Unknown,OxicEvo04gndEcoliGlc_5.4,,,,TRUE
7,2,,ALEsKOs01,140908_5_OxicEvo04gndEcoliGlcM9_Broth-5,OxicEvo04gndEcoliGlc_Broth-5,OxicEvo04gndEcoliGlc,140908,9/8/2014 14:18,5,OxicEvo04gndEcoliGlcM9,Filtration,ALEWtEvo04_gnd_kan,Broth,5,0,,mL,1,mL,0,5,FALSE,Batch,Aerobic E. coli; Grown and sampled from Tumble Stirrer at 37C,Glucose M9 minimal media,,TRUE,37,,,0,0,,,,1,0.00E+00,0.00,0.00,cells*L-1,g*L-1,mL,mg,mg,1,0,,,,Unknown,OxicEvo04gndEcoliGlc_5.5,,,,TRUE
7,2,,ALEsKOs01,140908_1_OxicEvo04gndEcoliGlcM9_Broth-6,OxicEvo04gndEcoliGlc_Broth-6,OxicEvo04gndEcoliGlc,140908,9/8/2014 11:33,1,OxicEvo04gndEcoliGlcM9,Filtration,ALEWtEvo04_gnd_kan,Broth,6,0,,mL,1,mL,0,6,FALSE,Batch,Aerobic E. coli; Grown and sampled from Tumble Stirrer at 37C,Glucose M9 minimal media,,TRUE,37,,,0,0,,,,1,0.00E+00,0.00,0.00,cells*L-1,g*L-1,mL,mg,mg,1,0,,,,Unknown,OxicEvo04gndEcoliGlc_6.1,,,,TRUE
7,2,,ALEsKOs01,140908_2_OxicEvo04gndEcoliGlcM9_Broth-6,OxicEvo04gndEcoliGlc_Broth-6,OxicEvo04gndEcoliGlc,140908,9/8/2014 12:33,2,OxicEvo04gndEcoliGlcM9,Filtration,ALEWtEvo04_gnd_kan,Broth,6,0,,mL,1,mL,0,6,FALSE,Batch,Aerobic E. coli; Grown and sampled from Tumble Stirrer at 37C,Glucose M9 minimal media,,TRUE,37,,,0,0,,,,1,0.00E+00,0.00,0.00,cells*L-1,g*L-1,mL,mg,mg,1,0,,,,Unknown,OxicEvo04gndEcoliGlc_6.2,,,,TRUE
7,2,,ALEsKOs01,140908_3_OxicEvo04gndEcoliGlcM9_Broth-6,OxicEvo04gndEcoliGlc_Broth-6,OxicEvo04gndEcoliGlc,140908,9/8/2014 13:21,3,OxicEvo04gndEcoliGlcM9,Filtration,ALEWtEvo04_gnd_kan,Broth,6,0,,mL,1,mL,0,6,FALSE,Batch,Aerobic E. coli; Grown and sampled from Tumble Stirrer at 37C,Glucose M9 minimal media,,TRUE,37,,,0,0,,,,1,0.00E+00,0.00,0.00,cells*L-1,g*L-1,mL,mg,mg,1,0,,,,Unknown,OxicEvo04gndEcoliGlc_6.3,,,,TRUE
