exp_type_id,experimentor_id,is_id,experiment_id,sample_id,sample_name_short,sample_name_abbreviation,date_label,sample_date,time_point,sample_condition,extraction_method_id,biological_material,sample_description,sample_replicate,sample concentration [g/l],is_added,is_added_units,reconstitution_volume,reconstitution_volume_units,calculated extracted biomass density,sample_replicate_biological,istechnical,growth_condition_short,growth_condition_long,media_short,media_long,isoxic,temperature,supplementation,od600,vcd,culture_density,mass before sampling [g],mass after sampling [g],mass sampled [g],culture_volume_sampled,cells,dcw,wcw,vcd_units,culture_density_units,culture_volume_sampled_units,dcw_units,wcw_units,final extracted sample concentration calculated [g/l],dilution volume calculated [ml],notes,acquisition_method_id,quantitation_method_id,sample_type,sample_label,ph,box,pos,used_,growth_rate,growth_rate_r2,growth_rate_units,time_hrs,,data_raw,data_corrected,met_id,data_units,data_reference
6,2,,ALEsKOs01,140715_41835.4608425347_OxicEvo04EcoliGlcM9_Broth-1,OxicEvo04EcoliGlc_Broth-1,OxicEvo04EcoliGlc,140715,7/15/2014 11:03,41835.46084,OxicEvo04EcoliGlcM9,,ALEWtEvo04,Broth,1,#DIV/0!,,mL,,mL,#DIV/0!,1,FALSE,Batch,Aerobic E. coli; Grown and sampled from ALE1.1 at 37C,Glucose M9 minimal media,,TRUE,37,,0.03820373,59281649755,0.017191678,,,2,1,5.93E+07,0.02,0.06,cells*L-1,g*L-1,mL,mg,mg,1,0.017191678,,ALE1.1,,Unknown,discarded,,,,TRUE,,,,1004051.06,,0.0108,0.03820373,biomass,OD600,ALE1.1
6,2,,ALEsKOs01,140715_41835.4756971177_OxicEvo04EcoliGlcM9_Broth-1,OxicEvo04EcoliGlc_Broth-1,OxicEvo04EcoliGlc,140715,7/15/2014 11:25,41835.4757,OxicEvo04EcoliGlcM9,,ALEWtEvo04,Broth,1,#DIV/0!,,mL,,mL,#DIV/0!,1,FALSE,Batch,Aerobic E. coli; Grown and sampled from ALE1.1 at 37C,Glucose M9 minimal media,,TRUE,37,,0.044571018,69161924714,0.020056958,,,,1,6.92E+07,0.02,0.07,cells*L-1,g*L-1,mL,mg,mg,1,0.020056958,,ALE1.1,,Unknown,discarded,,,,TRUE,,,,1004051.42,,0.0126,0.044571018,biomass,OD600,ALE1.1
6,2,,ALEsKOs01,140715_41835.4895833333_OxicEvo04EcoliGlcM9_Broth-1,OxicEvo04EcoliGlc_Broth-1,OxicEvo04EcoliGlc,140715,7/15/2014 11:45,41835.48958,OxicEvo04EcoliGlcM9,,ALEWtEvo04,Broth,1,#DIV/0!,,mL,,mL,#DIV/0!,1,FALSE,Batch,Aerobic E. coli; Grown and sampled from ALE1.1 at 37C,Glucose M9 minimal media,,TRUE,37,,0.065795313,1.02E+11,0.029607891,,,,1,1.02E+08,0.03,0.1,cells*L-1,g*L-1,mL,mg,mg,1,0.029607891,,ALE1.1,,Unknown,discarded,,,,TRUE,,,,1004051.75,,0.0186,0.065795313,biomass,OD600,ALE1.1
6,2,,ALEsKOs01,140715_41835.5041666667_OxicEvo04EcoliGlcM9_Broth-1,OxicEvo04EcoliGlc_Broth-1,OxicEvo04EcoliGlc,140715,7/15/2014 12:06,41835.50417,OxicEvo04EcoliGlcM9,,ALEWtEvo04,Broth,1,#DIV/0!,,mL,,mL,#DIV/0!,1,FALSE,Batch,Aerobic E. coli; Grown and sampled from ALE1.1 at 37C,Glucose M9 minimal media,,TRUE,37,,0.100107922,1.55E+11,0.045048565,,,,1,1.55E+08,0.05,0.15,cells*L-1,g*L-1,mL,mg,mg,1,0.045048565,,ALE1.1,,Unknown,discarded,,,,TRUE,,,,1004052.1,,0.0283,0.100107922,biomass,OD600,ALE1.1
6,2,,ALEsKOs01,140715_41835.5202751277_OxicEvo04EcoliGlcM9_Broth-1,OxicEvo04EcoliGlc_Broth-1,OxicEvo04EcoliGlc,140715,7/15/2014 12:29,41835.52028,OxicEvo04EcoliGlcM9,,ALEWtEvo04,Broth,1,#DIV/0!,,mL,,mL,#DIV/0!,1,FALSE,Batch,Aerobic E. coli; Grown and sampled from ALE1.1 at 37C,Glucose M9 minimal media,,TRUE,37,,0.147155108,2.28E+11,0.066219798,,,,1,2.28E+08,0.07,0.22,cells*L-1,g*L-1,mL,mg,mg,1,0.066219798,,ALE1.1,,Unknown,discarded,,,,TRUE,,,,1004052.49,,0.0416,0.147155108,biomass,OD600,ALE1.1
6,2,,ALEsKOs01,140715_41835.5351307407_OxicEvo04EcoliGlcM9_Broth-1,OxicEvo04EcoliGlc_Broth-1,OxicEvo04EcoliGlc,140715,7/15/2014 12:50,41835.53513,OxicEvo04EcoliGlcM9,,ALEWtEvo04,Broth,1,#DIV/0!,,mL,,mL,#DIV/0!,1,FALSE,Batch,Aerobic E. coli; Grown and sampled from ALE1.1 at 37C,Glucose M9 minimal media,,TRUE,37,,0.21295042,3.30E+11,0.095827689,,,,1,3.30E+08,0.1,0.31,cells*L-1,g*L-1,mL,mg,mg,1,0.095827689,,ALE1.1,,Unknown,discarded,,,,TRUE,,,,1004052.84,,0.0602,0.21295042,biomass,OD600,ALE1.1
6,2,,ALEsKOs01,140715_41835.5499860537_OxicEvo04EcoliGlcM9_Broth-1,OxicEvo04EcoliGlc_Broth-1,OxicEvo04EcoliGlc,140715,7/15/2014 13:11,41835.54999,OxicEvo04EcoliGlcM9,,ALEWtEvo04,Broth,1,#DIV/0!,,mL,,mL,#DIV/0!,1,FALSE,Batch,Aerobic E. coli; Grown and sampled from ALE1.1 at 37C,Glucose M9 minimal media,,TRUE,37,,0.29926255,4.64E+11,0.134668148,,,,1,4.64E+08,0.13,0.44,cells*L-1,g*L-1,mL,mg,mg,1,0.134668148,,ALE1.1,,Unknown,discarded,,,,TRUE,,,,1004053.2,,0.0846,0.29926255,biomass,OD600,ALE1.1
6,2,,ALEsKOs01,140715_41835.5648417357_OxicEvo04EcoliGlcM9_Broth-1,OxicEvo04EcoliGlc_Broth-1,OxicEvo04EcoliGlc,140715,7/15/2014 13:33,41835.56484,OxicEvo04EcoliGlcM9,,ALEWtEvo04,Broth,1,#DIV/0!,,mL,,mL,#DIV/0!,1,FALSE,Batch,Aerobic E. coli; Grown and sampled from ALE1.1 at 37C,Glucose M9 minimal media,,TRUE,37,,0.445710181,6.92E+11,0.200569582,,,,1,6.92E+08,0.2,0.66,cells*L-1,g*L-1,mL,mg,mg,1,0.200569582,,ALE1.1,,Unknown,discarded,,,,TRUE,,,,1004053.56,,0.126,0.445710181,biomass,OD600,ALE1.1
6,2,,ALEsKOs01,140715_41835.5806518517_OxicEvo04EcoliGlcM9_Broth-1,OxicEvo04EcoliGlc_Broth-1,OxicEvo04EcoliGlc,140715,7/15/2014 13:56,41835.58065,OxicEvo04EcoliGlcM9,,ALEWtEvo04,Broth,1,#DIV/0!,,mL,,mL,#DIV/0!,1,FALSE,Batch,Aerobic E. coli; Grown and sampled from ALE1.1 at 37C,Glucose M9 minimal media,,TRUE,37,,0.650524622,1.01E+12,0.29273608,,,,1,1.01E+09,0.29,0.96,cells*L-1,g*L-1,mL,mg,mg,1,0.29273608,,ALE1.1,,Unknown,discarded,,,,TRUE,,,,1004053.94,,0.1839,0.650524622,biomass,OD600,ALE1.1
6,2,,ALEsKOs01,140715_41835.5955060997_OxicEvo04EcoliGlcM9_Broth-1,OxicEvo04EcoliGlc_Broth-1,OxicEvo04EcoliGlc,140715,7/15/2014 14:17,41835.59551,OxicEvo04EcoliGlcM9,,ALEWtEvo04,Broth,1,#DIV/0!,,mL,,mL,#DIV/0!,1,FALSE,Batch,Aerobic E. coli; Grown and sampled from ALE1.1 at 37C,Glucose M9 minimal media,,TRUE,37,,0.788128797,1.22E+12,0.354657959,,,,1,1.22E+09,0.35,1.16,cells*L-1,g*L-1,mL,mg,mg,1,0.354657959,,ALE1.1,,Unknown,discarded,,,,TRUE,,,,1004054.29,,0.2228,0.788128797,biomass,OD600,ALE1.1
