exp_type_id,experimentor_id,is_id,experiment_id,sample_id,sample_name_short,sample_name_abbreviation,date_label,sample_date,time_point,sample_condition,extraction_method_id,biological_material,sample_description,sample_replicate,sample concentration [g/l],is_added,is_added_units,reconstitution_volume,reconstitution_volume_units,calculated extracted biomass density,sample_replicate_biological,istechnical,growth_condition_short,growth_condition_long,media_short,media_long,isoxic,temperature,supplementation,od600,vcd,culture_density,mass before sampling [g],mass after sampling [g],mass sampled [g],culture_volume_sampled,cells,dcw,wcw,vcd_units,culture_density_units,culture_volume_sampled_units,dcw_units,wcw_units,final extracted sample concentration calculated [g/l],dilution volume calculated [ml],notes,acquisition_method_id,quantitation_method_id,sample_type,sample_label,ph,box,pos,used_,growth_rate,growth_rate_r2,growth_rate_units,time_hrs,,data_raw,data_corrected,met_id,data_units,data_reference
6,2,,ALEsKOs01,140908_41890.4569444444_OxicEvo04gndEcoliGlcM9_Broth-4,OxicEvo04gndEcoliGlc_Broth-4,OxicEvo04gndEcoliGlc,140908,9/8/2014 10:58,41890.45694,OxicEvo04gndEcoliGlcM9,,ALEWtEvo04_gnd_kan,Broth,4,#DIV/0!,,mL,,mL,#DIV/0!,4,FALSE,Batch,Aerobic E. coli; Grown and sampled from Tumble Stirrer at 37C,Glucose M9 minimal media,,TRUE,37,,0.07,59281649755,0.0315,,,,1,5.93E+07,0.02,0.06,cells*L-1,g*L-1,mL,mg,mg,1,0.017191678,,spectrophotometer,,Unknown,discarded,,,,TRUE,,,,1005370.97,,0.07,0.07,biomass,OD600,spectrophotometer
6,2,,ALEsKOs01,140908_41890.4784722222_OxicEvo04gndEcoliGlcM9_Broth-4,OxicEvo04gndEcoliGlc_Broth-4,OxicEvo04gndEcoliGlc,140908,9/8/2014 11:29,41890.47847,OxicEvo04gndEcoliGlcM9,,ALEWtEvo04_gnd_kan,Broth,4,#DIV/0!,,mL,,mL,#DIV/0!,4,FALSE,Batch,Aerobic E. coli; Grown and sampled from Tumble Stirrer at 37C,Glucose M9 minimal media,,TRUE,37,,0.108,69161924714,0.0486,,,,1,6.92E+07,0.02,0.07,cells*L-1,g*L-1,mL,mg,mg,1,0.020056958,,spectrophotometer,,Unknown,discarded,,,,TRUE,,,,1005371.48,,0.108,0.108,biomass,OD600,spectrophotometer
6,2,,ALEsKOs01,140908_41890.5208333333_OxicEvo04gndEcoliGlcM9_Broth-4,OxicEvo04gndEcoliGlc_Broth-4,OxicEvo04gndEcoliGlc,140908,9/8/2014 12:30,41890.52083,OxicEvo04gndEcoliGlcM9,,ALEWtEvo04_gnd_kan,Broth,4,#DIV/0!,,mL,,mL,#DIV/0!,4,FALSE,Batch,Aerobic E. coli; Grown and sampled from Tumble Stirrer at 37C,Glucose M9 minimal media,,TRUE,37,,0.253,1.02096E+11,0.11385,,,,1,1.02E+08,0.03,0.10,cells*L-1,g*L-1,mL,mg,mg,1,0.029607891,,spectrophotometer,,Unknown,discarded,,,,TRUE,,,,1005372.50,,0.253,0.253,biomass,OD600,spectrophotometer
6,2,,ALEsKOs01,140908_41890.5534722222_OxicEvo04gndEcoliGlcM9_Broth-4,OxicEvo04gndEcoliGlc_Broth-4,OxicEvo04gndEcoliGlc,140908,9/8/2014 13:17,41890.55347,OxicEvo04gndEcoliGlcM9,,ALEWtEvo04_gnd_kan,Broth,4,#DIV/0!,,mL,,mL,#DIV/0!,4,FALSE,Batch,Aerobic E. coli; Grown and sampled from Tumble Stirrer at 37C,Glucose M9 minimal media,,TRUE,37,,0.48,1.5534E+11,0.216,,,,1,1.55E+08,0.05,0.15,cells*L-1,g*L-1,mL,mg,mg,1,0.045048565,,spectrophotometer,,Unknown,discarded,,,,TRUE,,,,1005373.28,0.1200,0.48,0.48,biomass,OD600,spectrophotometer
6,2,,ALEsKOs01,140908_41890.5743055556_OxicEvo04gndEcoliGlcM9_Broth-4,OxicEvo04gndEcoliGlc_Broth-4,OxicEvo04gndEcoliGlc,140908,9/8/2014 13:47,41890.57431,OxicEvo04gndEcoliGlcM9,,ALEWtEvo04_gnd_kan,Broth,4,#DIV/0!,,mL,,mL,#DIV/0!,4,FALSE,Batch,Aerobic E. coli; Grown and sampled from Tumble Stirrer at 37C,Glucose M9 minimal media,,TRUE,37,,0.756,2.28344E+11,0.3402,,,,1,2.28E+08,0.07,0.22,cells*L-1,g*L-1,mL,mg,mg,1,0.066219798,,spectrophotometer,,Unknown,discarded,,,,TRUE,,,,1005373.78,0.1890,0.756,0.756,biomass,OD600,spectrophotometer
6,2,,ALEsKOs01,140908_41890.59375_OxicEvo04gndEcoliGlcM9_Broth-4,OxicEvo04gndEcoliGlc_Broth-4,OxicEvo04gndEcoliGlc,140908,9/8/2014 14:15,41890.59375,OxicEvo04gndEcoliGlcM9,,ALEWtEvo04_gnd_kan,Broth,4,#DIV/0!,,mL,,mL,#DIV/0!,4,FALSE,Batch,Aerobic E. coli; Grown and sampled from Tumble Stirrer at 37C,Glucose M9 minimal media,,TRUE,37,,1.12,3.3044E+11,0.504,,,,1,3.30E+08,0.10,0.31,cells*L-1,g*L-1,mL,mg,mg,1,0.095827689,,spectrophotometer,,Unknown,discarded,,,,TRUE,,,,1005374.25,0.2800,1.12,1.12,biomass,OD600,spectrophotometer
6,2,,ALEsKOs01,140908_41890.5979166667_OxicEvo04gndEcoliGlcM9_Broth-4,OxicEvo04gndEcoliGlc_Broth-4,OxicEvo04gndEcoliGlc,140908,9/8/2014 14:21,41890.59792,OxicEvo04gndEcoliGlcM9,,ALEWtEvo04_gnd_kan,Broth,4,#DIV/0!,,mL,,mL,#DIV/0!,4,FALSE,Batch,Aerobic E. coli; Grown and sampled from Tumble Stirrer at 37C,Glucose M9 minimal media,,TRUE,37,,1.188,4.64373E+11,0.5346,,,,1,4.64E+08,0.13,0.44,cells*L-1,g*L-1,mL,mg,mg,1,0.134668148,,spectrophotometer,,Unknown,discarded,,,,TRUE,0.840986255,0.999877866,,1005374.35,0.2970,1.188,1.188,biomass,OD600,spectrophotometer
6,2,,ALEsKOs01,140908_41890.4569444444_OxicEvo04gndEcoliGlcM9_Broth-5,OxicEvo04gndEcoliGlc_Broth-5,OxicEvo04gndEcoliGlc,140908,9/8/2014 10:58,41890.45694,OxicEvo04gndEcoliGlcM9,,ALEWtEvo04_gnd_kan,Broth,5,#DIV/0!,,mL,,mL,#DIV/0!,5,FALSE,Batch,Aerobic E. coli; Grown and sampled from Tumble Stirrer at 37C,Glucose M9 minimal media,,TRUE,37,,0.072,6.91619E+11,0.0324,,,,1,6.92E+08,0.20,0.66,cells*L-1,g*L-1,mL,mg,mg,1,0.200569582,,spectrophotometer,,Unknown,discarded,,,,TRUE,,,,1005370.97,,0.072,0.072,biomass,OD600,spectrophotometer
6,2,,ALEsKOs01,140908_41890.4784722222_OxicEvo04gndEcoliGlcM9_Broth-5,OxicEvo04gndEcoliGlc_Broth-5,OxicEvo04gndEcoliGlc,140908,9/8/2014 11:29,41890.47847,OxicEvo04gndEcoliGlcM9,,ALEWtEvo04_gnd_kan,Broth,5,#DIV/0!,,mL,,mL,#DIV/0!,5,FALSE,Batch,Aerobic E. coli; Grown and sampled from Tumble Stirrer at 37C,Glucose M9 minimal media,,TRUE,37,,0.114,1.00943E+12,0.0513,,,,1,1.01E+09,0.29,0.96,cells*L-1,g*L-1,mL,mg,mg,1,0.29273608,,spectrophotometer,,Unknown,discarded,,,,TRUE,,,,1005371.48,,0.114,0.114,biomass,OD600,spectrophotometer
6,2,,ALEsKOs01,140908_41890.5208333333_OxicEvo04gndEcoliGlcM9_Broth-5,OxicEvo04gndEcoliGlc_Broth-5,OxicEvo04gndEcoliGlc,140908,9/8/2014 12:30,41890.52083,OxicEvo04gndEcoliGlcM9,,ALEWtEvo04_gnd_kan,Broth,5,#DIV/0!,,mL,,mL,#DIV/0!,5,FALSE,Batch,Aerobic E. coli; Grown and sampled from Tumble Stirrer at 37C,Glucose M9 minimal media,,TRUE,37,,0.265,1.22296E+12,0.11925,,,,1,1.22E+09,0.35,1.16,cells*L-1,g*L-1,mL,mg,mg,1,0.354657959,,spectrophotometer,,Unknown,discarded,,,,TRUE,,,,1005372.50,,0.265,0.265,biomass,OD600,spectrophotometer
