met_id,KEGG_id,used_,comment_
10fthf,C00234,TRUE,
12dgr120,C00641,TRUE,
12ppd_DASH_R,C02912,TRUE,
12ppd_DASH_S,C02917,TRUE,
13dpg,C00236,TRUE,
14dhncoa,C15547,TRUE,
14glucan,C00718,TRUE,
15dap,C01672,TRUE,
1ddecg3p,C00681,TRUE,
1pyr5c,C03912,TRUE,
23dappa,C06393,TRUE,
23ddhb,C04171,TRUE,
23dhacoa,C14144,TRUE,
23dhb,C00196,TRUE,
23dhba,C04030,TRUE,
23dhbzs,C04204,TRUE,
23dhdp,C03340,TRUE,
23dhmb,C04272,TRUE,
23dhmp,C06007,TRUE,
23doguln,C04575,TRUE,
25aics,C04823,TRUE,
25dkglcn,C02780,TRUE,
25drapp,C01304,TRUE,
26dap_DASH_LL,C00666,TRUE,
26dap_DASH_M,C00680,TRUE,
2agpe120,C05973,TRUE,
2ahbut,C06006,TRUE,
2amsa,C11822,TRUE,
2aobut,C03508,TRUE,
2cpr5p,C01302,TRUE,
2dda7p,C04691,TRUE,
2ddecg3p,C03974,TRUE,
2ddg6p,C04442,TRUE,
2ddglcn,C00204,TRUE,
2dh3dgal,C01216,TRUE,
2dh3dgal6p,C01286,TRUE,
2dhguln,C06473,TRUE,
2dhp,C00966,TRUE,
2dmmq8,C05818,TRUE,
2dr1p,C00672,TRUE,
2dr5p,C00673,TRUE,
2h3oppan,C01146,TRUE,
2ippm,C02631,TRUE,
2mahmp,C04752,TRUE,
2mcacn,C04225,TRUE,
2mcit,C02225,TRUE,
2me4p,C11434,TRUE,
2mecdp,C11453,TRUE,
2obut,C00109,TRUE,
2ohph,C05811,TRUE,
2omph,C05812,TRUE,
2oph,C05810,TRUE,
2p4c2me,C11436,TRUE,
2pg,C00631,TRUE,
2pglyc,C00988,TRUE,
2sephchc,C16519,TRUE,
2shchc,C05817,TRUE,
34hpp,C01179,TRUE,
35cgmp,C00942,TRUE,
3c2hmp,C04411,TRUE,
3c3hmp,C02504,TRUE,
3c4mop,C04236,TRUE,
3dhguln,C00618,TRUE,
3dhgulnp,C14899,TRUE,
3dhq,C00944,TRUE,
3dhsk,C02637,TRUE,
3haACP,C01271,TRUE,
3hadpcoa,C14145,TRUE,
3hbcoa,C01144,TRUE,
3hdcoa,C05264,TRUE,
3hddcoa,C05262,TRUE,
3hddecACP,C05757,TRUE,
3hdecACP,C04619,TRUE,
3hhcoa,C05268,TRUE,
3hhdcoa,C05258,TRUE,
3hhexACP,C05747,TRUE,
3hmrsACP,C04688,TRUE,
3hocoa,C05266,TRUE,
3hoctACP,C04620,TRUE,
3hoctaACP,C16220,TRUE,
3hodcoa,C16217,TRUE,
