id,experiment_id,model_id,sample_name_abbreviation,time_point,compartment_id,pH,temperature,temperature_units,ionic_strength,ionic_strength_units,used_,comment_
26,rpomut02,iJO1366,OxicRph-pyrE82,0,c,7.50,310.15,K,0.2,M,t,
27,rpomut02,iJO1366,OxicRpoBE546V,0,c,7.50,310.15,K,0.2,M,t,
28,rpomut02,iJO1366,OxicRpoBE672K,0,c,7.50,310.15,K,0.2,M,t,
29,rpomut02,iJO1366,OxicRpoBE672K-rph-pyrE82,0,c,7.50,310.15,K,0.2,M,t,
30,rpomut02,iJO1366,OxicWtGlc,0,c,7.50,310.15,K,0.2,M,t,
16,rpomut02,iJO1366,OxicRph-pyrE82,0,p,7.00,310.15,K,0.2,M,t,
17,rpomut02,iJO1366,OxicRpoBE546V,0,p,7.00,310.15,K,0.2,M,t,
18,rpomut02,iJO1366,OxicRpoBE672K,0,p,7.00,310.15,K,0.2,M,t,
19,rpomut02,iJO1366,OxicRpoBE672K-rph-pyrE82,0,p,7.00,310.15,K,0.2,M,t,
20,rpomut02,iJO1366,OxicWtGlc,0,p,7.00,310.15,K,0.2,M,t,
21,rpomut02,iJO1366,OxicRph-pyrE82,0,e,7.00,310.15,K,0.2,M,t,
22,rpomut02,iJO1366,OxicRpoBE546V,0,e,7.00,310.15,K,0.2,M,t,
23,rpomut02,iJO1366,OxicRpoBE672K,0,e,7.00,310.15,K,0.2,M,t,
24,rpomut02,iJO1366,OxicRpoBE672K-rph-pyrE82,0,e,7.00,310.15,K,0.2,M,t,
25,rpomut02,iJO1366,OxicWtGlc,0,e,7.00,310.15,K,0.2,M,t,
