model_id,pathway_id,reactions,stoichiometry,used_,comment_
iJO1366,MOLYBDOPTERIN_2,"MOCDS, MOGDS","1, 1",TRUE,
iJO1366,GLYCPHOSPHOLIPID_2,"PSSA181, PSD181","1, 1",TRUE,
iJO1366,CELLENV_8,"TDPGDH, TDPDRR, TDPDRE, G1PTT","1, 1, 1, 1",TRUE,
iJO1366,COFACTOR_9,"OMMBLHX, OMPHHX, OPHHX, HBZOPT, DMQMT, CHRPL, OMBZLM, OPHBDC, OHPHM","1, 1, 1, 1, 1, 1, 1, 1, 1",TRUE,
iJO1366,CELLENV_1,"UAMAGS, UAPGR, UAGPT3, PAPPT3, GLUR, UAGCVT, UAMAS, UDCPDP, UGMDDS, UAAGDS","1, 1, 1, 1, -1, 1, 1, 1, 1, 1",TRUE,
iJO1366,CELLENV_6,"3OAR40, EAR40x, 3OAS60, 3OAR60, 3HAD80, 3OAS80, 3OAR80, EAR60x, 3HAD60, EAR80x, 3HAD40","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",TRUE,
iJO1366,glu_DASH_L_to_glu5sa,"GLU5K, G5SD","1, 1",TRUE,
iJO1366,hom_DASH_L_to_thr_DASH_L,"HSK, THRS","1, 1",TRUE,
iJO1366,prpp_to_his_DASH_L,"ATPPRT, PRATPP, PRAMPC, PRMICI, IG3PS, IGPDH, HSTPT, HISTP, HISTD","1, 1, 1, 1, 1, 1, 1, 1, 1",TRUE,
iJO1366,GLYCPHOSPHOLIPID_6,"PSD161, PSSA161","1, 1",TRUE,
iJO1366,CELLENV_11,"3OAR100, 3HAD100, 3OAS100","1, 1, 1",TRUE,
iJO1366,UMPSYN_anaerobic,"ASPCT, DHORTS, DHORD5, ORPT, OMPDC","1, -1, 1, -1, 1",TRUE,
iJO1366,3pg_to_ser_DASH_L,"PGCD, PSERT, PSP_L","1, 1, 1",TRUE,
iJO1366,imp_to_gmp,"IMPD, GMPS2","1, 1",TRUE,
iJO1366,imp_to_amp,"ADSS, ADSL1r","1, 1",TRUE,
iJO1366,GTHSYN,"GLUCYS, GTHS","1, 1",TRUE,
iJO1366,Glycolysis,"PGI, PFK, FBA, TPI, GAPD, PGK, PGM, ENO","1, 1, 1, 1, 1, -1, -1, 1",TRUE,
iJO1366,NADSYN_anaerobic,"ASPO5, QULNS, NNDPR, NNATr, NADS1, NADK","1, 1, 1, 1, 1, 1",TRUE,
iJO1366,ASTPathway,"AST, SADH, SGDS, SGSAD, SOTA","1, 1, 1, 1, 1",TRUE,
iJO1366,pyr_to_23dhmb,"ACLS, KARA1","1, -1",TRUE,
iJO1366,ED_pathway,"G6PDH2r, PGL, EDD, EDA","1, 1, 1, 1",TRUE,
iJO1366,LIPOPOLYSACCHARIDE_3,"U23GAAT, UHGADA, UAGAAT","1, 1, 1",TRUE,
iJO1366,CELLENV_10,"3HAD140, EAR140x","1, 1",TRUE,
iJO1366,COFACTOR_4,"I4FE4ST, I4FE4SR, I2FE2SS2","1, 1, 1",TRUE,
iJO1366,COFACTOR_5,"BMOGDS1, BMOGDS2, BMOCOS","1, 1, 1",TRUE,
iJO1366,COFACTOR_6,"DMPPS, GRTT, DMATT","1, 1, 1",TRUE,
iJO1366,COFACTOR_7,"MECDPS, DXPRIi, MEPCT, CDPMEK, MECDPDH5","1, 1, 1, 1, 1",TRUE,
iJO1366,CELLENV_3,"3HAD160, 3OAR160, EAR160x, 3OAS160","1, 1, 1, 1",TRUE,
iJO1366,COFACTOR_1,"GLUTRR, G1SAT, GLUTRS","1, 1, 1",TRUE,
