exp_type_id,experimentor_id,is_id,experiment_id,sample_id,sample_name_short,sample_name_abbreviation,date_label,sample_date,time_point,sample_condition,extraction_method_id,biological_material,sample_description,sample_replicate,sample concentration [g/l],is_added,is_added_units,reconstitution_volume,reconstitution_volume_units,calculated extracted biomass density,sample_replicate_biological,istechnical,growth_condition_short,growth_condition_long,media_short,media_long,isoxic,temperature,supplementation,od600,vcd,culture_density,culture_volume_sampled,cells,dcw,wcw,vcd_units,culture_density_units,culture_volume_sampled_units,dcw_units,wcw_units,final extracted sample concentration calculated [g/l],dilution volume calculated [ml],notes,acquisition_method_id,quantitation_method_id,sample_type,sample_label,ph,box,pos,used_,growth_rate,growth_rate_r2,growth_rate_units,time_hrs,data_raw,data_corrected,met_id,data_units,data_reference
6,9,,ALEsKOs01,140930_41912.4472222222_OxicEvo04pgiEvo01EPEcoli13CGlcM9_Broth-1,OxicEvo04pgiEvo01EPEcoli13CGlc_Broth-1,OxicEvo04pgiEvo01EPEcoli13CGlc,140930,9/30/2014 10:44,41912.44722,OxicEvo04pgiEvo01EPEcoli13CGlcM9,,ALEWtEvo04_pgi_kan_Evo01_Endpoint,Broth,1,#DIV/0!,,mL,,mL,#DIV/0!,1,FALSE,Batch,Aerobic E. coli; Grown and sampled from Tumble Stirrer at 37C,Glucose M9 minimal media,2g/L of 80/20 1-13C/U-13C Glucose M9 minimal media,TRUE,37,,0.335,5.19828E+11,0.15075,1,5.20E+08,0.15,0.49,cells*L-1,g*L-1,mL,mg,mg,1,0.15075,,spectrophotometer,,Unknown,discarded,,,,TRUE,,,,1005898.73,0.148,0.335,biomass,OD600,spectrophotometer
6,9,,ALEsKOs01,140930_41912.4819444444_OxicEvo04pgiEvo01EPEcoli13CGlcM9_Broth-1,OxicEvo04pgiEvo01EPEcoli13CGlc_Broth-1,OxicEvo04pgiEvo01EPEcoli13CGlc,140930,9/30/2014 11:34,41912.48194,OxicEvo04pgiEvo01EPEcoli13CGlcM9,,ALEWtEvo04_pgi_kan_Evo01_Endpoint,Broth,1,#DIV/0!,,mL,,mL,#DIV/0!,1,FALSE,Batch,Aerobic E. coli; Grown and sampled from Tumble Stirrer at 37C,Glucose M9 minimal media,2g/L of 80/20 1-13C/U-13C Glucose M9 minimal media,TRUE,37,,0.392,6.08276E+11,0.1764,1,6.08E+08,0.18,0.58,cells*L-1,g*L-1,mL,mg,mg,1,0.1764,,spectrophotometer,,Unknown,discarded,,,,TRUE,,,,1005899.57,0.18,0.392,biomass,OD600,spectrophotometer
6,9,,ALEsKOs01,140930_41912.5277777778_OxicEvo04pgiEvo01EPEcoli13CGlcM9_Broth-1,OxicEvo04pgiEvo01EPEcoli13CGlc_Broth-1,OxicEvo04pgiEvo01EPEcoli13CGlc,140930,9/30/2014 12:40,41912.52778,OxicEvo04pgiEvo01EPEcoli13CGlcM9,,ALEWtEvo04_pgi_kan_Evo01_Endpoint,Broth,1,#DIV/0!,,mL,,mL,#DIV/0!,1,FALSE,Batch,Aerobic E. coli; Grown and sampled from Tumble Stirrer at 37C,Glucose M9 minimal media,2g/L of 80/20 1-13C/U-13C Glucose M9 minimal media,TRUE,37,,0.632,9.8069E+11,0.2844,1,9.81E+08,0.28,0.93,cells*L-1,g*L-1,mL,mg,mg,1,0.2844,,spectrophotometer,,Unknown,discarded,,,,TRUE,,,,1005900.67,0.332,0.632,biomass,OD600,spectrophotometer
6,9,,ALEsKOs01,140930_41912.5833333333_OxicEvo04pgiEvo01EPEcoli13CGlcM9_Broth-1,OxicEvo04pgiEvo01EPEcoli13CGlc_Broth-1,OxicEvo04pgiEvo01EPEcoli13CGlc,140930,9/30/2014 14:00,41912.58333,OxicEvo04pgiEvo01EPEcoli13CGlcM9,,ALEWtEvo04_pgi_kan_Evo01_Endpoint,Broth,1,#DIV/0!,,mL,,mL,#DIV/0!,1,FALSE,Batch,Aerobic E. coli; Grown and sampled from Tumble Stirrer at 37C,Glucose M9 minimal media,2g/L of 80/20 1-13C/U-13C Glucose M9 minimal media,TRUE,37,,1.052,1.63241E+12,0.4734,1,1.63E+09,0.47,1.55,cells*L-1,g*L-1,mL,mg,mg,1,0.4734,,spectrophotometer,,Unknown,discarded,,,,TRUE,,,,1005902.00,0.692,1.052,biomass,OD600,spectrophotometer
6,9,,ALEsKOs01,140930_41912.60625_OxicEvo04pgiEvo01EPEcoli13CGlcM9_Broth-1,OxicEvo04pgiEvo01EPEcoli13CGlc_Broth-1,OxicEvo04pgiEvo01EPEcoli13CGlc,140930,9/30/2014 14:33,41912.60625,OxicEvo04pgiEvo01EPEcoli13CGlcM9,,ALEWtEvo04_pgi_kan_Evo01_Endpoint,Broth,1,#DIV/0!,,mL,,mL,#DIV/0!,1,FALSE,Batch,Aerobic E. coli; Grown and sampled from Tumble Stirrer at 37C,Glucose M9 minimal media,2g/L of 80/20 1-13C/U-13C Glucose M9 minimal media,TRUE,37,,1.152,1.78759E+12,0.5184,1,1.79E+09,0.52,1.70,cells*L-1,g*L-1,mL,mg,mg,1,0.5184,,spectrophotometer,,Unknown,discarded,,,,TRUE,0.554938469,0.971514768,,1005902.55,1.256,1.152,biomass,OD600,spectrophotometer
6,9,,ALEsKOs01,140930_41912.4472222222_OxicEvo04pgiEvo01EPEcoli13CGlcM9_Broth-2,OxicEvo04pgiEvo01EPEcoli13CGlc_Broth-2,OxicEvo04pgiEvo01EPEcoli13CGlc,140930,9/30/2014 10:44,41912.44722,OxicEvo04pgiEvo01EPEcoli13CGlcM9,,ALEWtEvo04_pgi_kan_Evo01_Endpoint,Broth,2,#DIV/0!,,mL,,mL,#DIV/0!,2,FALSE,Batch,Aerobic E. coli; Grown and sampled from Tumble Stirrer at 37C,Glucose M9 minimal media,2g/L of 80/20 1-13C/U-13C Glucose M9 minimal media,TRUE,37,,0.148,2.29655E+11,0.0666,1,2.30E+08,0.07,0.22,cells*L-1,g*L-1,mL,mg,mg,1,0.0666,,spectrophotometer,,Unknown,discarded,,,,TRUE,,,,1005898.73,0.148,0.148,biomass,OD600,spectrophotometer
6,9,,ALEsKOs01,140930_41912.4819444444_OxicEvo04pgiEvo01EPEcoli13CGlcM9_Broth-2,OxicEvo04pgiEvo01EPEcoli13CGlc_Broth-2,OxicEvo04pgiEvo01EPEcoli13CGlc,140930,9/30/2014 11:34,41912.48194,OxicEvo04pgiEvo01EPEcoli13CGlcM9,,ALEWtEvo04_pgi_kan_Evo01_Endpoint,Broth,2,#DIV/0!,,mL,,mL,#DIV/0!,2,FALSE,Batch,Aerobic E. coli; Grown and sampled from Tumble Stirrer at 37C,Glucose M9 minimal media,2g/L of 80/20 1-13C/U-13C Glucose M9 minimal media,TRUE,37,,0.216,3.35172E+11,0.0972,1,3.35E+08,0.10,0.32,cells*L-1,g*L-1,mL,mg,mg,1,0.0972,,spectrophotometer,,Unknown,discarded,,,,TRUE,,,,1005899.57,0.216,0.216,biomass,OD600,spectrophotometer
6,9,,ALEsKOs01,140930_41912.5277777778_OxicEvo04pgiEvo01EPEcoli13CGlcM9_Broth-2,OxicEvo04pgiEvo01EPEcoli13CGlc_Broth-2,OxicEvo04pgiEvo01EPEcoli13CGlc,140930,9/30/2014 12:40,41912.52778,OxicEvo04pgiEvo01EPEcoli13CGlcM9,,ALEWtEvo04_pgi_kan_Evo01_Endpoint,Broth,2,#DIV/0!,,mL,,mL,#DIV/0!,2,FALSE,Batch,Aerobic E. coli; Grown and sampled from Tumble Stirrer at 37C,Glucose M9 minimal media,2g/L of 80/20 1-13C/U-13C Glucose M9 minimal media,TRUE,37,,0.328,5.08966E+11,0.1476,1,5.09E+08,0.15,0.48,cells*L-1,g*L-1,mL,mg,mg,1,0.1476,,spectrophotometer,,Unknown,discarded,,,,TRUE,,,,1005900.67,0.328,0.328,biomass,OD600,spectrophotometer
6,9,,ALEsKOs01,140930_41912.5833333333_OxicEvo04pgiEvo01EPEcoli13CGlcM9_Broth-2,OxicEvo04pgiEvo01EPEcoli13CGlc_Broth-2,OxicEvo04pgiEvo01EPEcoli13CGlc,140930,9/30/2014 14:00,41912.58333,OxicEvo04pgiEvo01EPEcoli13CGlcM9,,ALEWtEvo04_pgi_kan_Evo01_Endpoint,Broth,2,#DIV/0!,,mL,,mL,#DIV/0!,2,FALSE,Batch,Aerobic E. coli; Grown and sampled from Tumble Stirrer at 37C,Glucose M9 minimal media,2g/L of 80/20 1-13C/U-13C Glucose M9 minimal media,TRUE,37,,0.736,1.14207E+12,0.3312,1,1.14E+09,0.33,1.08,cells*L-1,g*L-1,mL,mg,mg,1,0.3312,,spectrophotometer,,Unknown,discarded,,,,TRUE,,,,1005902.00,0.736,0.736,biomass,OD600,spectrophotometer
6,9,,ALEsKOs01,140930_41912.60625_OxicEvo04pgiEvo01EPEcoli13CGlcM9_Broth-2,OxicEvo04pgiEvo01EPEcoli13CGlc_Broth-2,OxicEvo04pgiEvo01EPEcoli13CGlc,140930,9/30/2014 14:33,41912.60625,OxicEvo04pgiEvo01EPEcoli13CGlcM9,,ALEWtEvo04_pgi_kan_Evo01_Endpoint,Broth,2,#DIV/0!,,mL,,mL,#DIV/0!,2,FALSE,Batch,Aerobic E. coli; Grown and sampled from Tumble Stirrer at 37C,Glucose M9 minimal media,2g/L of 80/20 1-13C/U-13C Glucose M9 minimal media,TRUE,37,,1.314,2.03897E+12,0.5913,1,2.04E+09,0.59,1.94,cells*L-1,g*L-1,mL,mg,mg,1,0.5913,,spectrophotometer,,Unknown,discarded,,,,TRUE,0.550701401,0.974743072,,1005902.55,1.314,1.314,biomass,OD600,spectrophotometer
6,9,,ALEsKOs01,140930_41912.4472222222_OxicEvo04pgiEvo01EPEcoli13CGlcM9_Broth-3,OxicEvo04pgiEvo01EPEcoli13CGlc_Broth-3,OxicEvo04pgiEvo01EPEcoli13CGlc,140930,9/30/2014 10:44,41912.44722,OxicEvo04pgiEvo01EPEcoli13CGlcM9,,ALEWtEvo04_pgi_kan_Evo01_Endpoint,Broth,3,#DIV/0!,,mL,,mL,#DIV/0!,3,FALSE,Batch,Aerobic E. coli; Grown and sampled from Tumble Stirrer at 37C,Glucose M9 minimal media,2g/L of 80/20 1-13C/U-13C Glucose M9 minimal media,TRUE,37,,0.148,2.29655E+11,0.0666,1,2.30E+08,0.07,0.22,cells*L-1,g*L-1,mL,mg,mg,1,0.0666,,spectrophotometer,,Unknown,discarded,,,,TRUE,,,,1005898.73,0.148,0.148,biomass,OD600,spectrophotometer
6,9,,ALEsKOs01,140930_41912.4819444444_OxicEvo04pgiEvo01EPEcoli13CGlcM9_Broth-3,OxicEvo04pgiEvo01EPEcoli13CGlc_Broth-3,OxicEvo04pgiEvo01EPEcoli13CGlc,140930,9/30/2014 11:34,41912.48194,OxicEvo04pgiEvo01EPEcoli13CGlcM9,,ALEWtEvo04_pgi_kan_Evo01_Endpoint,Broth,3,#DIV/0!,,mL,,mL,#DIV/0!,3,FALSE,Batch,Aerobic E. coli; Grown and sampled from Tumble Stirrer at 37C,Glucose M9 minimal media,2g/L of 80/20 1-13C/U-13C Glucose M9 minimal media,TRUE,37,,0.192,2.97931E+11,0.0864,1,2.98E+08,0.09,0.28,cells*L-1,g*L-1,mL,mg,mg,1,0.0864,,spectrophotometer,,Unknown,discarded,,,,TRUE,,,,1005899.57,0.192,0.192,biomass,OD600,spectrophotometer
6,9,,ALEsKOs01,140930_41912.5277777778_OxicEvo04pgiEvo01EPEcoli13CGlcM9_Broth-3,OxicEvo04pgiEvo01EPEcoli13CGlc_Broth-3,OxicEvo04pgiEvo01EPEcoli13CGlc,140930,9/30/2014 12:40,41912.52778,OxicEvo04pgiEvo01EPEcoli13CGlcM9,,ALEWtEvo04_pgi_kan_Evo01_Endpoint,Broth,3,#DIV/0!,,mL,,mL,#DIV/0!,3,FALSE,Batch,Aerobic E. coli; Grown and sampled from Tumble Stirrer at 37C,Glucose M9 minimal media,2g/L of 80/20 1-13C/U-13C Glucose M9 minimal media,TRUE,37,,0.348,5.4E+11,0.1566,1,5.40E+08,0.16,0.51,cells*L-1,g*L-1,mL,mg,mg,1,0.1566,,spectrophotometer,,Unknown,discarded,,,,TRUE,,,,1005900.67,0.348,0.348,biomass,OD600,spectrophotometer
6,9,,ALEsKOs01,140930_41912.5833333333_OxicEvo04pgiEvo01EPEcoli13CGlcM9_Broth-3,OxicEvo04pgiEvo01EPEcoli13CGlc_Broth-3,OxicEvo04pgiEvo01EPEcoli13CGlc,140930,9/30/2014 14:00,41912.58333,OxicEvo04pgiEvo01EPEcoli13CGlcM9,,ALEWtEvo04_pgi_kan_Evo01_Endpoint,Broth,3,#DIV/0!,,mL,,mL,#DIV/0!,3,FALSE,Batch,Aerobic E. coli; Grown and sampled from Tumble Stirrer at 37C,Glucose M9 minimal media,2g/L of 80/20 1-13C/U-13C Glucose M9 minimal media,TRUE,37,,0.728,1.12966E+12,0.3276,1,1.13E+09,0.33,1.07,cells*L-1,g*L-1,mL,mg,mg,1,0.3276,,spectrophotometer,,Unknown,discarded,,,,TRUE,,,,1005902.00,0.728,0.728,biomass,OD600,spectrophotometer
