Index,Sample Index,Original Filename,Sample Name,Sample Name Original,Sample ID,Sample Comment,Sample Type,Acquisition Date & Time,Rack Number,Plate Number,Vial Number,Dilution Factor,Injection Volume,Operator Name,Acq. Method Name,IS,Component Name,Component Index,Component Comment,IS Comment,Mass Info,IS Mass Info,IS Name,Component Group Name,Conc. Units,Failed Query,IS Failed Query,Outlier Reasons,Peak Comment,IS Peak Comment,Actual Concentration,IS Actual Concentration,Concentration Ratio,Expected RT,IS Expected RT,Integration Type,IS Integration Type,Area,IS Area,Corrected Area,IS Corrected Area,Area Ratio,Height,IS Height,Corrected Height,IS Corrected Height,Height Ratio,Area / Height,IS Area / Height,Corrected Area/Height,IS Corrected Area/Height,Region Height,IS Region Height,Quality,IS Quality,Retention Time,IS Retention Time,Start Time,IS Start Time,End Time,IS End Time,Total Width,IS Total Width,Width at 50%,IS Width at 50%,Signal / Noise,IS Signal / Noise,Baseline Delta / Height,IS Baseline Delta / Height,Modified,Relative RT,Used,Calculated Concentration,Accuracy,Start Time at 5%,End Time at 5%,Width at 5%,Start Time at 10%,End Time at 10%,Width at 10%,Slope of Baseline,Tailing Factor,Asymmetry Factor,Ion Ratio,Expected Ion Ratio,Points Across Baseline,Points Across Half Height,Comment,Use_Calculated_Concentration
122,1,C:\Users\dmccloskey-sbrg\Analyst\Data\SSTs\SSTs_part1\130906_SystemWarmup.wiff (sample 5),41525.5743055556_130906_SST02,130906_SST02,,,Standard,9/8/2013 13:47,5,1,10,1,10,BOP5500QTRAP\Administrator,130923_McCloskey2013.dam,FALSE,arg-L.arg-L_1.Light,122,,,173.0 / 131.0,179.0 / 136.0,arg-L.arg-L_1.Heavy,arg-L,uM,FALSE,FALSE,,,,N/A,1,N/A,0.7,0.7,Baseline,Baseline,17052708.48,1739.665,17052708.48,1739.665,9802.294398,1530677.314,729.5379747,1530677.314,729.5379747,2098.146179,11.14062927,2.384611988,11.14062927,2.384611988,1530183,623,0.995235942,N/A,0.704988186,0.555442661,0.580916667,0.512183333,1.396866667,0.58855,0.81595,0.076366667,0.198342653,0.053903069,272.7155366,7.352826998,0.003676804,0.026043881,FALSE,1.269236657,TRUE,<2 points,N/A,0.602060903,0.922091516,0.320030613,0.604298085,0.894478676,0.290180591,6897.481463,2.169039379,3.056470014,1,N/A,29,10,,FALSE
123,1,C:\Users\dmccloskey-sbrg\Analyst\Data\SSTs\SSTs_part1\130906_SystemWarmup.wiff (sample 5),41525.5743055556_130906_SST02,130906_SST02,,,Standard,9/8/2013 13:47,5,1,10,1,10,BOP5500QTRAP\Administrator,130923_McCloskey2013.dam,FALSE,orn.orn_1.Light,123,,,131.0 / 85.0,179.0 / 136.0,arg-L.arg-L_1.Heavy,orn,uM,FALSE,FALSE,,,,N/A,1,N/A,0.7,0.7,Baseline,Baseline,345920.9435,1739.665,345920.9435,1739.665,198.843423,19717.49255,729.5379747,19717.49255,729.5379747,27.0273697,17.54386074,2.384611988,17.54386074,2.384611988,19608,623,0.99439053,N/A,0.73544219,0.555442661,0.58855,0.512183333,1.196,0.58855,0.60745,0.076366667,0.323637439,0.053903069,41.74777083,7.352826998,0.003955878,0.026043881,FALSE,1.324065007,TRUE,<2 points,N/A,0.600131399,1.099675705,0.499544306,0.601993736,1.078946563,0.476952828,128.4056301,5.327305649,9.593553473,1,N/A,22,14,,FALSE
124,1,C:\Users\dmccloskey-sbrg\Analyst\Data\SSTs\SSTs_part1\130906_SystemWarmup.wiff (sample 5),41525.5743055556_130906_SST02,130906_SST02,,,Standard,9/8/2013 13:47,5,1,10,1,10,BOP5500QTRAP\Administrator,130923_McCloskey2013.dam,FALSE,his-L.his-L_1.Light,124,Change RT to 1.0,Change RT to 1.0,154.0 / 137.0,160.0 / 143.0,his-L.his-L_1.Heavy,his-L,uM,FALSE,FALSE,,,,N/A,1,N/A,0.88,0.88,Baseline,Baseline,29853330.18,1052.039,29853330.18,1052.039,28376.6383,3110728.694,231.1464796,3110728.694,231.1464796,13457.82423,9.596892921,4.551395296,9.596892921,4.551395296,3057235,210,1,0.902561309,0.862661156,0.886572643,0.717016667,0.829383333,1.552133333,0.95295,0.835116667,0.123566667,0.129379492,0.077310987,53.16531194,5.923314812,0.007999412,0.224965572,FALSE,0.973029298,TRUE,<2 points,N/A,0.774645308,1.187971898,0.413326589,0.781157211,1.09244331,0.311286099,29797.03435,2.33066571,2.788804316,1,N/A,22,5,,FALSE
126,1,C:\Users\dmccloskey-sbrg\Analyst\Data\SSTs\SSTs_part1\130906_SystemWarmup.wiff (sample 5),41525.5743055556_130906_SST02,130906_SST02,,,Standard,9/8/2013 13:47,5,1,10,1,10,BOP5500QTRAP\Administrator,130923_McCloskey2013.dam,FALSE,asn-L.asn-L_1.Light,126,,,131.0 / 114.0,135.0 / 118.0,asn-L.asn-L_1.Heavy,asn-L,uM,FALSE,FALSE,,,,N/A,1,N/A,0.92,0.92,Baseline,Baseline,10011474.29,24551.4065,10011474.29,24551.4065,407.7759981,1247838.133,3002,1247838.133,3002,415.6689318,8.023055252,8.178349933,8.023055252,8.178349933,1245852,2184,1,1,0.902769089,0.834138895,0.77125,0.6834,1.270166667,1.000766667,0.498916667,0.317366667,0.12540004,0.151573807,67.05353325,7.007210438,0.000601841,0,FALSE,1.082276698,TRUE,<2 points,N/A,0.83167367,1.102926979,0.271253309,0.8342113,1.085041884,0.250830584,1505.2614,1.909526434,2.662364527,1,N/A,13,5,,FALSE
128,1,C:\Users\dmccloskey-sbrg\Analyst\Data\SSTs\SSTs_part1\130906_SystemWarmup.wiff (sample 5),41525.5743055556_130906_SST02,130906_SST02,,,Standard,9/8/2013 13:47,5,1,10,1,10,BOP5500QTRAP\Administrator,130923_McCloskey2013.dam,FALSE,ser-L.ser-L_1.Light,128,,,104.0 / 74.0,107.0 / 76.0,ser-L.ser-L_1.Heavy,ser-L,uM,FALSE,FALSE,,,,N/A,1,N/A,0.92,0.92,Baseline,N/A,5999519.51,N/A,5999519.51,N/A,N/A,821909.1287,N/A,821909.1287,N/A,N/A,7.299492487,N/A,7.299492487,N/A,820375,205,1,N/A,0.902447503,N/A,0.794516667,N/A,1.309083333,N/A,0.514566667,N/A,0.107818971,N/A,108.1368318,N/A,0.002574494,N/A,FALSE,N/A,TRUE,N/A,N/A,0.832243363,1.09925628,0.267012917,0.835159025,1.078897018,0.243737994,4112.197966,1.894874118,2.608742593,1,N/A,13,5,,FALSE
130,1,C:\Users\dmccloskey-sbrg\Analyst\Data\SSTs\SSTs_part1\130906_SystemWarmup.wiff (sample 5),41525.5743055556_130906_SST02,130906_SST02,,,Standard,9/8/2013 13:47,5,1,10,1,10,BOP5500QTRAP\Administrator,130923_McCloskey2013.dam,FALSE,citr-L.citr-L_1.Light,130,,,174.0 / 131.0,180.0 / 136.0,citr-L.citr-L_1.Heavy,citr-L,uM,FALSE,FALSE,,,,N/A,1,N/A,0.93,0.93,Baseline,Baseline,5034360.506,5232.15,5034360.506,5232.15,962.1972814,665978.836,929.3824701,665978.836,929.3824701,716.5820934,7.559340078,5.629705926,7.559340078,5.629705926,663113,840,1,0.56288548,0.910885168,0.834284194,0.829383333,0.760466667,1.232366667,0.9027,0.402983333,0.142233333,0.110591068,0.097376539,39.41154201,4.039774747,0.023652403,0.07531883,FALSE,1.091816404,TRUE,<2 points,N/A,0.833077592,1.113408922,0.28033133,0.837119733,1.09023356,0.253113827,-39088.4652,2.01322633,2.859603474,1,N/A,10,4,,FALSE
131,1,C:\Users\dmccloskey-sbrg\Analyst\Data\SSTs\SSTs_part1\130906_SystemWarmup.wiff (sample 5),41525.5743055556_130906_SST02,130906_SST02,,,Standard,9/8/2013 13:47,5,1,10,1,10,BOP5500QTRAP\Administrator,130923_McCloskey2013.dam,FALSE,gln-L.gln-L_1.Light,131,,,145.0 / 127.0,150.0 / 132.0,gln-L.gln-L_1.Heavy,gln-L,uM,FALSE,FALSE,,,,N/A,1,N/A,0.93,0.93,Baseline,Baseline,10397731.79,3538.36,10397731.79,3538.36,2938.573743,958701.2491,620.1093274,958701.2491,620.1093274,1546.019721,10.84564331,5.706026088,10.84564331,5.706026088,913987,630,1,0.96288324,0.904965079,1.000766667,0.75005,0.863316667,1.6028,1.104183333,0.85275,0.240866667,0.166963971,0.079122997,26.85579734,8.176795224,0.044178518,0.225766641,FALSE,0.904271804,TRUE,<2 points,N/A,0.830638493,1.545461673,0.714823181,0.832539788,1.103503514,0.270963725,49667.54617,4.959812861,2.862071099,1,N/A,22,6,,FALSE
135,1,C:\Users\dmccloskey-sbrg\Analyst\Data\SSTs\SSTs_part1\130906_SystemWarmup.wiff (sample 5),41525.5743055556_130906_SST02,130906_SST02,,,Standard,9/8/2013 13:47,5,1,10,1,10,BOP5500QTRAP\Administrator,130923_McCloskey2013.dam,FALSE,Lcystin.Lcystin_1.Light,135,,,239.0 / 120.0,245.0 / 123.0,Lcystin.Lcystin_1.Heavy,Lcystin,uM,FALSE,FALSE,,,,N/A,1,N/A,0.94,0.94,Baseline,Baseline,2443128.201,933.965,2443128.201,933.965,2615.866976,227515.1679,312.2110615,227515.1679,312.2110615,728.7223164,10.73830911,2.991453908,10.73830911,2.991453908,222430,286,0,0.500741087,0.932366081,0.863316667,0.829383333,0.794516667,1.552133333,0.9027,0.72275,0.108183333,0.153515349,0.046134401,47.62094381,5.246761586,0.012601358,0.230613226,FALSE,1.07998156,TRUE,<2 points,N/A,0.834554532,1.287033599,0.452479067,0.83959682,1.178149667,0.338552847,3966.793497,3.319949819,4.365067943,1,N/A,17,5,,FALSE
136,1,C:\Users\dmccloskey-sbrg\Analyst\Data\SSTs\SSTs_part1\130906_SystemWarmup.wiff (sample 5),41525.5743055556_130906_SST02,130906_SST02,,,Standard,9/8/2013 13:47,5,1,10,1,10,BOP5500QTRAP\Administrator,130923_McCloskey2013.dam,FALSE,thr-L.thr-L_1.Light,136,,,118.0 / 74.0,122.0 / 76.0,thr-L.thr-L_1.Heavy,thr-L,uM,FALSE,FALSE,,,,N/A,1,N/A,0.94,0.94,Baseline,Baseline,17968276.82,1262.512,17968276.82,1262.512,14232.16319,2276860.634,358,2276860.634,358,6359.945906,7.891689349,3.526569832,7.891689349,3.526569832,2270587,358,1,0,0.911840014,0.807637224,0.794516667,0.75005,1.6028,0.863316667,0.808283333,0.113266667,0.129545004,0.059269338,118.6685641,4.344032594,0.001290812,0,FALSE,1.129021777,TRUE,<2 points,N/A,0.834811933,1.12922411,0.294412177,0.840259465,1.099309756,0.25905029,3636.101202,2.16836472,3.148751946,1,N/A,19,5,,FALSE
142,1,C:\Users\dmccloskey-sbrg\Analyst\Data\SSTs\SSTs_part1\130906_SystemWarmup.wiff (sample 5),41525.5743055556_130906_SST02,130906_SST02,,,Standard,9/8/2013 13:47,5,1,10,1,10,BOP5500QTRAP\Administrator,130923_McCloskey2013.dam,FALSE,met-L.met-L_1.Light,142,,,148.0 / 47.0,153.0 / 48.0,met-L.met-L_1.Heavy,met-L,uM,FALSE,FALSE,,,,N/A,1,N/A,1.22,1.22,Baseline,N/A,16631060.07,N/A,16631060.07,N/A,N/A,2463047.58,N/A,2463047.58,N/A,N/A,6.752228502,N/A,6.752228502,N/A,2461098,225,1,N/A,1.163098985,N/A,1.050566667,N/A,1.652416667,N/A,0.60185,N/A,0.107186509,N/A,179.0157425,N/A,0.000912284,N/A,FALSE,N/A,TRUE,N/A,N/A,1.104289483,1.345620374,0.241330891,1.106697931,1.314799389,0.208101458,3733.488411,2.636889904,3.800265897,1,N/A,14,5,,FALSE
