experiment_id,model_id,mapping_id,sample_name_abbreviation,time_point,flux_units,used_,comment_,rxn_id,rxn_id_INCA,rxn_equation,flux_average,flux_stdev,flux_lb,flux_ub
ALEsKOs01,ecoli_RL2013_02,ecoli_RL2013_02,OxicEvo04Ecoli13CGlc,0,mmol*gDCW-1*hr-1,TRUE,,26dap_DASH_MSYN,R1,glu_DASH_L_c + pyr_c + succoa_c + atp_c + asp_DASH_L_c + 2*nadph_c -> 26dap_DASH_M_c + succ_c + akg_c,0.298,0.0026,0.2931,0.303
ALEsKOs01,ecoli_RL2013_02,ecoli_RL2013_02,OxicEvo04Ecoli13CGlc,0,mmol*gDCW-1*hr-1,TRUE,,ACONTa,R2,cit_c -> icit_c,2.9304,4.1864,2.4672,Inf
ALEsKOs01,ecoli_RL2013_02,ecoli_RL2013_02,OxicEvo04Ecoli13CGlc,0,mmol*gDCW-1*hr-1,TRUE,,ACONTa_reverse,R3,icit_c -> cit_c,1.00E-07,4.1454,0,Inf
ALEsKOs01,ecoli_RL2013_02,ecoli_RL2013_02,OxicEvo04Ecoli13CGlc,0,mmol*gDCW-1*hr-1,TRUE,,ACONTb,R2,cit_c -> icit_c,2.9304,4.1864,2.4672,Inf
ALEsKOs01,ecoli_RL2013_02,ecoli_RL2013_02,OxicEvo04Ecoli13CGlc,0,mmol*gDCW-1*hr-1,TRUE,,ACONTb_reverse,R3,icit_c -> cit_c,1.00E-07,4.1454,0,Inf
ALEsKOs01,ecoli_RL2013_02,ecoli_RL2013_02,OxicEvo04Ecoli13CGlc,0,mmol*gDCW-1*hr-1,TRUE,,AKGDH,R4,akg_c -> nadh_c + succoa_c + co2_c,1.5599,0.4724,1.1057,2.1196
ALEsKOs01,ecoli_RL2013_02,ecoli_RL2013_02,OxicEvo04Ecoli13CGlc,0,mmol*gDCW-1*hr-1,TRUE,,ALATA_L,R5,glu_DASH_L_c + pyr_c -> akg_c + ala_DASH_L_c,0.4462,0.0038,0.4388,0.4535
ALEsKOs01,ecoli_RL2013_02,ecoli_RL2013_02,OxicEvo04Ecoli13CGlc,0,mmol*gDCW-1*hr-1,TRUE,aaSyn,ArgSYN,R6,glu_DASH_L_c + gln_DASH_L_c + co2_c + 5*atp_c + nadph_c + accoa_c + asp_DASH_L_c -> ac_c + arg_DASH_L_c + akg_c + fum_c,0.2569,0.0022,0.2527,0.2612
ALEsKOs01,ecoli_RL2013_02,ecoli_RL2013_02,OxicEvo04Ecoli13CGlc,0,mmol*gDCW-1*hr-1,TRUE,aaSyn,ASNN,R7,2*atp_c + asp_DASH_L_c + nh4_c -> asn_DASH_L_c,0.2094,0.0018,0.2059,0.2128
ALEsKOs01,ecoli_RL2013_02,ecoli_RL2013_02,OxicEvo04Ecoli13CGlc,0,mmol*gDCW-1*hr-1,TRUE,aaSyn,ASPTA,R8,glu_DASH_L_c + oaa_c -> akg_c + asp_DASH_L_c,1.6621,0.9393,1.6346,1.8224
