"sample_id","growth_condition_short","growth_condition_long","media_short","media_long","isoxic","temperature","supplementation","od600","vcd","culture_density","culture_volume_sampled","cells","dcw","wcw","vcd_units","culture_density_units","culture_volume_sampled_units","dcw_units","wcw_units"
"130529_0_AnoxicHUGEGlcM9YEpvdfACN_Broth-1","Batch","Anaerobic E. coli; Grown and sampled from the anaerobic chamber","Glucose M9 minimal media","",f,37,"1 g*L-1 YE",0.274,425000000000,0.1233,2,850344827.6,0.2466,0.807827586,"cells*L-1","g*L-1","mL","mg","mg"
"130529_0_AnoxicHUGEGlcM9YEpvdfACN_Broth-2","Batch","Anaerobic E. coli; Grown and sampled from the anaerobic chamber","Glucose M9 minimal media","",f,37,"1 g*L-1 YE",0.274,425000000000,0.1233,2,850344827.6,0.2466,0.807827586,"cells*L-1","g*L-1","mL","mg","mg"
"130529_0_AnoxicHUGEGlcM9YEpvdfACN_Broth-3","Batch","Anaerobic E. coli; Grown and sampled from the anaerobic chamber","Glucose M9 minimal media","",f,37,"1 g*L-1 YE",0.308,478000000000,0.1386,2,955862069,0.2772,0.908068966,"cells*L-1","g*L-1","mL","mg","mg"
"130529_0_AnoxicHUGEGlcM9YEpvdfACN_Filtrate-1","Batch","Anaerobic E. coli; Grown and sampled from the anaerobic chamber","Glucose M9 minimal media","",f,37,"1 g*L-1 YE",0.274,425000000000,0.1233,2,850344827.6,0.2466,0.807827586,"cells*L-1","g*L-1","mL","mg","mg"
"130529_0_AnoxicHUGEGlcM9YEpvdfACN_Filtrate-2","Batch","Anaerobic E. coli; Grown and sampled from the anaerobic chamber","Glucose M9 minimal media","",f,37,"1 g*L-1 YE",0.274,425000000000,0.1233,2,850344827.6,0.2466,0.807827586,"cells*L-1","g*L-1","mL","mg","mg"
"130529_0_AnoxicHUGEGlcM9YEpvdfACN_Filtrate-3","Batch","Anaerobic E. coli; Grown and sampled from the anaerobic chamber","Glucose M9 minimal media","",f,37,"1 g*L-1 YE",0.308,478000000000,0.1386,2,955862069,0.2772,0.908068966,"cells*L-1","g*L-1","mL","mg","mg"
"130529_0_AnoxicWtEColiGlcM9pvdfACN_Broth-1","Batch","Anaerobic E. coli; Grown and sampled from the anaerobic chamber","Glucose M9 minimal media","",f,37,"",0.31,481000000000,0.1395,2,962068965.5,0.279,0.913965517,"cells*L-1","g*L-1","mL","mg","mg"
"130529_0_AnoxicWtEColiGlcM9pvdfACN_Broth-2","Batch","Anaerobic E. coli; Grown and sampled from the anaerobic chamber","Glucose M9 minimal media","",f,37,"",0.466,723000000000,0.2097,1.5,1084655172,0.31455,1.030422414,"cells*L-1","g*L-1","mL","mg","mg"
"130529_0_AnoxicWtEColiGlcM9pvdfACN_Broth-3","Batch","Anaerobic E. coli; Grown and sampled from the anaerobic chamber","Glucose M9 minimal media","",f,37,"",0.332,515000000000,0.1494,2,1030344828,0.2988,0.978827586,"cells*L-1","g*L-1","mL","mg","mg"
"130529_0_AnoxicWtEColiGlcM9pvdfACN_Filtrate-1","Batch","Anaerobic E. coli; Grown and sampled from the anaerobic chamber","Glucose M9 minimal media","",f,37,"",0.31,481000000000,0.1395,2,962068965.5,0.279,0.913965517,"cells*L-1","g*L-1","mL","mg","mg"
