sample_name_abbreviation,time_point,met_id,fragment_formula,C_pos,scan_type,theoretical,,,,,,,,,,,,,,measured,,,,,,,,,,,,,,measured_cv,,,,,,,,,,,,,,abs_difference,,,,,,,,,,,,,
,,,,,,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13
OxicWtGlc,0,23dpg,C3H7O10P2-,"[True, True, True]",EPI,1,0.037,0.021,0.001,,,,,,,,,,,1,0,0,0,,,,,,,,,,,0,0,0,0,,,,,,,,,,,0,0.037,0.021,0.001,,,,,,,,,,
OxicWtGlc,0,23dpg,C3H4O6P-,"[True, True, True]",EPI,1,0.035,0.013,0,,,,,,,,,,,1,0.01,0,0,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
OxicWtGlc,0,6pgc,C6H12O10P-,"[True, True, True, True, True, True]",EPI,1,0.07,0.023,0.001,0,0,0,,,,,,,,1,0.11,0,0,0,0,0,,,,,,,,0,12.204,0,0,0,0,0,,,,,,,,0,-0.04,0.023,0.001,0,0,0,,,,,,,
OxicWtGlc,0,6pgc,C6H10O9P-,"[True, True, True, True, True, True]",EPI,1,0.069,0.021,0.001,0,0,0,,,,,,,,1,0.13,0,0,0,0,0,,,,,,,,0,52.898,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
OxicWtGlc,0,6pgc,C5H12O8P-,"[True, True, True, True, True, False]",EPI,1,0.059,0.018,0.001,0,0,,,,,,,,,1,0.081,0,0,0,0,,,,,,,,,0,11.961,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
OxicWtGlc,0,6pgc,C5H12O7P-,"[True, True, True, True, True, False]",EPI,1,0.058,0.016,0.001,0,0,,,,,,,,,1,0.087,0,0,0,0,,,,,,,,,0,34.275,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
OxicWtGlc,0,6pgc,C4H3O4-,"[True, True, True, True, False, False]",EPI,1,0.045,0.009,0,0,,,,,,,,,,1,0,0,0,0.025,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
OxicWtGlc,0,accoa,C23H37N7O17P3S-,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]",EPI,1,0.293,0.122,0.027,0.006,0.001,0,0,0,0,0,0,0,0,1,0.336,0.194,0.054,0.004,0,0,0,0,0,0,0,0,0,0,44.503,48.139,88.175,71.296,0,0,0,0,0,0,0,0,0,0,-0.042,-0.073,-0.027,0.002,0.001,0,0,0,0,0,0,0,0
OxicWtGlc,0,accoa,C23H36N7O14P2S-,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]",EPI,1,0.292,0.115,0.025,0.005,0.001,0,0,0,0,0,0,0,0,1,0.398,0.19,0.053,0,0,0,0,0,0,0,0,0,0,0,3.61,50.121,91.358,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
OxicWtGlc,0,accoa,C13H23N2O10P2S-,"[False, False, False, False, False, False, False, False, False, False, True, True, True, True, True, True, True, True, True, True, True, True, True]",EPI,1,0.162,0.078,0.011,0.002,0,0,0,0,0,0,0,0,,1,0.282,0.19,0.043,0,0,0,0,0,0,0.021,0,0,0,0,40.945,74.397,105.549,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
