% header=SampleName	SampleID	Comments	AcqMethod	ProcMethod	RackCode	PlateCode	VialPos	SmplInjVol	DilutFact	WghtToVol	Type	RackPos	PlatePos	SetName	OutputFile
140710_0_OxicEvo04EcoliGlcM9_Filtrate-1-100.0x			140720_McCloskey2013_13CFlux	none	CStk1-03	VT54	54	10	1	0	Unknown	3	1	140716_Isotopomer_ALEsKOs01	14071602\140716_Isotopomer_ALEsKOs01_100x
140710_0_OxicEvo04EcoliGlcM9_Broth-1-100.0x			140720_McCloskey2013_13CFlux	none	CStk1-03	VT54	1	10	1	0	Unknown	3	1	140716_Isotopomer_ALEsKOs01	14071602\140716_Isotopomer_ALEsKOs01_100x
140710_0_OxicEvo04EcoliGlcM9_Broth-2-100.0x			140720_McCloskey2013_13CFlux	none	CStk1-03	VT54	2	10	1	0	Unknown	3	1	140716_Isotopomer_ALEsKOs01	14071602\140716_Isotopomer_ALEsKOs01_100x
140711_0_OxicEvo04EcoliGlcM9_Broth-3-100.0x			140720_McCloskey2013_13CFlux	none	CStk1-03	VT54	3	10	1	0	Unknown	3	1	140716_Isotopomer_ALEsKOs01	14071602\140716_Isotopomer_ALEsKOs01_100x
140711_0_OxicEvo04EcoliGlcM9_Broth-4-100.0x			140720_McCloskey2013_13CFlux	none	CStk1-03	VT54	4	10	1	0	Unknown	3	1	140716_Isotopomer_ALEsKOs01	14071602\140716_Isotopomer_ALEsKOs01_100x
140710_0_OxicEvo04EcoliGlcM9_Filtrate-5-100.0x			140720_McCloskey2013_13CFlux	none	CStk1-03	VT54	54	10	1	0	Unknown	3	1	140716_Isotopomer_ALEsKOs01	14071602\140716_Isotopomer_ALEsKOs01_100x
140710_0_OxicEvo04EcoliGlcM9_Broth-5-100.0x			140720_McCloskey2013_13CFlux	none	CStk1-03	VT54	1	10	1	0	Unknown	3	1	140716_Isotopomer_ALEsKOs01	14071602\140716_Isotopomer_ALEsKOs01_100x
140710_0_OxicEvo04EcoliGlcM9_Broth-6-100.0x			140720_McCloskey2013_13CFlux	none	CStk1-03	VT54	2	10	1	0	Unknown	3	1	140716_Isotopomer_ALEsKOs01	14071602\140716_Isotopomer_ALEsKOs01_100x
140711_0_OxicEvo04EcoliGlcM9_Broth-7-100.0x			140720_McCloskey2013_13CFlux	none	CStk1-03	VT54	3	10	1	0	Unknown	3	1	140716_Isotopomer_ALEsKOs01	14071602\140716_Isotopomer_ALEsKOs01_100x
140711_0_OxicEvo04EcoliGlcM9_Broth-8-100.0x			140720_McCloskey2013_13CFlux	none	CStk1-03	VT54	4	10	1	0	Unknown	3	1	140716_Isotopomer_ALEsKOs01	14071602\140716_Isotopomer_ALEsKOs01_100x
140709_0_OxicEvo04gndEcoliGlcM9_Filtrate-1-100.0x			140720_McCloskey2013_13CFlux	none	CStk1-03	VT54	54	10	1	0	Unknown	3	1	140716_Isotopomer_ALEsKOs01	14071602\140716_Isotopomer_ALEsKOs01_100x
140709_0_OxicEvo04gndEcoliGlcM9_Broth-1-100.0x			140720_McCloskey2013_13CFlux	none	CStk1-03	VT54	5	10	1	0	Unknown	3	1	140716_Isotopomer_ALEsKOs01	14071602\140716_Isotopomer_ALEsKOs01_100x
140709_0_OxicEvo04gndEcoliGlcM9_Broth-2-100.0x			140720_McCloskey2013_13CFlux	none	CStk1-03	VT54	6	10	1	0	Unknown	3	1	140716_Isotopomer_ALEsKOs01	14071602\140716_Isotopomer_ALEsKOs01_100x
140711_0_OxicEvo04gndEcoliGlcM9_Broth-3-100.0x			140720_McCloskey2013_13CFlux	none	CStk1-03	VT54	7	10	1	0	Unknown	3	1	140716_Isotopomer_ALEsKOs01	14071602\140716_Isotopomer_ALEsKOs01_100x
140711_0_OxicEvo04gndEcoliGlcM9_Broth-4-100.0x			140720_McCloskey2013_13CFlux	none	CStk1-03	VT54	8	10	1	0	Unknown	3	1	140716_Isotopomer_ALEsKOs01	14071602\140716_Isotopomer_ALEsKOs01_100x
140709_0_OxicEvo04gndEcoliGlcM9_Filtrate-5-100.0x			140720_McCloskey2013_13CFlux	none	CStk1-03	VT54	54	10	1	0	Unknown	3	1	140716_Isotopomer_ALEsKOs01	14071602\140716_Isotopomer_ALEsKOs01_100x
140709_0_OxicEvo04gndEcoliGlcM9_Broth-5-100.0x			140720_McCloskey2013_13CFlux	none	CStk1-03	VT54	5	10	1	0	Unknown	3	1	140716_Isotopomer_ALEsKOs01	14071602\140716_Isotopomer_ALEsKOs01_100x
140709_0_OxicEvo04gndEcoliGlcM9_Broth-6-100.0x			140720_McCloskey2013_13CFlux	none	CStk1-03	VT54	6	10	1	0	Unknown	3	1	140716_Isotopomer_ALEsKOs01	14071602\140716_Isotopomer_ALEsKOs01_100x
140711_0_OxicEvo04gndEcoliGlcM9_Broth-7-100.0x			140720_McCloskey2013_13CFlux	none	CStk1-03	VT54	7	10	1	0	Unknown	3	1	140716_Isotopomer_ALEsKOs01	14071602\140716_Isotopomer_ALEsKOs01_100x
140711_0_OxicEvo04gndEcoliGlcM9_Broth-8-100.0x			140720_McCloskey2013_13CFlux	none	CStk1-03	VT54	8	10	1	0	Unknown	3	1	140716_Isotopomer_ALEsKOs01	14071602\140716_Isotopomer_ALEsKOs01_100x
140711_0_OxicEvo04pgiEcoliGlcM9_Filtrate-1-100.0x			140720_McCloskey2013_13CFlux	none	CStk1-03	VT54	54	10	1	0	Unknown	3	1	140716_Isotopomer_ALEsKOs01	14071602\140716_Isotopomer_ALEsKOs01_100x
140711_0_OxicEvo04pgiEcoliGlcM9_Broth-1-100.0x			140720_McCloskey2013_13CFlux	none	CStk1-03	VT54	9	10	1	0	Unknown	3	1	140716_Isotopomer_ALEsKOs01	14071602\140716_Isotopomer_ALEsKOs01_100x
140711_0_OxicEvo04pgiEcoliGlcM9_Broth-2-100.0x			140720_McCloskey2013_13CFlux	none	CStk1-03	VT54	10	10	1	0	Unknown	3	1	140716_Isotopomer_ALEsKOs01	14071602\140716_Isotopomer_ALEsKOs01_100x
140711_0_OxicEvo04pgiEcoliGlcM9_Broth-3-100.0x			140720_McCloskey2013_13CFlux	none	CStk1-03	VT54	11	10	1	0	Unknown	3	1	140716_Isotopomer_ALEsKOs01	14071602\140716_Isotopomer_ALEsKOs01_100x
140711_0_OxicEvo04pgiEcoliGlcM9_Filtrate-4-100.0x			140720_McCloskey2013_13CFlux	none	CStk1-03	VT54	54	10	1	0	Unknown	3	1	140716_Isotopomer_ALEsKOs01	14071602\140716_Isotopomer_ALEsKOs01_100x
140711_0_OxicEvo04pgiEcoliGlcM9_Broth-4-100.0x			140720_McCloskey2013_13CFlux	none	CStk1-03	VT54	9	10	1	0	Unknown	3	1	140716_Isotopomer_ALEsKOs01	14071602\140716_Isotopomer_ALEsKOs01_100x
140711_0_OxicEvo04pgiEcoliGlcM9_Broth-5-100.0x			140720_McCloskey2013_13CFlux	none	CStk1-03	VT54	10	10	1	0	Unknown	3	1	140716_Isotopomer_ALEsKOs01	14071602\140716_Isotopomer_ALEsKOs01_100x
140711_0_OxicEvo04pgiEcoliGlcM9_Broth-6-100.0x			140720_McCloskey2013_13CFlux	none	CStk1-03	VT54	11	10	1	0	Unknown	3	1	140716_Isotopomer_ALEsKOs01	14071602\140716_Isotopomer_ALEsKOs01_100x
140708_0_OxicEvo04sdhCadhBEcoliGlcM9_Filtrate-1-100.0x			140720_McCloskey2013_13CFlux	none	CStk1-03	VT54	54	10	1	0	Unknown	3	1	140716_Isotopomer_ALEsKOs01	14071602\140716_Isotopomer_ALEsKOs01_100x
140708_0_OxicEvo04sdhCadhBEcoliGlcM9_Broth-1-100.0x			140720_McCloskey2013_13CFlux	none	CStk1-03	VT54	12	10	1	0	Unknown	3	1	140716_Isotopomer_ALEsKOs01	14071602\140716_Isotopomer_ALEsKOs01_100x
140710_0_OxicEvo04sdhCadhBEcoliGlcM9_Broth-2-100.0x			140720_McCloskey2013_13CFlux	none	CStk1-03	VT54	13	10	1	0	Unknown	3	1	140716_Isotopomer_ALEsKOs01	14071602\140716_Isotopomer_ALEsKOs01_100x
140708_0_OxicEvo04sdhCadhBEcoliGlcM9_Broth-3-100.0x			140720_McCloskey2013_13CFlux	none	CStk1-03	VT54	14	10	1	0	Unknown	3	1	140716_Isotopomer_ALEsKOs01	14071602\140716_Isotopomer_ALEsKOs01_100x
140708_0_OxicEvo04sdhCadhBEcoliGlcM9_Filtrate-4-100.0x			140720_McCloskey2013_13CFlux	none	CStk1-03	VT54	54	10	1	0	Unknown	3	1	140716_Isotopomer_ALEsKOs01	14071602\140716_Isotopomer_ALEsKOs01_100x
140708_0_OxicEvo04sdhCadhBEcoliGlcM9_Broth-4-100.0x			140720_McCloskey2013_13CFlux	none	CStk1-03	VT54	12	10	1	0	Unknown	3	1	140716_Isotopomer_ALEsKOs01	14071602\140716_Isotopomer_ALEsKOs01_100x
140710_0_OxicEvo04sdhCadhBEcoliGlcM9_Broth-5-100.0x			140720_McCloskey2013_13CFlux	none	CStk1-03	VT54	13	10	1	0	Unknown	3	1	140716_Isotopomer_ALEsKOs01	14071602\140716_Isotopomer_ALEsKOs01_100x
140708_0_OxicEvo04sdhCadhBEcoliGlcM9_Broth-6-100.0x			140720_McCloskey2013_13CFlux	none	CStk1-03	VT54	14	10	1	0	Unknown	3	1	140716_Isotopomer_ALEsKOs01	14071602\140716_Isotopomer_ALEsKOs01_100x
140711_0_OxicEvo04tpiAEcoliGlcM9_Filtrate-1-100.0x			140720_McCloskey2013_13CFlux	none	CStk1-03	VT54	54	10	1	0	Unknown	3	1	140716_Isotopomer_ALEsKOs01	14071602\140716_Isotopomer_ALEsKOs01_100x
140711_0_OxicEvo04tpiAEcoliGlcM9_Broth-1-100.0x			140720_McCloskey2013_13CFlux	none	CStk1-03	VT54	15	10	1	0	Unknown	3	1	140716_Isotopomer_ALEsKOs01	14071602\140716_Isotopomer_ALEsKOs01_100x
