sample_name_short,met_id,sample_id,time [hr],OD600,culture_density [gDW*L-1],concentration [mM],growth_rate [hr-1],,,
OxicEvo04EcoliGlc_Broth-1,ac,140715_1_OxicEvo04EcoliGlcM9_Broth-1,17664950.65,0.068081544,0.030636695,0.55201,0.979848005,,,
OxicEvo04EcoliGlc_Broth-1,ac,140715_2_OxicEvo04EcoliGlcM9_Broth-1,17664951.35,0.135178993,0.060830547,1.15798,0.979848005,20.06931745,15.25764549,
OxicEvo04EcoliGlc_Broth-1,ac,140715_3_OxicEvo04EcoliGlcM9_Broth-1,17664952.07,0.272823258,0.122770466,2.41423,0.979848005,20.22247444,14.72096014,
OxicEvo04EcoliGlc_Broth-1,ac,140715_4_OxicEvo04EcoliGlcM9_Broth-1,17664952.82,0.568903134,0.25600641,4.49221,0.979848005,17.37916534,14.29288145,
OxicEvo04EcoliGlc_Broth-1,ac,140715_5_OxicEvo04EcoliGlcM9_Broth-1,17664953.17,0.801637881,0.360737047,6.14711,0.979848005,16.7921056,13.75241987,
OxicEvo04EcoliGlc_Broth-1,ac,140715_6_OxicEvo04EcoliGlcM9_Broth-1,17664953.67,1.308427075,0.588792184,9.28342,0.979848005,15.59969161,,
OxicEvo04EcoliGlc_Broth-1,glc-D,140715_1_OxicEvo04EcoliGlcM9_Broth-1,17664950.65,0.068081544,0.030636695,20.86968,0.979848005,,,
OxicEvo04EcoliGlc_Broth-1,glc-D,140715_2_OxicEvo04EcoliGlcM9_Broth-1,17664951.35,0.135178993,0.060830547,20.19451,0.979848005,-22.36117475,-22.56406494,-22.36117475
OxicEvo04EcoliGlc_Broth-1,glc-D,140715_3_OxicEvo04EcoliGlcM9_Broth-1,17664952.07,0.272823258,0.122770466,18.68564,0.979848005,-23.80241624,-22.04660728,-24.36021905
OxicEvo04EcoliGlc_Broth-1,glc-D,140715_4_OxicEvo04EcoliGlcM9_Broth-1,17664952.82,0.568903134,0.25600641,15.43202,0.979848005,-24.22193419,-20.72403383,-24.41998679
OxicEvo04EcoliGlc_Broth-1,glc-D,140715_5_OxicEvo04EcoliGlcM9_Broth-1,17664953.17,0.801637881,0.360737047,12.66503,0.979848005,-24.82673035,-18.68342039,-26.42006296
