sample_name_short,met_id,sample_id,time [hr],OD600,culture_density [gDW*L-1],concentration [mM],growth_rate [hr-1],,
OxicEvo04gndEcoliGlc_Broth-4,ac,140908_1_OxicEvo04gndEcoliGlcM9_Broth-4,17663854.76,0.113998898,0.051299504,0.78636,0.840986255,,
OxicEvo04gndEcoliGlc_Broth-4,ac,140908_2_OxicEvo04gndEcoliGlcM9_Broth-4,17663855.76,0.264323844,0.11894573,1.63477,0.840986255,,12.54186747
OxicEvo04gndEcoliGlc_Broth-4,ac,140908_3_OxicEvo04gndEcoliGlcM9_Broth-4,17663856.56,0.517994196,0.233097388,3.06404,0.840986255,,12.52079928
OxicEvo04gndEcoliGlc_Broth-4,ac,140908_4_OxicEvo04gndEcoliGlcM9_Broth-4,17663857.04,0.77777768,0.349999956,4.46356,0.840986255,,11.97167886
OxicEvo04gndEcoliGlc_Broth-4,ac,140908_5_OxicEvo04gndEcoliGlcM9_Broth-4,17663857.51,1.151592421,0.51821659,5.98016,0.840986255,11.23544537,9.015755258
OxicEvo04gndEcoliGlc_Broth-4,glc-D,140908_1_OxicEvo04gndEcoliGlcM9_Broth-4,17663854.76,0.113998898,0.051299504,21.9585,0.840986255,,
OxicEvo04gndEcoliGlc_Broth-4,glc-D,140908_2_OxicEvo04gndEcoliGlcM9_Broth-4,17663855.76,0.264323844,0.11894573,20.97485,0.840986255,,-14.54109208
OxicEvo04gndEcoliGlc_Broth-4,glc-D,140908_3_OxicEvo04gndEcoliGlcM9_Broth-4,17663856.56,0.517994196,0.233097388,19.14071,0.840986255,,-16.06757211
OxicEvo04gndEcoliGlc_Broth-4,glc-D,140908_4_OxicEvo04gndEcoliGlcM9_Broth-4,17663857.04,0.77777768,0.349999956,17.21176,0.840986255,,-16.50049298
OxicEvo04gndEcoliGlc_Broth-4,glc-D,140908_5_OxicEvo04gndEcoliGlcM9_Broth-4,17663857.51,1.151592421,0.51821659,14.83081,0.840986255,-15.43560453,-14.15406995
OxicEvo04gndEcoliGlc_Broth-5,ac,140908_1_OxicEvo04gndEcoliGlcM9_Broth-5,17663854.76,0.119611942,0.053825374,0.839,0.840729395,,
OxicEvo04gndEcoliGlc_Broth-5,ac,140908_2_OxicEvo04gndEcoliGlcM9_Broth-5,17663855.76,0.277267315,0.124770292,1.82815,0.840729395,,13.94250674
OxicEvo04gndEcoliGlc_Broth-5,ac,140908_3_OxicEvo04gndEcoliGlcM9_Broth-5,17663856.56,0.543247814,0.244461516,3.2747,0.840729395,,12.08568137
OxicEvo04gndEcoliGlc_Broth-5,ac,140908_4_OxicEvo04gndEcoliGlcM9_Broth-5,17663857.04,0.815595184,0.367017833,4.69959,0.840729395,,11.62641013
OxicEvo04gndEcoliGlc_Broth-5,ac,140908_5_OxicEvo04gndEcoliGlcM9_Broth-5,17663857.51,1.207440996,0.543348448,6.17584,0.840729395,10.94282074,8.3720572
OxicEvo04gndEcoliGlc_Broth-5,glc-D,140908_1_OxicEvo04gndEcoliGlcM9_Broth-5,17663854.76,0.119611942,0.053825374,21.9343,0.840729395,,
OxicEvo04gndEcoliGlc_Broth-5,glc-D,140908_2_OxicEvo04gndEcoliGlcM9_Broth-5,17663855.76,0.277267315,0.124770292,20.80856,0.840729395,,-15.8678032
OxicEvo04gndEcoliGlc_Broth-5,glc-D,140908_3_OxicEvo04gndEcoliGlcM9_Broth-5,17663856.56,0.543247814,0.244461516,18.88458,0.840729395,,-16.07452852
OxicEvo04gndEcoliGlc_Broth-5,glc-D,140908_4_OxicEvo04gndEcoliGlcM9_Broth-5,17663857.04,0.815595184,0.367017833,16.84429,0.840729395,,-16.64777515
OxicEvo04gndEcoliGlc_Broth-5,glc-D,140908_5_OxicEvo04gndEcoliGlcM9_Broth-5,17663857.51,1.207440996,0.543348448,14.35929,0.840729395,-15.59396565,-14.0928448
OxicEvo04gndEcoliGlc_Broth-6,ac,140908_1_OxicEvo04gndEcoliGlcM9_Broth-6,17663854.76,0.119843694,0.053929662,0.76739,0.824688766,,
OxicEvo04gndEcoliGlc_Broth-6,ac,140908_2_OxicEvo04gndEcoliGlcM9_Broth-6,17663855.76,0.27338392,0.123022764,1.72152,0.824688766,,13.80933806
OxicEvo04gndEcoliGlc_Broth-6,ac,140908_3_OxicEvo04gndEcoliGlcM9_Broth-6,17663856.56,0.528809429,0.237964243,3.25777,0.824688766,,13.36549703
OxicEvo04gndEcoliGlc_Broth-6,ac,140908_4_OxicEvo04gndEcoliGlcM9_Broth-6,17663857.04,0.787786953,0.354504129,4.6225,0.824688766,,11.71041137
OxicEvo04gndEcoliGlc_Broth-6,ac,140908_5_OxicEvo04gndEcoliGlcM9_Broth-6,17663857.51,1.157574847,0.520908681,5.99248,0.824688766,11.29242373,8.23282764
OxicEvo04gndEcoliGlc_Broth-6,glc-D,140908_1_OxicEvo04gndEcoliGlcM9_Broth-6,17663854.76,0.119843694,0.053929662,21.91873,0.824688766,,
OxicEvo04gndEcoliGlc_Broth-6,glc-D,140908_2_OxicEvo04gndEcoliGlcM9_Broth-6,17663855.76,0.27338392,0.123022764,20.9026,0.824688766,,-14.706678
OxicEvo04gndEcoliGlc_Broth-6,glc-D,140908_3_OxicEvo04gndEcoliGlcM9_Broth-6,17663856.56,0.528809429,0.237964243,18.98622,0.824688766,,-16.67265823
OxicEvo04gndEcoliGlc_Broth-6,glc-D,140908_4_OxicEvo04gndEcoliGlcM9_Broth-6,17663857.04,0.787786953,0.354504129,17.06637,0.824688766,,-16.47375911
OxicEvo04gndEcoliGlc_Broth-6,glc-D,140908_5_OxicEvo04gndEcoliGlcM9_Broth-6,17663857.51,1.157574847,0.520908681,14.6794,0.824688766,-15.67847779,-14.34437918
