,OxicRph-pyrE82_Broth-2,OxicRph-pyrE82_Broth-3,OxicRph-pyrE82_Broth-5,OxicRph-pyrE82_Broth-6,OxicRpoBE546V_Broth-1,OxicRpoBE546V_Broth-2,OxicRpoBE546V_Broth-3,OxicRpoBE546V_Broth-4,OxicRpoBE546V_Broth-5,OxicRpoBE546V_Broth-6,OxicRpoBE672K-rph-pyrE82_Broth-1,OxicRpoBE672K-rph-pyrE82_Broth-3,OxicRpoBE672K-rph-pyrE82_Broth-4,OxicRpoBE672K-rph-pyrE82_Broth-6,OxicRpoBE672K_Broth-1,OxicRpoBE672K_Broth-2,OxicRpoBE672K_Broth-3,OxicRpoBE672K_Broth-4,OxicRpoBE672K_Broth-5,OxicRpoBE672K_Broth-6,OxicWtGlc_Broth-1,OxicWtGlc_Broth-2,OxicWtGlc_Broth-3,OxicWtGlc_Broth-4,OxicWtGlc_Broth-5,OxicWtGlc_Broth-6
23dpg,0.0213490679999996,0.0164270339999998,0.0178347609999997,0.010591876,0.00945182949999983,0.0108922005000001,0.00891162350000012,0.0129973405000001,0.0165061985000001,0.00373465649999993,0.0197068459999997,0.00215275999999998,0.0176266050000002,0.00160971599999998,0.00292205999999996,0.011510114,0.00878433699999986,0.00621507999999988,0.0124572129999998,0.0152533100000002,0.0049608225000001,0.000359468500000001,0.0229282184999998,0.00595415849999988,0.00328408350000006,0.0273586544999996
AICAr,380.966590499991,1159.4739017,845.71843470001,457.101340699999,2911.27606889995,2379.49084990002,1901.72118490002,1785.38225889998,2622.57441490003,1865.23703190003,709.830025700003,1068.89713369999,707.681287699996,943.355420700015,1632.66523955,1902.64986554999,2443.99492454996,1696.94378955003,2353.72967055,2481.82074755006,1088.30257954998,696.083198550005,536.777988550009,941.701120550015,543.227349349997,637.158647549999
Pool_2pg_3pg,0.382050170000009,0.394288635000006,0.380305383000005,0.388882056999994,0.255895450499997,0.286049557500002,0.231076230500002,0.257494322500003,0.258916953500003,0.230167823500004,0.313752308999996,0.241018884999996,0.279316493000005,0.269507244000005,0.190170269499996,0.241036821499996,0.314539908500002,0.218445674500003,0.2703646395,0.259683736499996,0.257294749000004,0.240802653999998,0.218561869000004,0.245315771999998,0.229883865000003,0.237412745
accoa,1.44599825,2.99205836600003,1.71200016600004,2.25749861100001,0.91780088200002,0.794004011999989,0.778486392999988,0.922800935000023,0.785255808999986,0.696689398999988,0.87789796499999,0.683126625999992,0.915478488999982,0.792739718999997,1.01452875500001,0.826724994999984,0.901811425999995,0.919553187000013,0.961449124999975,1.01731392299998,0.933172848000019,0.781300152999991,0.70110236300001,0.995006142999983,0.783277423999985,0.682933591000009
acon-C,0.0780562690000008,0.0729660490000011,0.0345582700000005,0.0629614579999984,0.301599981499999,0.272227597500003,0.202243476500001,0.224411722500002,0.487957422500006,0.109551006499999,0.0750680840000001,0.0757953270000001,0.0395311890000009,0.126281324000002,0.0974004204999987,0.138607843499999,0.160552381499998,0.1188083455,0.112255244500002,0.1826407645,0.0561116694999996,0.0334496225000003,0.056939392499999,0.0476682855000003,0.0528579734999987,0.0410681565000005
ade,0.00327734700000003,0.00332543699999999,0.00472705500000003,0.00310129700000004,0.000135281385281385,0.000137241985068072,0.00013625463265751,0.000135281385281385,0.000137241985068072,0.00013625463265751,4.08849999999994e-06,0.000180181499999997,0.000250766499999999,0.000243246499999995,0.000408550499999994,3.59815e-05,0.000155066998876018,0.000539145500000004,0.00050384949999999,0.000398781500000001,0.000185680332739156,0.000191307009488828,0.000190345667732602,0.000185680332739156,0.000191307009488828,0.000190345667732602
adp,0.148956937999998,0.233843127,0.144515229999999,0.239808624000004,0.251809291499997,0.211845406500002,0.0954187884999991,0.218691293500001,0.231311804499997,0.0975822985000007,0.124661752999999,0.106724795000002,0.137564545000001,0.111620681999998,0.129989527500001,0.1086736755,0.104150340499999,0.1373708675,0.0982869504999979,0.105025555500002,0.0780300145000009,0.0923463295000021,0.124465588500001,0.0851107924999996,0.0979435935000011,0.126286042499999
adpglc,0.00357678700000006,0.00297610299999996,0.00374228299999991,0.00222583400000002,0.00200269599999997,0.00190287500000003,0.00134928599999997,0.00248765700000005,0.00173885199999996,0.00112077499999998,0.00387905100000008,0.00187963099999999,0.00365477900000008,0.00168712599999999,0.001492463,0.00174849400000004,0.00152444899999999,0.00206891100000001,0.00197193099999997,0.00187851500000002,0.00163185200000003,0.00163524700000001,0.00190890099999997,0.00206171100000003,0.00190933100000001,0.00209279099999997
akg,0.0391624210000003,0.0228905879999995,0.0491921110000012,0.0249543109999995,0.0325155959999998,0.0414564619999995,0.0205071379999996,0.0281235879999998,0.044231173,0.022755675,0.0811487290000006,0.0481210689999992,0.0835787869999987,0.0434880950000006,0.0234066229999997,0.0230317910000001,0.0221486730000002,0.0217653969999996,0.0217448840000002,0.0187148639999998,0.0226218279999996,0.0204040039999998,0.0131646829999998,0.0271575790000005,0.0204857449999998,0.0164230009999998
amp,0.0543916109999998,0.0616568490000006,0.0489565979999989,0.0673631290000003,0.0558387649999991,0.0554020249999995,0.120845325000002,0.0474761540000011,0.0548583200000006,0.132108846999999,0.0395322829999998,0.332933319000004,0.0467777579999995,0.353910016999995,0.292112153000004,0.191954417000003,0.188157866000002,0.378510942999996,0.255457731000005,0.268672178999999,0.0552966300000007,0.126696620000001,0.406967854000002,0.0628517099999986,0.138559275999998,0.408678144000006
