,OxicWtGlcDil0p25_Broth-1,OxicWtGlcDil0p25_Broth-2,OxicWtGlcDil0p25_Broth-3,OxicWtGlcDil0p25_Broth-4,OxicWtGlcDil0p25_Broth-5,OxicWtGlcDil0p25_Broth-6,OxicWtGlcDil0p33_Broth-1,OxicWtGlcDil0p33_Broth-2,OxicWtGlcDil0p33_Broth-3,OxicWtGlcDil0p33_Broth-4,OxicWtGlcDil0p33_Broth-5,OxicWtGlcDil0p33_Broth-6,OxicWtGlcDil0p46_Broth-1,OxicWtGlcDil0p46_Broth-2,OxicWtGlcDil0p46_Broth-3,OxicWtGlcDil0p46_Broth-4,OxicWtGlcDil0p46_Broth-5,OxicWtGlcDil0p46_Broth-6,OxicWtGlcDil0p59_Broth-1,OxicWtGlcDil0p59_Broth-2,OxicWtGlcDil0p59_Broth-3,OxicWtGlcDil0p59_Broth-4,OxicWtGlcDil0p59_Broth-5,OxicWtGlcDil0p59_Broth-6
23dpg,0.005266253,0.011690946,0.008095296,0.00419145,0.00628733,0.007040097,0.007327288,0.010937396,0.009779419,0.005052374,0.004973149,0.013838695,0.007390901,0.009027681,0.009551047,0.007702805,0.01276964,0.010089241,0.020172248,0.014499186,0.007200959,0.012739302,0.011337099,0.006142676
AICAr,685.8862195,846.4952845,64.2829923,545.4304665,691.1390355,245.3079106,673.2142028,1547.7296758,404.7271693,716.3977458,1333.0563008,790.4271808,311.1160767,2757.0078603,923.3624243,476.0847373,2753.5026083,821.1329633,928.1727405,583.7559665,1379.2805785,1161.1826205,617.0537585,1527.4130535
Pool_2pg_3pg,0.150191673,0.189094652,0.142228717,0.139197819,0.181730326,0.144718077,0.136503751,0.174355705,0.138785101,0.125761704,0.167456407,0.146309251,0.146603882,0.268752247,0.212275192,0.186654697,0.248053459,0.227250694,0.2946931085,0.2837075385,0.2086708925,0.3323052385,0.3205658045,0.2115157525
accoa,0.072980784,0.29346192,0.181007112,0.081509828,0.305997983,0.18804111,0.433092598,0.380216319,0.464803377,0.364058146,0.3749107,0.479354703,0.520632429,0.561046943,0.684608134,0.50800309,0.575992025,0.706711928,0.5852946585,0.6747697485,0.5784775595,0.5842261075,0.6502308665,0.6214204935
acon-C,0.137591936,0.147792782,0.084591183,0.140678665,0.133432243,0.078062578,0.039074486,0.125136491,0.050340929,0.049750985,0.112350121,0.033329036,0.0472520285,0.1792550615,0.0533857055,0.0467464795,0.1594778445,0.0711772505,0.0884784635,0.0596705065,0.1151656585,0.0671667585,0.0660749155,0.1368427385
adp,0.016137993,0.060290066,NA,0.017768812,0.067611624,0.096359788,0.06968825,0.086067868,0.113915454,0.076581286,0.076585046,0.1034628,0.081069515,0.090828397,0.099739448,0.085204299,0.087715524,0.114266074,0.101606306,0.112274262,0.068699688,0.115754774,0.107483336,0.074314908
adpglc,0.00217738,0.006514433,0.002732383,0.002549345,0.006574427,0.003799848,0.004419707,0.006243827,0.007018815,0.006889576,0.007754651,0.004899452,0.00505909,0.005668405,0.00961248,0.006586039,0.006417326,0.006305455,0.009716652,0.00804239,0.007251342,0.007144178,0.007732157,0.007318409
akg,0.66212419,0.999306549,0.988007196,0.907347398,0.907934853,1.006974405,0.959775074,0.839615572,0.841331877,1.107674283,0.559709504,1.093830131,0.541859312,0.144877469,0.417810545,0.452336372,0.125192633,0.414583052,0.046213758,0.037329674,0.053447551,0.055154184,0.034846866,0.03467833
amp,0.007442508,0.026717831,0.029620731,0.007122235,0.026924067,0.032282734,0.033311053,0.030988536,0.036449818,0.039346385,0.03065112,0.037245228,0.04065294,0.040781963,0.042049004,0.036431524,0.036770457,0.042359899,0.03636812,0.037480263,0.031819648,0.036165101,0.041156383,0.038076273
asn-L,0.039733465,0.038003583,0.043340171,0.062384456,0.022912594,0.039063575,0.078762505,0.059260846,0.03235552,0.104965255,0.200307098,0.078986801,0.122621123,0.134740132,0.131487004,0.116145867,0.111161044,0.159308042,0.267920617,0.170159146,0.278042408,0.190081273,0.220283945,0.324079958
