,CF01,CF02,CF03,CF04,CF05,CF06,CF07,CF08,DE01,DE02,DE03,DE04,DE05,DE06,DE07,DE08,FSF01,FSF02,FSF03,FSF04,FSF05,FSF06,FSF07,FSF08,SST01,SST02,SST03,SST04,SST05,SST06,SST07,SST08
23dpg,884517.2023,1019799.561,1121909.933,1153318.978,889057.3645,812608.155,823057.4044,876059.8814,1133121.495,1036987.38,1127984.598,1049626.622,810175.0593,818112.3668,707723.9477,695966.1746,701886.9447,885147.9033,1164926.698,918732.1196,296643.9359,379297.0596,484510.9718,553013.5957,1492468.311,1675295.331,1110557.538,1075190.491,940585.1036,824733.8639,813519.1341,585876.9758
35cgmp,21551.16863,24126.02582,36388.26868,20289.06023,30613.42936,15752.13466,23874.7981,18886.49901,27663.67857,24985.88321,25878.85373,24858.48303,18619.1902,15707.89434,16630.71311,17678.70346,27781.51407,25696.83571,20541.1797,25261.97727,16464.23835,16639.21285,20449.8079,16001.84203,28645.99349,31916.37707,22759.73337,24240.37256,20358.14843,18936.47994,17583.95246,16262.28166
5oxpro,64728.307,59589.97644,63944.18047,67575.45801,60408.31091,62017.79076,62233.39918,65847.86366,71212.10779,76391.81435,69428.60163,67245.0987,60017.58684,65671.19761,59879.86097,60246.52066,91115.90324,66358.83824,65943.19589,71787.93339,61039.70151,43503.8949,47595.89693,54277.89418,72586.38343,68767.73068,62513.19445,59779.11871,56983.84761,56740.73503,55761.92398,46228.47028
6pgc,54272.10859,58240.68982,58858.8065,62159.48483,35173.73838,35608.59214,35388.52011,37456.46067,79260.82749,62751.33274,62850.94446,52036.58764,35317.0963,34141.47944,34584.0543,39740.60608,74747.95803,62306.6131,73473.94974,58774.8842,24684.5295,31423.95516,33933.48253,32144.23543,58949.97894,67024.01824,59470.06082,46185.96869,35826.6464,36615.16957,37067.7174,22585.56344
Hexose_Pool_fru_glc-D,40345.39856,69209.48853,46842.67823,58574.71642,48811.72914,31718.46394,51847.12575,50775.33271,53097.66994,46402.99013,53258.95173,46432.80351,56487.47499,48702.4812,57836.04372,47578.29665,316302.836,198027.9155,83681.80154,112348.8123,236673.2509,178695.3041,84043.84265,108510.9304,31800.4427,36030.62868,40701.19721,40773.31339,39377.05176,37084.81145,38926.51298,25392.12003
Lcystin,126736.951,111494.5327,119506.8951,125977.1085,107397.5994,116957.8905,100366.1444,106779.6349,155830.9964,114709.6145,104779.88,105753.1332,106040.527,122880.3831,95317.35946,97148.79878,121871.7667,122622.5611,117743.0778,118995.5391,68947.17608,72258.41731,80823.66185,90356.08721,181963.256,155379.6255,140386.7913,142518.4478,140127.4418,125582.0596,115687.455,90532.07867
Pool_2pg_3pg,125229.4725,129706.9586,130261.1149,125872.3226,89266.56724,99872.34188,121186.2369,99335.88745,135878.1928,143719.8018,146493.7225,145827.7418,101983.9096,99874.14176,91097.5065,115039.8312,156347.2194,158361.7868,171917.2579,143419.1411,86944.35152,90374.36459,88152.347,94172.8239,162185.0167,153746.709,134139.4051,131813.2578,107748.4424,110162.8484,108903.9003,81511.88716
accoa,401938.9974,412875.139,469050.1262,472738.8977,373012.8125,362300.9348,380967.1538,393283.7965,445070.546,415913.8409,414985.6394,383569.9979,310188.4418,341407.405,292371.6438,350695.5885,446939.4786,440589.583,464051.1665,414261.6739,239918.7781,249432.474,303094.1062,296305.5819,561591.3754,480707.1445,394873.9467,356499.3754,402829.0211,381578.4117,350783.718,275335.4325
acon-C,1085228.937,1179025.549,1113671.201,1125699.767,1027762.526,1042751.473,1042100.124,1031669.693,1225650.044,1207457.678,1174695.162,1146726.763,975828.9915,980353.4789,935517.1695,1046366.469,1235034.912,1178817.096,1283513.806,1114434.895,720310.9146,801379.3516,855323.3867,884255.6212,1322427.833,1212882.878,1136443.735,1065174.517,981744.1728,971772.1516,944237.8836,917597.7647
actp,35377.10495,35007.48396,31221.0,35939.02055,30476.85592,30962.94275,30891.41205,27533.99326,36119.45876,40844.30031,35428.0,39399.7565,30521.72876,31222.0,26154.51983,26585.14756,48237.25059,54066.40502,52852.91382,42947.56911,31962.43244,28923.095,29497.64809,34499.39365,60157.03282,61818.76394,54865.56972,51961.49702,38316.3432,40049.23355,51836.30885,34507.87947
ade,1223714.979,1169024.189,1357016.523,1313496.27,1325448.924,1211562.186,1227870.957,1326121.314,1139281.068,1206333.233,1312484.215,1271633.342,1255269.801,1159025.358,1104760.348,1359749.31,994220.0521,855296.5054,1167425.842,1008054.394,1004227.098,906714.8583,1022024.589,1200259.781,1550549.452,1405499.02,1380802.113,1467494.723,1325990.927,1218670.387,1395874.334,1131321.358
adn,1357469.107,1292601.35,1234615.788,1510878.92,1199062.139,1146913.911,1213876.703,1164470.624,1474880.57,1347437.803,1319898.519,1251449.058,1108161.559,1144874.815,1161966.677,1182085.283,1958297.723,1427376.324,1539120.532,1436921.902,1259224.206,1089622.851,1063127.69,1064478.512,1627851.597,1487063.512,1301400.91,1256535.448,1104097.718,1228426.086,1182733.823,985364.8421
adp,22566.0373,26064.94122,29626.0,26322.40432,20978.92032,17668.52059,20866.97849,18441.13595,32756.0504,36036.0,31022.30501,32978.69127,21855.27756,22996.16956,26185.2496,24258.87907,40996.43239,30812.36535,30903.85446,28808.78049,27265.57014,21215.25757,19510.59385,20184.0,27489.67169,26236.4456,23302.0,22659.22998,18429.55569,18718.63016,17972.74005,12486.07978
adpglc,NA,7068.0,10452.0,10353.0,7565.0,7167.0,6968.0,7167.0,6869.0,5674.0,6570.0,NA,NA,5077.0,7565.0,6830.602338,7167.0,7864.0,9755.0,6424.627575,7366.0,7765.0,7565.0,NA,10194.94738,10716.83194,8760.0,7864.0,10611.64776,7765.0,8362.0,NA
akg,102677.264,113479.939,116712.0,113957.6066,94029.08182,107423.6865,117326.4422,86930.06457,106877.0902,122221.7001,115109.721,85783.59595,102518.752,109369.5505,133363.0691,99732.89529,257906.7575,164018.2604,221543.7943,218776.2623,243416.9814,136038.1372,136907.5607,202427.6121,115035.4449,92129.82973,88564.101,91881.43079,72018.73647,70828.01262,89449.69845,76342.20388
ala-L,2739.878797,2892.413588,2599.342396,2607.254821,2749.269864,2414.473509,2176.143181,2158.016567,2272.0,2907.474315,3368.785424,2034.547002,2046.703083,2130.0,2147.981201,2310.710594,1950.473638,2318.265221,2732.196457,2395.65427,2036.762217,2180.679325,1639.27859,2791.204392,2769.0,2682.741409,2769.0,2088.332686,2485.0,2385.674159,2883.691409,2016.168325
amp,148868.8488,142467.2865,147739.0515,172929.2806,133583.2935,131834.7304,119215.363,131433.3273,180708.3224,173003.3588,155283.2097,166487.5813,115589.0529,115512.2812,110746.8323,130137.7928,196219.6259,171602.5702,216438.0741,190708.8396,97835.89468,99068.64816,102373.3489,108463.562,196555.4498,173360.1716,146530.2389,142463.1872,133474.1221,130820.9487,128805.5414,100061.1389
arg-L,1384579.395,1375063.066,1467586.355,1489308.628,1417535.641,1348234.611,1326651.892,1374881.082,1457351.159,1419756.772,1409406.457,1358297.056,1311977.92,1254528.633,1189844.865,1269163.772,645142.7009,614657.9409,692275.4465,820330.8379,561495.7361,498815.4466,605522.0758,696512.504,1650553.917,1592766.743,1442122.546,1390502.745,1385456.371,1338499.025,1334209.574,1183472.916
asn-L,657217.6817,703336.7024,709058.4799,851681.7967,721573.8608,734088.6244,718843.2056,697541.494,661822.7075,691701.5225,689353.6698,611056.6238,675198.2675,690024.1757,599752.2937,642653.3379,564933.8121,518728.561,605308.9272,601506.7829,386615.2469,395274.0447,435913.376,483414.6742,886259.8475,796785.3809,701322.3345,736349.8728,672809.184,717595.3845,784998.284,704195.991
atp,405023.7081,450830.8342,537119.4508,467439.8734,342326.4765,395575.729,343467.058,389900.8116,548586.1104,485372.8385,496524.1203,440912.2329,376516.4345,391348.2949,305360.2052,333403.4815,449524.6399,450551.5785,533690.7594,428899.2523,227068.8018,236194.85,255049.018,281904.09,634186.8503,628861.279,502849.2429,414980.2723,375020.9574,365307.3129,319789.3556,252490.3386
btn,57572.84766,60993.22505,60267.64284,59656.49773,45725.48951,46291.09675,46236.02018,47873.13145,53991.10821,57387.53821,58199.10573,57038.70152,41326.43692,40936.9253,45106.06237,44177.49157,65698.20343,57320.61124,61008.55271,57317.19493,35473.07973,31473.68034,40474.06816,44058.59699,67046.23094,52814.22045,53827.11686,52607.78586,44814.10158,45834.10419,47039.02259,39167.29521
camp,26377.552,31858.83566,30786.69142,30387.22053,25794.0,20665.81334,22301.47526,22440.59864,30507.0,27827.969,24430.0,33029.29472,25859.50293,22653.91686,21411.09949,21488.30793,29300.84379,32491.0,31956.27873,28151.0,20525.00015,16954.01745,16002.27836,18522.56984,29264.87754,33657.90644,24625.05409,24235.09471,21748.69878,21532.80937,24441.69919,15377.0
cit,701737.1926,760203.6468,836197.986,798796.0501,548400.6612,518356.234,604755.6271,565586.55,885259.8936,890388.655,794270.2399,871810.9442,631942.5646,360865.3226,529227.6216,566069.2066,1241221.195,1111630.354,1001856.26,999862.2452,422792.7432,365547.1017,447413.1229,428728.1762,953443.3154,966023.2732,697442.1759,684425.9907,504757.8376,473631.7222,502114.7254,356433.0049
citr-L,478784.5935,441433.7162,478393.0072,478430.4632,498294.2185,437923.8395,402240.5939,417405.5808,483538.0782,510463.4959,427543.4378,444638.403,390576.4045,435669.0042,430125.3097,419804.0008,355143.9061,374153.024,376336.9679,395863.3612,250983.6383,257864.8736,329107.5601,324392.4578,551455.8692,493219.3432,462028.1317,435509.7896,426745.4662,453310.7954,431682.2809,359066.1937
cmp,12899.25632,14223.84092,13954.55403,15132.27828,13158.88493,11250.49588,11962.42405,13502.07904,17025.78727,15722.98102,14432.70481,14278.34694,12144.0249,10210.97067,10643.23715,11723.14508,19614.50164,18550.8039,18761.86468,16127.42218,10308.65666,10381.2183,11521.09324,10599.11391,18257.0,16775.74819,15269.30565,13285.85515,11548.05675,12012.40568,12765.37789,10276.64132
coa,213178.9267,242749.8733,246198.8905,305992.5438,194016.2833,186133.9538,191034.9199,192242.4015,106906.0709,76094.79128,133332.8968,128619.5885,69038.54101,42970.34017,88337.39492,94205.94861,8222.682401,4612.031766,11897.91104,12376.64673,4556.204109,3379.686047,7766.113593,7791.032726,433913.3446,463178.976,290826.621,256104.0302,222272.7415,223078.0,262316.9083,153796.0481
