,130906,130609,130521,130618,130906-area,130906,130609,130521,130618,130906-area,130906,130609,130521,130618,130906-area,130906,130609,130521,130618,130906-area,130906,130609,130521,130618,130906-area,130906,130609,130521,130618,130906-area
Component_Name,slope,slope,slope,slope,slope,intercept,intercept,intercept,intercept,intercept,correlation,correlation,correlation,correlation,correlation,lloq,lloq,lloq,lloq,lloq,uloq,uloq,uloq,uloq,uloq,points,points,points,points,points
r5p.r5p_2.Light,1.70587012568108,0,0,0,1.0634531577308,0.0530739454781633,0,0,0,-0.00698275857018711,0.980644568530505,0,0,0,0.998484574874456,0.05,0,0,0,0.05,1.0,0,0,0,2.0,5,0,0,0,6
gthrd.gthrd_2.Light,0.0183901009074731,0.0435896834513129,0.046102626208168,0.0516131267546799,0.0204374862252606,0.0271185017594943,0.000255887365936841,0.000415282445310978,-0.00689519280139297,-0.0022287066758985,0.999131243718872,0.998128030858899,0.999973999603787,0.999751654559697,0.999735910035895,0.2,0.04,0.04,0.1,0.2,100.0,2.0,4.0,40.0,100.0,9,6,4,5,9
atp.atp_1.Light,0.350735801836195,0.459743475230955,0.556153144389012,0.637541619517145,3.28522949003972,0.00175858966573891,0.0578480679725964,0.00360620086161623,0.0226827874203509,0.13970686115503,0.999537318764024,0.993497243069594,0.999162533674367,0.991336581431115,0.997877930586103,0.002,0.08,0.008,0.02,0.008,0.8,2.0,0.2,0.8,8.0,8,5,5,5,8
ade.ade_2.Light,2.09643898405977,0,0,0,1.92891548182186,0.0894806826266854,0,0,0,0.0928244107169136,0.989916768601692,0,0,0,0.994032061749923,0.008,0,0,0,0.008,0.8,0,0,0,0.8,7,0,0,0,7
dcdp.dcdp_2.Light,14.6411170287378,0,0,0,15.0676925466979,0.559603921743234,0,0,0,0.940582216842726,0.999807183881539,0,0,0,0.996767984875071,0.04,0,0,0,0.04,10.0,0,0,0,10.0,8,0,0,0,8
arg-L.arg-L_1.Light,0.956381865612492,0.834228419597837,0.950344830289543,0.83448368000222,0.97943736141703,0.0371346633635998,0.043293190138044,0.0300666194325021,0.0144492505338584,-0.10096755127305,0.999987730021502,0.999083513675822,0.992993943732751,0.999794161639953,0.991898437518661,0.025,0.1,0.1,0.25,0.05,25.0,10.0,5.0,10.0,50.0,10,7,6,5,10
acon-C.acon-C_1.Light,36.7485086583526,37.0394204331113,35.0043253415729,38.5052826194236,41.9015075455773,0.227560701048371,0.974460473289815,2.60874262264001,-0.0525653084743625,-0.134794300878791,0.999286125670924,0.999474534038698,0.998650806981702,0.999608257216804,0.999805653010482,0.004,0.2,0.1,0.1,0.02,2.0,2.0,2.0,10.0,2.0,9,4,3,7,7
utp.utp_1.Light,6.66419469852399,0.944531523673699,1.44826142486816,0.748192446325139,5.96332023729848,-0.014625934368201,0.0114688123524734,0.0026021537668476,0.0343776560524319,0.0732726185146666,0.997298263517365,0.980932386044134,0.997706665319779,0.954186360380574,0.997709709757953,0.008,0.016,0.004,0.004,0.016,8.0,0.8,0.4,1.6,1.6,10,6,5,8,7
pyr.pyr_1.Light,0.224243705772588,0.211331823391491,0.236644595277272,0.242349868253553,0.217827421380238,0.0657241279594074,0.298530618388109,-0.209670485396022,0.525455077404651,0.114215434447168,0.998656887738636,0.989292313639621,0.999929136493568,0.999976962470073,0.999717748246998,0.4,8.0,2.0,20.0,0.8,20.0,80.0,200.0,400.0,40.0,6,4,4,3,6
