ac,swissprot_entry_name,ecogene_accession_number,ordered_locus_name,biologicalmaterial_id,gene_name,ordered_locus_name2
P0AD92,LPW_ECOLI,EG11274,b1265,MG1655,trpL,JW1257
P0AD92,LPW_ECOLI,EG11274,b1265,MG1655,trpEE,JW1257
P0AD74,LPF2_ECOLI,EG11272,b1715,MG1655,pheM,JW1705
P0AD74,LPF2_ECOLI,EG11272,b1715,MG1655,phtL,JW1705
P0AD72,LPF_ECOLI,EG11271,b2598,MG1655,pheL,JW2579
P0AD72,LPF_ECOLI,EG11271,b2598,MG1655,pheAE,JW2579
P60995,LPHI_ECOLI,EG11269,b2018,MG1655,hisL,JW2000
C1P619,ILVX_ECOLI,EG14474,b4669,MG1655,ilvX,JW3740.1
C1P621,YJEV_ECOLI,EG14475,b4670,MG1655,yjeV,JW5740.1
E2JKY7,LPMG_ECOLI,EG14498,b4702,MG1655,mgtL,JW4200.1
C1P608,IBSB_ECOLI,EG14473,b4668,MG1655,ibsB,JW2058.2
A5A621,YPFM_ECOLI,EG14396,b4606,MG1655,ypfM,JW2454.1
C1P616,IBSD_ECOLI,EG14469,b4664,MG1655,ibsD,JW3023.1
C1P615,IBSC_ECOLI,EG14470,b4665,MG1655,ibsC,JW2879.1
C1P617,IBSE_ECOLI,EG14471,b4666,MG1655,ibsE,JW3023.2
C1P607,IBSA_ECOLI,EG14472,b4667,MG1655,ibsA,JW2058.1
C1P606,YOEI_ECOLI,EG14483,b4678,MG1655,yoeI,JW5330.1
P0AD86,LPT_ECOLI,EG11277,b0001,MG1655,thrL,JW4367
U3PVA8,IROK_ECOLI,EG14501,b4706,MG1655,iroK,
P0CD93,YMJD_ECOLI,EG14478,b4673,MG1655,ymjD,JW5960.1
C1P600,YNBG_ECOLI,EG14479,b4674,MG1655,ynbG,JW1395.1
C1P604,YOBI_ECOLI,EG14482,b4677,MG1655,yobI,JW1850.1
C1P610,YPDK_ECOLI,EG14485,b4680,MG1655,ypdK,JW2375.1
P0AD89,LPTN_ECOLI,EG11276,b3707,MG1655,tnaL,JW3685
P0AD89,LPTN_ECOLI,EG11276,b3707,MG1655,tnaC,JW3685
C1P603,YOAJ_ECOLI,EG14480,b4675,MG1655,yoaJ,JW5292.2
C1P613,YQEL_ECOLI,EG14488,b4683,MG1655,yqeL,JW5455.1
C1P618,YRBN_ECOLI,EG14490,b4685,MG1655,yrbN,JW5531.1
C1P611,SHOB_ECOLI,EG14494,b4687,MG1655,shoB,JW2546.1
C1P611,SHOB_ECOLI,EG14494,b4687,MG1655,ryfB,JW2546.1
C1P611,SHOB_ECOLI,EG14494,b4687,MG1655,yphI,JW2546.1
A5A617,YDGU_ECOLI,EG14462,b4601,MG1655,ydgU,JW1589
A5A624,DINQ_ECOLI,EG14431,b4613,MG1655,dinQ,
C1P609,YOHP_ECOLI,EG14484,b4679,MG1655,yohP,JW5358.1
P0AD79,LPL_ECOLI,EG11280,b0075,MG1655,leuL,JW0074
P0AD79,LPL_ECOLI,EG11280,b0075,MG1655,leuLP,JW0074
P0ADF0,LPFS_ECOLI,-,b0079,MG1655,fruL,
A8DYP9,LPFUR_ECOLI,EG14465,b4637,MG1655,uof,
C1P605,AZUC_ECOLI,EG14468,b4663,MG1655,azuC,JW1891.1
P02338,PRTL_ECOLI,EG11016,b1229,MG1655,tpr,JW1219
P36937,KDPF_ECOLI,EG12126,b4513,MG1655,kdpF,JW0687
A5A627,TISB_ECOLI,EG14402,b4618,MG1655,tisB,JW3649
A5A627,TISB_ECOLI,EG14402,b4618,MG1655,ysdB,JW3649
A5A618,YNHF_ECOLI,EG14016,b4602,MG1655,ynhF,JW1649.1
G3MTW7,PMRR_ECOLI,EG14499,b4703,MG1655,pmrR,JW4072.1
P24244,APPX_ECOLI,EG11114,b4592,MG1655,appX,JW0961.1
P24244,APPX_ECOLI,EG11114,b4592,MG1655,yccB,JW0961.1
A5A615,YNCL_ECOLI,EG14394,b4598,MG1655,yncL,JW1439.1
A5A616,YNEM_ECOLI,EG14395,b4599,MG1655,yneM,JW1527.1
P03061,LPIV_ECOLI,EG11275,b3672,MG1655,ivbL,JW3647
P62522,LPID_ECOLI,EG11270,b3766,MG1655,ilvL,JW3739
C1P602,YOAK_ECOLI,EG14481,b4676,MG1655,yoaK,JW5292.1
P0ADF3,LPRH_ECOLI,-,b3782,MG1655,rhoL,JW3755
Q47268,YLCH_ECOLI,EG14355,b4588,MG1655,ylcH,
C1P5Z8,YKGR_ECOLI,EG14476,b4671,MG1655,ykgR,JW5035.1
P76239,YOAI_ECOLI,EG14417,b1788,MG1655,yoaI,JW5885
C1P5Z9,YMIB_ECOLI,EG14477,b4672,MG1655,ymiB,JW1278.1
Q6BF87,LDRB_ECOLI,EG14404,b4421,MG1655,ldrB,JW5958
Q6BF25,LDRD_ECOLI,EG14406,b4453,MG1655,ldrD,JW5966
Q2EES1,YNID_ECOLI,EG14423,b4535,MG1655,yniD,JW5911
Q2EES6,YOHO_ECOLI,EG14426,b4542,MG1655,yohO,JW5354
Q6BF86,LDRA_ECOLI,EG14403,b4419,MG1655,ldrA,JW5957
Q6BF86,LDRA_ECOLI,EG14403,b4423,MG1655,ldrC,JW5959
C1P620,YSHB_ECOLI,EG14491,b4686,MG1655,yshB,JW3839.1
P56100,CYDX_ECOLI,EG14329,b4515,MG1655,cydX,JW0724
P56100,CYDX_ECOLI,EG14329,b4515,MG1655,ybgT,JW0724
P0A7Q6,RL36_ECOLI,EG11232,b3299,MG1655,rpmJ,JW3261
P56976,BLR_ECOLI,EG14389,b4409,MG1655,blr,JW5963
P0ADB4,ECNA_ECOLI,EG14372,b4410,MG1655,ecnA,JW5737
A8DYQ1,YTHA_ECOLI,EG14464,b4655,MG1655,ythA,JW5769.1
C1P614,YQFG_ECOLI,EG14489,b4684,MG1655,yqfG,JW5470.1
P29009,YDFB_ECOLI,EG11301,b1572,MG1655,ydfB,JW1564
P0DKB3,MNTS_ECOLI,EG14500,b4705,MG1655,mntS,JW0800.1
P0DKB3,MNTS_ECOLI,EG14500,b4705,MG1655,rybA,JW0800.1
P64567,YQGB_ECOLI,EG13164,b2939,MG1655,yqgB,JW2906
C1P5Z7,SGRT_ECOLI,EG14467,b4662,MG1655,sgrT,JW0068.1
P76061,YDAG_ECOLI,EG12174,b1355,MG1655,ydaG,JW5210
P0AD83,LPPY_ECOLI,EG11279,b4246,MG1655,pyrL,JW4205
P68191,SRA_ECOLI,EG11508,b1480,MG1655,sra,JW5962
P68191,SRA_ECOLI,EG11508,b1480,MG1655,rpsV,JW5962
P64442,YCEO_ECOLI,EG14334,b1058,MG1655,yceO,JW1045
P0A7P5,RL34_ECOLI,EG10892,b3703,MG1655,rpmH,JW3680
P0A7P5,RL34_ECOLI,EG10892,b3703,MG1655,rimA,JW3680
P0A7P5,RL34_ECOLI,EG10892,b3703,MG1655,ssaF,JW3680
P0ADD9,YJJY_ECOLI,EG12601,b4402,MG1655,yjjY,JW4365
Q2EEQ2,RL362_ECOLI,EG14432,b4506,MG1655,ykgO,JW5034
Q2EEQ2,RL362_ECOLI,EG14432,b4506,MG1655,rpmJ2,JW5034
Q47272,YLCG_ECOLI,EG14354,b4509,MG1655,ylcG,JW5076
Q2EET0,YPDJ_ECOLI,EG14428,b4545,MG1655,ypdJ,JW5386
C1P612,YQCG_ECOLI,EG14487,b4682,MG1655,yqcG,JW2748.1
P64508,YOBF_ECOLI,EG14382,b1824,MG1655,yobF,JW1813
P64512,MGRB_ECOLI,EG14383,b1826,MG1655,mgrB,JW1815
P64512,MGRB_ECOLI,EG14383,b1826,MG1655,yobG,JW1815
P0ADB7,ECNB_ECOLI,EG14345,b4411,MG1655,ecnB,JW4108
P0ADB7,ECNB_ECOLI,EG14345,b4411,MG1655,yjeU,JW4108
P0AAW9,ACRZ_ECOLI,EG14328,b0762,MG1655,acrZ,JW5102
P0AAW9,ACRZ_ECOLI,EG14328,b0762,MG1655,ybhT,JW5102
P77494,HOKB_ECOLI,EG11240,b4428,MG1655,hokB,JW5225
P77494,HOKB_ECOLI,EG11240,b4428,MG1655,ydcB,JW5225
P0ACG4,HOKC_ECOLI,EG10373,b4412,MG1655,hokC,JW5002
P0ACG4,HOKC_ECOLI,EG10373,b4412,MG1655,gef,JW5002
P77091,HOKE_ECOLI,EG14302,b4415,MG1655,hokE,JW5084
P77091,HOKE_ECOLI,EG14302,b4415,MG1655,ybdY,JW5084
P37305,HOKA_ECOLI,EG12346,b4455,MG1655,hokA,JW3526
P37305,HOKA_ECOLI,EG12346,b4455,MG1655,yiaZ,JW3526
P76157,YNFN_ECOLI,EG14388,b1551,MG1655,ynfN,JW5254
P0ACG6,HOKD_ECOLI,EG11130,b1562,MG1655,hokD,JW1554
P0ACG6,HOKD_ECOLI,EG11130,b1562,MG1655,relF,JW1554
P0ACW8,YDFA_ECOLI,EG11300,b1571,MG1655,ydfA,JW1563
P0CF86,YFJU_ECOLI,EG13207,b2638,MG1655,yfjU,
P0ACW0,YDAF_ECOLI,EG12157,b4527,MG1655,ydaF,JW1349
P58037,YRHD_ECOLI,EG14370,b4612,MG1655,yrhD,
P39221,YABQ_ECOLI,EG12611,b0057,MG1655,yabQ,JW0056
P0AE42,YQAE_ECOLI,EG14313,b2666,MG1655,yqaE,JW2641
P45807,YBAM_ECOLI,EG12830,b0466,MG1655,ybaM,JW0455
Q2M5U1,YTJA_ECOLI,EG14398,b4568,MG1655,ytjA,JW5891
P42625,YHAL_ECOLI,EG12751,b3107,MG1655,yhaL,JW5517
P39390,YJIS_ECOLI,EG12580,b4341,MG1655,yjiS,JW4304
A5A619,YOJO_ECOLI,EG14461,b4604,MG1655,yojO,
P0CB62,YMIA_ECOLI,EG14463,b4522,MG1655,ymiA,JW1267.1
P0AFW2,RMF_ECOLI,EG50004,b0953,MG1655,rmf,JW0936
P76096,MOKB_ECOLI,EG20260,b1420,MG1655,mokB,JW5882
P0ADX5,YHFG_ECOLI,EG12374,b3362,MG1655,yhfG,JW3325
P64627,YHFL_ECOLI,EG12907,b3369,MG1655,yhfL,JW3332
P0A7N9,RL33_ECOLI,EG10891,b3636,MG1655,rpmG,JW3611
P58094,YCIX_ECOLI,EG14351,b4523,MG1655,yciX,JW5198/JW5199
Q47270,NINE_ECOLI,EG14286,b0548,MG1655,ninE,JW0536
P38394,YDAE_ECOLI,EG12156,b4526,MG1655,ydaE,JW1346
P0A7N4,RL32_ECOLI,EG10890,b1089,MG1655,rpmF,JW1075
P0ACW4,YDCA_ECOLI,EG11219,b1419,MG1655,ydcA,JW1416
P64453,YDCX_ECOLI,EG13767,b1445,MG1655,ydcX,JW5232
P77695,GNSB_ECOLI,EG13837,b1550,MG1655,gnsB,JW5253
P77695,GNSB_ECOLI,EG13837,b1550,MG1655,ydfY,JW5253
P0AC92,GNSA_ECOLI,EG13233,b4517,MG1655,gnsA,JW0976
P0AC92,GNSA_ECOLI,EG13233,b4517,MG1655,yccL,JW0976
P56614,YMDF_ECOLI,EG14358,b4518,MG1655,ymdF,JW5136
P64646,YJDO_ECOLI,EG14342,b4559,MG1655,yjdO,JW5732
A5A611,YMGI_ECOLI,EG14449,b4593,MG1655,ymgI,
A5A613,YCIY_ECOLI,EG14393,b4595,MG1655,yciY,
A5A614,YCIZ_ECOLI,EG14460,b4596,MG1655,yciZ,JW1277
P76106,HICA_ECOLI,EG14421,b4532,MG1655,hicA,JW5230
P76106,HICA_ECOLI,EG14421,b4532,MG1655,yncN,JW5230
P21361,YCIG_ECOLI,EG11127,b1259,MG1655,yciG,JW1251
P76138,YNEL_ECOLI,EG14360,b1506,MG1655,yneL,JW5244
P67338,YOAH_ECOLI,EG14306,b1811,MG1655,yoaH,JW1800
P64619,YHDU_ECOLI,EG12832,b3263,MG1655,yhdU,JW3231
P0AG51,RL30_ECOLI,EG10888,b3302,MG1655,rpmD,JW3264
P0AAZ7,YCAR_ECOLI,EG14287,b0917,MG1655,ycaR,JW0900
P75979,YMFR_ECOLI,EG14336,b1150,MG1655,ymfR,JW1136
P64496,YOAG_ECOLI,EG14305,b1796,MG1655,yoaG,JW1785
P64517,YODC_ECOLI,EG14307,b1957,MG1655,yodC,JW1940
P58041,RZOD_ECOLI,EG14380,b4510,MG1655,rzoD,JW5080
Q2EER5,YMJC_ECOLI,EG14420,b4525,MG1655,ymjC,JW5960
P77087,TFAX_ECOLI,EG14317,b0563,MG1655,tfaX,JW0552
P77087,TFAX_ECOLI,EG14317,b0563,MG1655,ylcE,JW0552
P64448,YNBE_ECOLI,EG14298,b1382,MG1655,ynbE,JW1377
P69913,CSRA_ECOLI,EG11447,b2696,MG1655,csrA,JW2666
P69913,CSRA_ECOLI,EG11447,b2696,MG1655,zfiA,JW2666
P58042,RZOR_ECOLI,EG14381,b4528,MG1655,rzoR,JW5213
V9HVX0,YPAA_ECOLI,EG14427,b4543,MG1655,ypaA,
A5A612,YMGJ_ECOLI,EG14450,b4594,MG1655,ymgJ,
P09557,DICB_ECOLI,EG10227,b1575,MG1655,dicB,JW1566
P64476,YDIH_ECOLI,EG13967,b1685,MG1655,ydiH,JW1675
P0AEG8,DSRB_ECOLI,EG12636,b1952,MG1655,dsrB,JW1936
P0ADJ3,YHJR_ECOLI,EG12262,b3535,MG1655,yhjR,JW3503
